group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,rustorm,,,,95056053.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,96700768.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94544648.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94873651.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,92785433.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94315367.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94832268.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,92714955.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94988869.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,105852634.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,99007293.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91596749.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,92451554.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94505566.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94640667.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91313947.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,96479978.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,93419759.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,94082763.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91667648.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91054445.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91778649.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,90726443.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,95669273.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,93071057.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,93149358.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91552348.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91236338.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,88273715.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,96620882.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,93534957.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,92417048.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,92095046.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,96066878.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,96978385.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,93124153.0,ns,2
bench_loading_associations_sequentially,rustorm,,,,91107937.0,ns,2
