group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_boxed,10,,,2046690.0,ns,9
bench_trivial_query,diesel_boxed,10,,,2176790.0,ns,18
bench_trivial_query,diesel_boxed,10,,,3390384.0,ns,27
bench_trivial_query,diesel_boxed,10,,,4169280.0,ns,36
bench_trivial_query,diesel_boxed,10,,,5652472.0,ns,45
bench_trivial_query,diesel_boxed,10,,,6648768.0,ns,54
bench_trivial_query,diesel_boxed,10,,,7208665.0,ns,63
bench_trivial_query,diesel_boxed,10,,,7758063.0,ns,72
bench_trivial_query,diesel_boxed,10,,,8459658.0,ns,81
bench_trivial_query,diesel_boxed,10,,,12684438.0,ns,90
bench_trivial_query,diesel_boxed,10,,,10321450.0,ns,99
bench_trivial_query,diesel_boxed,10,,,15027927.0,ns,108
bench_trivial_query,diesel_boxed,10,,,13025137.0,ns,117
bench_trivial_query,diesel_boxed,10,,,13468534.0,ns,126
bench_trivial_query,diesel_boxed,10,,,25699775.0,ns,135
bench_trivial_query,diesel_boxed,10,,,16191922.0,ns,144
bench_trivial_query,diesel_boxed,10,,,16040722.0,ns,153
bench_trivial_query,diesel_boxed,10,,,21895993.0,ns,162
bench_trivial_query,diesel_boxed,10,,,24628981.0,ns,171
bench_trivial_query,diesel_boxed,10,,,20432400.0,ns,180
bench_trivial_query,diesel_boxed,10,,,23421886.0,ns,189
bench_trivial_query,diesel_boxed,10,,,24246182.0,ns,198
bench_trivial_query,diesel_boxed,10,,,19774403.0,ns,207
bench_trivial_query,diesel_boxed,10,,,23991984.0,ns,216
bench_trivial_query,diesel_boxed,10,,,26046774.0,ns,225
bench_trivial_query,diesel_boxed,10,,,27645765.0,ns,234
bench_trivial_query,diesel_boxed,10,,,26675471.0,ns,243
bench_trivial_query,diesel_boxed,10,,,29439557.0,ns,252
bench_trivial_query,diesel_boxed,10,,,28471461.0,ns,261
bench_trivial_query,diesel_boxed,10,,,28252962.0,ns,270
bench_trivial_query,diesel_boxed,10,,,28558261.0,ns,279
bench_trivial_query,diesel_boxed,10,,,31299547.0,ns,288
bench_trivial_query,diesel_boxed,10,,,31269747.0,ns,297
bench_trivial_query,diesel_boxed,10,,,35784926.0,ns,306
bench_trivial_query,diesel_boxed,10,,,35329028.0,ns,315
bench_trivial_query,diesel_boxed,10,,,32748440.0,ns,324
bench_trivial_query,diesel_boxed,10,,,34580332.0,ns,333
bench_trivial_query,diesel_boxed,10,,,34317333.0,ns,342
bench_trivial_query,diesel_boxed,10,,,37048220.0,ns,351
bench_trivial_query,diesel_boxed,10,,,36927920.0,ns,360
bench_trivial_query,diesel_boxed,10,,,37872215.0,ns,369
bench_trivial_query,diesel_boxed,10,,,38805011.0,ns,378
bench_trivial_query,diesel_boxed,10,,,40038405.0,ns,387
bench_trivial_query,diesel_boxed,10,,,54453435.0,ns,396
bench_trivial_query,diesel_boxed,10,,,41371398.0,ns,405
bench_trivial_query,diesel_boxed,10,,,43400389.0,ns,414
bench_trivial_query,diesel_boxed,10,,,45667177.0,ns,423
bench_trivial_query,diesel_boxed,10,,,44842282.0,ns,432
bench_trivial_query,diesel_boxed,10,,,45293480.0,ns,441
bench_trivial_query,diesel_boxed,10,,,45057581.0,ns,450
bench_trivial_query,diesel_boxed,10,,,49711158.0,ns,459
bench_trivial_query,diesel_boxed,10,,,50107856.0,ns,468
bench_trivial_query,diesel_boxed,10,,,61185902.0,ns,477
bench_trivial_query,diesel_boxed,10,,,59890508.0,ns,486
bench_trivial_query,diesel_boxed,10,,,58272017.0,ns,495
bench_trivial_query,diesel_boxed,10,,,69129164.0,ns,504
bench_trivial_query,diesel_boxed,10,,,54007237.0,ns,513
bench_trivial_query,diesel_boxed,10,,,63153793.0,ns,522
bench_trivial_query,diesel_boxed,10,,,60064107.0,ns,531
bench_trivial_query,diesel_boxed,10,,,65365582.0,ns,540
bench_trivial_query,diesel_boxed,10,,,71646451.0,ns,549
bench_trivial_query,diesel_boxed,10,,,58968213.0,ns,558
bench_trivial_query,diesel_boxed,10,,,73046945.0,ns,567
bench_trivial_query,diesel_boxed,10,,,61887798.0,ns,576
bench_trivial_query,diesel_boxed,10,,,61590200.0,ns,585
bench_trivial_query,diesel_boxed,10,,,64691285.0,ns,594
bench_trivial_query,diesel_boxed,10,,,69806960.0,ns,603
bench_trivial_query,diesel_boxed,10,,,69055664.0,ns,612
bench_trivial_query,diesel_boxed,10,,,66710276.0,ns,621
bench_trivial_query,diesel_boxed,10,,,82381899.0,ns,630
bench_trivial_query,diesel_boxed,10,,,71727451.0,ns,639
bench_trivial_query,diesel_boxed,10,,,77339624.0,ns,648
bench_trivial_query,diesel_boxed,10,,,67387672.0,ns,657
bench_trivial_query,diesel_boxed,10,,,70230358.0,ns,666
bench_trivial_query,diesel_boxed,10,,,86304680.0,ns,675
bench_trivial_query,diesel_boxed,10,,,72291848.0,ns,684
bench_trivial_query,diesel_boxed,10,,,75615932.0,ns,693
bench_trivial_query,diesel_boxed,10,,,72340644.0,ns,702
bench_trivial_query,diesel_boxed,10,,,91238070.0,ns,711
bench_trivial_query,diesel_boxed,10,,,98463728.0,ns,720
bench_trivial_query,diesel_boxed,10,,,82498320.0,ns,729
bench_trivial_query,diesel_boxed,10,,,83616813.0,ns,738
bench_trivial_query,diesel_boxed,10,,,93774455.0,ns,747
bench_trivial_query,diesel_boxed,10,,,97604732.0,ns,756
bench_trivial_query,diesel_boxed,10,,,97700531.0,ns,765
bench_trivial_query,diesel_boxed,10,,,100554115.0,ns,774
bench_trivial_query,diesel_boxed,10,,,80706631.0,ns,783
bench_trivial_query,diesel_boxed,10,,,84515408.0,ns,792
bench_trivial_query,diesel_boxed,10,,,105500287.0,ns,801
bench_trivial_query,diesel_boxed,10,,,93402056.0,ns,810
bench_trivial_query,diesel_boxed,10,,,90499974.0,ns,819
bench_trivial_query,diesel_boxed,10,,,92997059.0,ns,828
bench_trivial_query,diesel_boxed,10,,,111390952.0,ns,837
bench_trivial_query,diesel_boxed,10,,,88724983.0,ns,846
bench_trivial_query,diesel_boxed,10,,,96462038.0,ns,855
bench_trivial_query,diesel_boxed,10,,,89091082.0,ns,864
bench_trivial_query,diesel_boxed,10,,,86311398.0,ns,873
bench_trivial_query,diesel_boxed,10,,,92135464.0,ns,882
bench_trivial_query,diesel_boxed,10,,,93412757.0,ns,891
bench_trivial_query,diesel_boxed,10,,,90169275.0,ns,900
