group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10000,,,277090842.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,263841868.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,244498314.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,208565142.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,266675806.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,260913430.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,284090934.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,211838588.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,210800375.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,243357504.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,246874650.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,215625238.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,249323182.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,239828357.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,260361828.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,248094366.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,254525451.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,222338227.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,218309374.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,267064416.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,270618562.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,274234810.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,232970763.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,232447850.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,265542084.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,235001183.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,217979161.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,238984436.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,218492567.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,307106830.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,218902472.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,270338347.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,229539112.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,303647184.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,246147930.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,244649710.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,258469591.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,264348468.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,285063640.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,292646439.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,244027002.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,320288702.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,268162518.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,289821602.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,250939692.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,273204484.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,295965983.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,237856221.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,270664051.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,247529348.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,257978385.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,276469730.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,262698256.0,ns,1
bench_medium_complex_query,sqlx_query_from_row,10000,,,247557057.0,ns,1
