group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,postgres,100,,,2019319.0,ns,1
bench_insert,postgres,100,,,3229730.0,ns,2
bench_insert,postgres,100,,,3844135.0,ns,3
bench_insert,postgres,100,,,5033147.0,ns,4
bench_insert,postgres,100,,,6903164.0,ns,5
bench_insert,postgres,100,,,7055566.0,ns,6
bench_insert,postgres,100,,,8570479.0,ns,7
bench_insert,postgres,100,,,11593307.0,ns,8
bench_insert,postgres,100,,,10251694.0,ns,9
bench_insert,postgres,100,,,14792536.0,ns,10
bench_insert,postgres,100,,,12367114.0,ns,11
bench_insert,postgres,100,,,14716435.0,ns,12
bench_insert,postgres,100,,,15485243.0,ns,13
bench_insert,postgres,100,,,17704463.0,ns,14
bench_insert,postgres,100,,,21921903.0,ns,15
bench_insert,postgres,100,,,20485389.0,ns,16
bench_insert,postgres,100,,,23648219.0,ns,17
bench_insert,postgres,100,,,22938412.0,ns,18
bench_insert,postgres,100,,,23367016.0,ns,19
bench_insert,postgres,100,,,23672318.0,ns,20
bench_insert,postgres,100,,,29220469.0,ns,21
bench_insert,postgres,100,,,27112750.0,ns,22
bench_insert,postgres,100,,,29363471.0,ns,23
bench_insert,postgres,100,,,29445372.0,ns,24
bench_insert,postgres,100,,,29581373.0,ns,25
bench_insert,postgres,100,,,32082596.0,ns,26
bench_insert,postgres,100,,,34384818.0,ns,27
bench_insert,postgres,100,,,34724420.0,ns,28
bench_insert,postgres,100,,,35330326.0,ns,29
bench_insert,postgres,100,,,39833967.0,ns,30
bench_insert,postgres,100,,,42372891.0,ns,31
bench_insert,postgres,100,,,40261671.0,ns,32
bench_insert,postgres,100,,,42021287.0,ns,33
bench_insert,postgres,100,,,43223798.0,ns,34
bench_insert,postgres,100,,,44414710.0,ns,35
bench_insert,postgres,100,,,43021297.0,ns,36
bench_insert,postgres,100,,,47227636.0,ns,37
bench_insert,postgres,100,,,46476429.0,ns,38
bench_insert,postgres,100,,,46233427.0,ns,39
bench_insert,postgres,100,,,50735868.0,ns,40
bench_insert,postgres,100,,,52007080.0,ns,41
bench_insert,postgres,100,,,58728242.0,ns,42
bench_insert,postgres,100,,,70256649.0,ns,43
bench_insert,postgres,100,,,63115882.0,ns,44
bench_insert,postgres,100,,,62284475.0,ns,45
bench_insert,postgres,100,,,61471467.0,ns,46
bench_insert,postgres,100,,,55057408.0,ns,47
bench_insert,postgres,100,,,56364320.0,ns,48
bench_insert,postgres,100,,,59359047.0,ns,49
bench_insert,postgres,100,,,60137455.0,ns,50
bench_insert,postgres,100,,,73323576.0,ns,51
bench_insert,postgres,100,,,82590262.0,ns,52
bench_insert,postgres,100,,,67575223.0,ns,53
bench_insert,postgres,100,,,66017109.0,ns,54
bench_insert,postgres,100,,,64986900.0,ns,55
bench_insert,postgres,100,,,67047819.0,ns,56
bench_insert,postgres,100,,,69595442.0,ns,57
bench_insert,postgres,100,,,69874846.0,ns,58
bench_insert,postgres,100,,,73799282.0,ns,59
bench_insert,postgres,100,,,86847703.0,ns,60
bench_insert,postgres,100,,,74702891.0,ns,61
bench_insert,postgres,100,,,80044840.0,ns,62
bench_insert,postgres,100,,,79375233.0,ns,63
bench_insert,postgres,100,,,77317115.0,ns,64
bench_insert,postgres,100,,,81381653.0,ns,65
bench_insert,postgres,100,,,88542718.0,ns,66
bench_insert,postgres,100,,,83610273.0,ns,67
bench_insert,postgres,100,,,82144659.0,ns,68
bench_insert,postgres,100,,,89826731.0,ns,69
bench_insert,postgres,100,,,92411854.0,ns,70
bench_insert,postgres,100,,,87247006.0,ns,71
bench_insert,postgres,100,,,87768711.0,ns,72
bench_insert,postgres,100,,,89155724.0,ns,73
bench_insert,postgres,100,,,85641792.0,ns,74
bench_insert,postgres,100,,,95796485.0,ns,75
bench_insert,postgres,100,,,98969415.0,ns,76
bench_insert,postgres,100,,,112660642.0,ns,77
bench_insert,postgres,100,,,107322392.0,ns,78
bench_insert,postgres,100,,,97498301.0,ns,79
bench_insert,postgres,100,,,97176899.0,ns,80
bench_insert,postgres,100,,,96859596.0,ns,81
bench_insert,postgres,100,,,106112681.0,ns,82
bench_insert,postgres,100,,,111605531.0,ns,83
bench_insert,postgres,100,,,104298264.0,ns,84
bench_insert,postgres,100,,,105455875.0,ns,85
bench_insert,postgres,100,,,108484203.0,ns,86
bench_insert,postgres,100,,,105928379.0,ns,87
bench_insert,postgres,100,,,105832378.0,ns,88
bench_insert,postgres,100,,,124197248.0,ns,89
bench_insert,postgres,100,,,153630520.0,ns,90
bench_insert,postgres,100,,,119032700.0,ns,91
bench_insert,postgres,100,,,120950618.0,ns,92
bench_insert,postgres,100,,,116669178.0,ns,93
bench_insert,postgres,100,,,112047536.0,ns,94
bench_insert,postgres,100,,,120284512.0,ns,95
bench_insert,postgres,100,,,134015839.0,ns,96
bench_insert,postgres,100,,,135016848.0,ns,97
bench_insert,postgres,100,,,121615924.0,ns,98
bench_insert,postgres,100,,,142204514.0,ns,99
bench_insert,postgres,100,,,123963446.0,ns,100
