group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,10000,,,58286036.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59124248.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,60060261.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58641541.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62894401.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58640341.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57046218.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57315121.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57222521.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59338751.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,54999279.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56650197.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58560117.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,61781051.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58396715.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58335614.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57658907.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55966189.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55995290.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55749188.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56012790.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62361957.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57679708.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57914710.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58176013.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58991921.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,64818182.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,60467237.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,63650970.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57238403.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58447516.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56310993.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57414905.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58520916.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56056391.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,60300235.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57115701.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57891409.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56093191.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56407194.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56544796.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55716687.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55924889.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56246492.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56583096.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57847937.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59766005.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,63984956.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62137934.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,60143210.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62350336.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,66379384.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56359065.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56984573.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55297153.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62254535.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56733669.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62073032.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57470779.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59181998.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56664469.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56900672.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58715893.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55478255.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58504091.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56798771.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56413466.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56652469.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58117986.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58564691.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,66886490.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58724293.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58535691.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59015197.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59078598.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55280252.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58594391.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,61145022.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57584980.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57734382.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58309491.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57957986.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55966762.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,61559529.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56696771.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57476881.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57624982.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57113377.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56616370.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62504341.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57776184.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,59922510.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55621158.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58384192.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,57602183.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,58914998.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,62900245.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,55769461.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,60627518.0,ns,6
bench_trivial_query,diesel_queryable_by_name,10000,,,56554170.0,ns,6
