group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rustorm,100,,,1266681.0,ns,4
bench_trivial_query,rustorm,100,,,2407455.0,ns,8
bench_trivial_query,rustorm,100,,,3721638.0,ns,12
bench_trivial_query,rustorm,100,,,4637798.0,ns,16
bench_trivial_query,rustorm,100,,,5831474.0,ns,20
bench_trivial_query,rustorm,100,,,6579122.0,ns,24
bench_trivial_query,rustorm,100,,,8237429.0,ns,28
bench_trivial_query,rustorm,100,,,9304397.0,ns,32
bench_trivial_query,rustorm,100,,,11115413.0,ns,36
bench_trivial_query,rustorm,100,,,11328327.0,ns,40
bench_trivial_query,rustorm,100,,,12295089.0,ns,44
bench_trivial_query,rustorm,100,,,13171645.0,ns,48
bench_trivial_query,rustorm,100,,,14333820.0,ns,52
bench_trivial_query,rustorm,100,,,15400288.0,ns,56
bench_trivial_query,rustorm,100,,,16261044.0,ns,60
bench_trivial_query,rustorm,100,,,17833844.0,ns,64
bench_trivial_query,rustorm,100,,,19303039.0,ns,68
bench_trivial_query,rustorm,100,,,32893612.0,ns,72
bench_trivial_query,rustorm,100,,,21248063.0,ns,76
bench_trivial_query,rustorm,100,,,22239227.0,ns,80
bench_trivial_query,rustorm,100,,,23878133.0,ns,84
bench_trivial_query,rustorm,100,,,24153951.0,ns,88
bench_trivial_query,rustorm,100,,,29650404.0,ns,92
bench_trivial_query,rustorm,100,,,26694713.0,ns,96
bench_trivial_query,rustorm,100,,,28265415.0,ns,100
bench_trivial_query,rustorm,100,,,28707943.0,ns,104
bench_trivial_query,rustorm,100,,,29862017.0,ns,108
bench_trivial_query,rustorm,100,,,37418802.0,ns,112
bench_trivial_query,rustorm,100,,,31641031.0,ns,116
bench_trivial_query,rustorm,100,,,32968616.0,ns,120
bench_trivial_query,rustorm,100,,,35869102.0,ns,124
bench_trivial_query,rustorm,100,,,34832436.0,ns,128
bench_trivial_query,rustorm,100,,,36388936.0,ns,132
bench_trivial_query,rustorm,100,,,38776689.0,ns,136
bench_trivial_query,rustorm,100,,,37231190.0,ns,140
bench_trivial_query,rustorm,100,,,38865895.0,ns,144
bench_trivial_query,rustorm,100,,,39974166.0,ns,148
bench_trivial_query,rustorm,100,,,43571397.0,ns,152
bench_trivial_query,rustorm,100,,,42842350.0,ns,156
bench_trivial_query,rustorm,100,,,43315081.0,ns,160
bench_trivial_query,rustorm,100,,,45407515.0,ns,164
bench_trivial_query,rustorm,100,,,46219067.0,ns,168
bench_trivial_query,rustorm,100,,,47852972.0,ns,172
bench_trivial_query,rustorm,100,,,47943372.0,ns,176
bench_trivial_query,rustorm,100,,,48512007.0,ns,180
bench_trivial_query,rustorm,100,,,49775387.0,ns,184
bench_trivial_query,rustorm,100,,,49525872.0,ns,188
bench_trivial_query,rustorm,100,,,50442630.0,ns,192
bench_trivial_query,rustorm,100,,,51967028.0,ns,196
bench_trivial_query,rustorm,100,,,56450415.0,ns,200
