group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,100,,,1619923.0,ns,3
bench_trivial_query,sqlx_query_as_macro,100,,,2306833.0,ns,6
bench_trivial_query,sqlx_query_as_macro,100,,,3277546.0,ns,9
bench_trivial_query,sqlx_query_as_macro,100,,,4395663.0,ns,12
bench_trivial_query,sqlx_query_as_macro,100,,,5423676.0,ns,15
bench_trivial_query,sqlx_query_as_macro,100,,,6246988.0,ns,18
bench_trivial_query,sqlx_query_as_macro,100,,,7398405.0,ns,21
bench_trivial_query,sqlx_query_as_macro,100,,,8738624.0,ns,24
bench_trivial_query,sqlx_query_as_macro,100,,,9123029.0,ns,27
bench_trivial_query,sqlx_query_as_macro,100,,,10026442.0,ns,30
bench_trivial_query,sqlx_query_as_macro,100,,,11248859.0,ns,33
bench_trivial_query,sqlx_query_as_macro,100,,,13541692.0,ns,36
bench_trivial_query,sqlx_query_as_macro,100,,,13493291.0,ns,39
bench_trivial_query,sqlx_query_as_macro,100,,,14396004.0,ns,42
bench_trivial_query,sqlx_query_as_macro,100,,,15489219.0,ns,45
bench_trivial_query,sqlx_query_as_macro,100,,,16174629.0,ns,48
bench_trivial_query,sqlx_query_as_macro,100,,,16907340.0,ns,51
bench_trivial_query,sqlx_query_as_macro,100,,,18199558.0,ns,54
bench_trivial_query,sqlx_query_as_macro,100,,,21224701.0,ns,57
bench_trivial_query,sqlx_query_as_macro,100,,,20390689.0,ns,60
bench_trivial_query,sqlx_query_as_macro,100,,,21679308.0,ns,63
bench_trivial_query,sqlx_query_as_macro,100,,,21233001.0,ns,66
bench_trivial_query,sqlx_query_as_macro,100,,,23088827.0,ns,69
bench_trivial_query,sqlx_query_as_macro,100,,,24469247.0,ns,72
bench_trivial_query,sqlx_query_as_macro,100,,,26178671.0,ns,75
bench_trivial_query,sqlx_query_as_macro,100,,,33871680.0,ns,78
bench_trivial_query,sqlx_query_as_macro,100,,,29099712.0,ns,81
bench_trivial_query,sqlx_query_as_macro,100,,,28311102.0,ns,84
bench_trivial_query,sqlx_query_as_macro,100,,,29968325.0,ns,87
bench_trivial_query,sqlx_query_as_macro,100,,,31086741.0,ns,90
bench_trivial_query,sqlx_query_as_macro,100,,,31129142.0,ns,93
bench_trivial_query,sqlx_query_as_macro,100,,,32847166.0,ns,96
bench_trivial_query,sqlx_query_as_macro,100,,,34352987.0,ns,99
bench_trivial_query,sqlx_query_as_macro,100,,,34756193.0,ns,102
bench_trivial_query,sqlx_query_as_macro,100,,,35949909.0,ns,105
bench_trivial_query,sqlx_query_as_macro,100,,,36042411.0,ns,108
bench_trivial_query,sqlx_query_as_macro,100,,,37449831.0,ns,111
bench_trivial_query,sqlx_query_as_macro,100,,,38102140.0,ns,114
bench_trivial_query,sqlx_query_as_macro,100,,,44659133.0,ns,117
bench_trivial_query,sqlx_query_as_macro,100,,,40797678.0,ns,120
bench_trivial_query,sqlx_query_as_macro,100,,,41199985.0,ns,123
bench_trivial_query,sqlx_query_as_macro,100,,,42120298.0,ns,126
bench_trivial_query,sqlx_query_as_macro,100,,,44204127.0,ns,129
bench_trivial_query,sqlx_query_as_macro,100,,,44473030.0,ns,132
bench_trivial_query,sqlx_query_as_macro,100,,,45862051.0,ns,135
bench_trivial_query,sqlx_query_as_macro,100,,,45567046.0,ns,138
bench_trivial_query,sqlx_query_as_macro,100,,,48165683.0,ns,141
bench_trivial_query,sqlx_query_as_macro,100,,,48842995.0,ns,144
bench_trivial_query,sqlx_query_as_macro,100,,,50611720.0,ns,147
bench_trivial_query,sqlx_query_as_macro,100,,,54377374.0,ns,150
bench_trivial_query,sqlx_query_as_macro,100,,,61080369.0,ns,153
bench_trivial_query,sqlx_query_as_macro,100,,,61494175.0,ns,156
bench_trivial_query,sqlx_query_as_macro,100,,,54643177.0,ns,159
bench_trivial_query,sqlx_query_as_macro,100,,,61783979.0,ns,162
bench_trivial_query,sqlx_query_as_macro,100,,,57241414.0,ns,165
bench_trivial_query,sqlx_query_as_macro,100,,,59217743.0,ns,168
bench_trivial_query,sqlx_query_as_macro,100,,,61581976.0,ns,171
bench_trivial_query,sqlx_query_as_macro,100,,,59125142.0,ns,174
bench_trivial_query,sqlx_query_as_macro,100,,,60772264.0,ns,177
bench_trivial_query,sqlx_query_as_macro,100,,,60802965.0,ns,180
bench_trivial_query,sqlx_query_as_macro,100,,,64866623.0,ns,183
bench_trivial_query,sqlx_query_as_macro,100,,,70497802.0,ns,186
bench_trivial_query,sqlx_query_as_macro,100,,,65247328.0,ns,189
bench_trivial_query,sqlx_query_as_macro,100,,,64762722.0,ns,192
bench_trivial_query,sqlx_query_as_macro,100,,,66772450.0,ns,195
bench_trivial_query,sqlx_query_as_macro,100,,,68003667.0,ns,198
bench_trivial_query,sqlx_query_as_macro,100,,,71797621.0,ns,201
bench_trivial_query,sqlx_query_as_macro,100,,,68810479.0,ns,204
bench_trivial_query,sqlx_query_as_macro,100,,,73113140.0,ns,207
bench_trivial_query,sqlx_query_as_macro,100,,,71462616.0,ns,210
bench_trivial_query,sqlx_query_as_macro,100,,,75030267.0,ns,213
bench_trivial_query,sqlx_query_as_macro,100,,,75049868.0,ns,216
bench_trivial_query,sqlx_query_as_macro,100,,,75163469.0,ns,219
bench_trivial_query,sqlx_query_as_macro,100,,,82052267.0,ns,222
bench_trivial_query,sqlx_query_as_macro,100,,,77265099.0,ns,225
bench_trivial_query,sqlx_query_as_macro,100,,,83339785.0,ns,228
bench_trivial_query,sqlx_query_as_macro,100,,,78824721.0,ns,231
bench_trivial_query,sqlx_query_as_macro,100,,,82227070.0,ns,234
