group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,10,,,1855818.0,ns,6
bench_medium_complex_query,diesel_boxed,10,,,2960429.0,ns,12
bench_medium_complex_query,diesel_boxed,10,,,3852537.0,ns,18
bench_medium_complex_query,diesel_boxed,10,,,5168450.0,ns,24
bench_medium_complex_query,diesel_boxed,10,,,9989596.0,ns,30
bench_medium_complex_query,diesel_boxed,10,,,7009068.0,ns,36
bench_medium_complex_query,diesel_boxed,10,,,7954677.0,ns,42
bench_medium_complex_query,diesel_boxed,10,,,9285389.0,ns,48
bench_medium_complex_query,diesel_boxed,10,,,10258998.0,ns,54
bench_medium_complex_query,diesel_boxed,10,,,11202407.0,ns,60
bench_medium_complex_query,diesel_boxed,10,,,13085326.0,ns,66
bench_medium_complex_query,diesel_boxed,10,,,12821923.0,ns,72
bench_medium_complex_query,diesel_boxed,10,,,19371086.0,ns,78
bench_medium_complex_query,diesel_boxed,10,,,15959153.0,ns,84
bench_medium_complex_query,diesel_boxed,10,,,16263157.0,ns,90
bench_medium_complex_query,diesel_boxed,10,,,17816771.0,ns,96
bench_medium_complex_query,diesel_boxed,10,,,18399577.0,ns,102
bench_medium_complex_query,diesel_boxed,10,,,19507387.0,ns,108
bench_medium_complex_query,diesel_boxed,10,,,20092193.0,ns,114
bench_medium_complex_query,diesel_boxed,10,,,26725457.0,ns,120
bench_medium_complex_query,diesel_boxed,10,,,22691518.0,ns,126
bench_medium_complex_query,diesel_boxed,10,,,23818428.0,ns,132
bench_medium_complex_query,diesel_boxed,10,,,24395735.0,ns,138
bench_medium_complex_query,diesel_boxed,10,,,26164951.0,ns,144
bench_medium_complex_query,diesel_boxed,10,,,26959859.0,ns,150
bench_medium_complex_query,diesel_boxed,10,,,27912768.0,ns,156
bench_medium_complex_query,diesel_boxed,10,,,28743376.0,ns,162
bench_medium_complex_query,diesel_boxed,10,,,29575884.0,ns,168
bench_medium_complex_query,diesel_boxed,10,,,32907016.0,ns,174
bench_medium_complex_query,diesel_boxed,10,,,33112318.0,ns,180
bench_medium_complex_query,diesel_boxed,10,,,40559290.0,ns,186
bench_medium_complex_query,diesel_boxed,10,,,36766353.0,ns,192
bench_medium_complex_query,diesel_boxed,10,,,35489941.0,ns,198
bench_medium_complex_query,diesel_boxed,10,,,36601052.0,ns,204
bench_medium_complex_query,diesel_boxed,10,,,37683562.0,ns,210
bench_medium_complex_query,diesel_boxed,10,,,38223067.0,ns,216
bench_medium_complex_query,diesel_boxed,10,,,38596671.0,ns,222
bench_medium_complex_query,diesel_boxed,10,,,46916951.0,ns,228
bench_medium_complex_query,diesel_boxed,10,,,41806302.0,ns,234
bench_medium_complex_query,diesel_boxed,10,,,41122995.0,ns,240
bench_medium_complex_query,diesel_boxed,10,,,48131563.0,ns,246
bench_medium_complex_query,diesel_boxed,10,,,46537247.0,ns,252
bench_medium_complex_query,diesel_boxed,10,,,48054062.0,ns,258
bench_medium_complex_query,diesel_boxed,10,,,46676349.0,ns,264
bench_medium_complex_query,diesel_boxed,10,,,48368865.0,ns,270
bench_medium_complex_query,diesel_boxed,10,,,50846589.0,ns,276
bench_medium_complex_query,diesel_boxed,10,,,50190682.0,ns,282
bench_medium_complex_query,diesel_boxed,10,,,50778488.0,ns,288
bench_medium_complex_query,diesel_boxed,10,,,52243802.0,ns,294
bench_medium_complex_query,diesel_boxed,10,,,52378903.0,ns,300
bench_medium_complex_query,diesel_boxed,10,,,53359813.0,ns,306
bench_medium_complex_query,diesel_boxed,10,,,55482233.0,ns,312
bench_medium_complex_query,diesel_boxed,10,,,55465433.0,ns,318
bench_medium_complex_query,diesel_boxed,10,,,56552644.0,ns,324
bench_medium_complex_query,diesel_boxed,10,,,59161469.0,ns,330
bench_medium_complex_query,diesel_boxed,10,,,67017144.0,ns,336
bench_medium_complex_query,diesel_boxed,10,,,60334380.0,ns,342
bench_medium_complex_query,diesel_boxed,10,,,64350619.0,ns,348
bench_medium_complex_query,diesel_boxed,10,,,61547791.0,ns,354
bench_medium_complex_query,diesel_boxed,10,,,61948295.0,ns,360
bench_medium_complex_query,diesel_boxed,10,,,64677721.0,ns,366
bench_medium_complex_query,diesel_boxed,10,,,64999024.0,ns,372
bench_medium_complex_query,diesel_boxed,10,,,66473538.0,ns,378
bench_medium_complex_query,diesel_boxed,10,,,67050044.0,ns,384
bench_medium_complex_query,diesel_boxed,10,,,71226785.0,ns,390
bench_medium_complex_query,diesel_boxed,10,,,68506258.0,ns,396
bench_medium_complex_query,diesel_boxed,10,,,69529668.0,ns,402
bench_medium_complex_query,diesel_boxed,10,,,71448586.0,ns,408
bench_medium_complex_query,diesel_boxed,10,,,72846900.0,ns,414
bench_medium_complex_query,diesel_boxed,10,,,88378349.0,ns,420
bench_medium_complex_query,diesel_boxed,10,,,74134912.0,ns,426
bench_medium_complex_query,diesel_boxed,10,,,75371524.0,ns,432
bench_medium_complex_query,diesel_boxed,10,,,76292133.0,ns,438
bench_medium_complex_query,diesel_boxed,10,,,78189451.0,ns,444
bench_medium_complex_query,diesel_boxed,10,,,78198251.0,ns,450
bench_medium_complex_query,diesel_boxed,10,,,84374210.0,ns,456
bench_medium_complex_query,diesel_boxed,10,,,80934378.0,ns,462
bench_medium_complex_query,diesel_boxed,10,,,80209371.0,ns,468
bench_medium_complex_query,diesel_boxed,10,,,87501140.0,ns,474
bench_medium_complex_query,diesel_boxed,10,,,84055807.0,ns,480
bench_medium_complex_query,diesel_boxed,10,,,84189809.0,ns,486
bench_medium_complex_query,diesel_boxed,10,,,85243319.0,ns,492
bench_medium_complex_query,diesel_boxed,10,,,90404869.0,ns,498
bench_medium_complex_query,diesel_boxed,10,,,92845392.0,ns,504
bench_medium_complex_query,diesel_boxed,10,,,106205020.0,ns,510
bench_medium_complex_query,diesel_boxed,10,,,89582560.0,ns,516
bench_medium_complex_query,diesel_boxed,10,,,90508970.0,ns,522
bench_medium_complex_query,diesel_boxed,10,,,92216186.0,ns,528
bench_medium_complex_query,diesel_boxed,10,,,99393354.0,ns,534
bench_medium_complex_query,diesel_boxed,10,,,94542708.0,ns,540
bench_medium_complex_query,diesel_boxed,10,,,96120023.0,ns,546
bench_medium_complex_query,diesel_boxed,10,,,107193530.0,ns,552
bench_medium_complex_query,diesel_boxed,10,,,97353236.0,ns,558
bench_medium_complex_query,diesel_boxed,10,,,98108243.0,ns,564
bench_medium_complex_query,diesel_boxed,10,,,98252344.0,ns,570
bench_medium_complex_query,diesel_boxed,10,,,102638386.0,ns,576
bench_medium_complex_query,diesel_boxed,10,,,103128891.0,ns,582
bench_medium_complex_query,diesel_boxed,10,,,122047172.0,ns,588
bench_medium_complex_query,diesel_boxed,10,,,115948314.0,ns,594
bench_medium_complex_query,diesel_boxed,10,,,118909543.0,ns,600
