group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,1,,,1008516.0,ns,285
bench_trivial_query,diesel_queryable_by_name,1,,,2020431.0,ns,570
bench_trivial_query,diesel_queryable_by_name,1,,,3059047.0,ns,855
bench_trivial_query,diesel_queryable_by_name,1,,,3962661.0,ns,1140
bench_trivial_query,diesel_queryable_by_name,1,,,5030278.0,ns,1425
bench_trivial_query,diesel_queryable_by_name,1,,,6013793.0,ns,1710
bench_trivial_query,diesel_queryable_by_name,1,,,7016409.0,ns,1995
bench_trivial_query,diesel_queryable_by_name,1,,,7962323.0,ns,2280
bench_trivial_query,diesel_queryable_by_name,1,,,9005740.0,ns,2565
bench_trivial_query,diesel_queryable_by_name,1,,,9971954.0,ns,2850
bench_trivial_query,diesel_queryable_by_name,1,,,10877869.0,ns,3135
bench_trivial_query,diesel_queryable_by_name,1,,,12009986.0,ns,3420
bench_trivial_query,diesel_queryable_by_name,1,,,12724897.0,ns,3705
bench_trivial_query,diesel_queryable_by_name,1,,,13915715.0,ns,3990
bench_trivial_query,diesel_queryable_by_name,1,,,14941632.0,ns,4275
bench_trivial_query,diesel_queryable_by_name,1,,,15580441.0,ns,4560
bench_trivial_query,diesel_queryable_by_name,1,,,16947163.0,ns,4845
bench_trivial_query,diesel_queryable_by_name,1,,,18081980.0,ns,5130
bench_trivial_query,diesel_queryable_by_name,1,,,18782891.0,ns,5415
bench_trivial_query,diesel_queryable_by_name,1,,,19605004.0,ns,5700
bench_trivial_query,diesel_queryable_by_name,1,,,20680420.0,ns,5985
bench_trivial_query,diesel_queryable_by_name,1,,,21740937.0,ns,6270
bench_trivial_query,diesel_queryable_by_name,1,,,22522549.0,ns,6555
bench_trivial_query,diesel_queryable_by_name,1,,,23595365.0,ns,6840
bench_trivial_query,diesel_queryable_by_name,1,,,24911885.0,ns,7125
bench_trivial_query,diesel_queryable_by_name,1,,,25598096.0,ns,7410
bench_trivial_query,diesel_queryable_by_name,1,,,26786615.0,ns,7695
bench_trivial_query,diesel_queryable_by_name,1,,,27811131.0,ns,7980
bench_trivial_query,diesel_queryable_by_name,1,,,28833646.0,ns,8265
bench_trivial_query,diesel_queryable_by_name,1,,,29692259.0,ns,8550
bench_trivial_query,diesel_queryable_by_name,1,,,31084181.0,ns,8835
bench_trivial_query,diesel_queryable_by_name,1,,,31893594.0,ns,9120
bench_trivial_query,diesel_queryable_by_name,1,,,32736207.0,ns,9405
bench_trivial_query,diesel_queryable_by_name,1,,,34336532.0,ns,9690
bench_trivial_query,diesel_queryable_by_name,1,,,34627136.0,ns,9975
bench_trivial_query,diesel_queryable_by_name,1,,,35833355.0,ns,10260
bench_trivial_query,diesel_queryable_by_name,1,,,37067774.0,ns,10545
bench_trivial_query,diesel_queryable_by_name,1,,,37901486.0,ns,10830
bench_trivial_query,diesel_queryable_by_name,1,,,38854601.0,ns,11115
bench_trivial_query,diesel_queryable_by_name,1,,,39823517.0,ns,11400
bench_trivial_query,diesel_queryable_by_name,1,,,40540328.0,ns,11685
bench_trivial_query,diesel_queryable_by_name,1,,,42128353.0,ns,11970
bench_trivial_query,diesel_queryable_by_name,1,,,42661760.0,ns,12255
bench_trivial_query,diesel_queryable_by_name,1,,,43389072.0,ns,12540
bench_trivial_query,diesel_queryable_by_name,1,,,45010597.0,ns,12825
bench_trivial_query,diesel_queryable_by_name,1,,,45377202.0,ns,13110
bench_trivial_query,diesel_queryable_by_name,1,,,46020012.0,ns,13395
bench_trivial_query,diesel_queryable_by_name,1,,,47918942.0,ns,13680
bench_trivial_query,diesel_queryable_by_name,1,,,49080960.0,ns,13965
bench_trivial_query,diesel_queryable_by_name,1,,,49673269.0,ns,14250
bench_trivial_query,diesel_queryable_by_name,1,,,50342579.0,ns,14535
bench_trivial_query,diesel_queryable_by_name,1,,,51381795.0,ns,14820
bench_trivial_query,diesel_queryable_by_name,1,,,52279909.0,ns,15105
bench_trivial_query,diesel_queryable_by_name,1,,,53990636.0,ns,15390
bench_trivial_query,diesel_queryable_by_name,1,,,54634346.0,ns,15675
bench_trivial_query,diesel_queryable_by_name,1,,,55854865.0,ns,15960
bench_trivial_query,diesel_queryable_by_name,1,,,56542576.0,ns,16245
bench_trivial_query,diesel_queryable_by_name,1,,,57247386.0,ns,16530
bench_trivial_query,diesel_queryable_by_name,1,,,57807096.0,ns,16815
bench_trivial_query,diesel_queryable_by_name,1,,,59752325.0,ns,17100
bench_trivial_query,diesel_queryable_by_name,1,,,59993229.0,ns,17385
bench_trivial_query,diesel_queryable_by_name,1,,,61370050.0,ns,17670
bench_trivial_query,diesel_queryable_by_name,1,,,63019176.0,ns,17955
bench_trivial_query,diesel_queryable_by_name,1,,,63649086.0,ns,18240
bench_trivial_query,diesel_queryable_by_name,1,,,64914705.0,ns,18525
bench_trivial_query,diesel_queryable_by_name,1,,,65991021.0,ns,18810
bench_trivial_query,diesel_queryable_by_name,1,,,66511430.0,ns,19095
bench_trivial_query,diesel_queryable_by_name,1,,,67887451.0,ns,19380
bench_trivial_query,diesel_queryable_by_name,1,,,69496776.0,ns,19665
bench_trivial_query,diesel_queryable_by_name,1,,,69821781.0,ns,19950
bench_trivial_query,diesel_queryable_by_name,1,,,71396506.0,ns,20235
bench_trivial_query,diesel_queryable_by_name,1,,,72324220.0,ns,20520
bench_trivial_query,diesel_queryable_by_name,1,,,72204018.0,ns,20805
bench_trivial_query,diesel_queryable_by_name,1,,,72222319.0,ns,21090
bench_trivial_query,diesel_queryable_by_name,1,,,74861259.0,ns,21375
bench_trivial_query,diesel_queryable_by_name,1,,,76041978.0,ns,21660
bench_trivial_query,diesel_queryable_by_name,1,,,77171895.0,ns,21945
bench_trivial_query,diesel_queryable_by_name,1,,,78194411.0,ns,22230
bench_trivial_query,diesel_queryable_by_name,1,,,77819805.0,ns,22515
bench_trivial_query,diesel_queryable_by_name,1,,,79150525.0,ns,22800
bench_trivial_query,diesel_queryable_by_name,1,,,80273343.0,ns,23085
bench_trivial_query,diesel_queryable_by_name,1,,,81988170.0,ns,23370
bench_trivial_query,diesel_queryable_by_name,1,,,83869299.0,ns,23655
bench_trivial_query,diesel_queryable_by_name,1,,,84096302.0,ns,23940
bench_trivial_query,diesel_queryable_by_name,1,,,84772513.0,ns,24225
bench_trivial_query,diesel_queryable_by_name,1,,,85026517.0,ns,24510
bench_trivial_query,diesel_queryable_by_name,1,,,85522124.0,ns,24795
bench_trivial_query,diesel_queryable_by_name,1,,,87914061.0,ns,25080
bench_trivial_query,diesel_queryable_by_name,1,,,88509571.0,ns,25365
bench_trivial_query,diesel_queryable_by_name,1,,,89153680.0,ns,25650
bench_trivial_query,diesel_queryable_by_name,1,,,89435685.0,ns,25935
bench_trivial_query,diesel_queryable_by_name,1,,,91629219.0,ns,26220
bench_trivial_query,diesel_queryable_by_name,1,,,93209243.0,ns,26505
bench_trivial_query,diesel_queryable_by_name,1,,,95095472.0,ns,26790
