group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rustorm,1,,,1732512.0,ns,9
bench_medium_complex_query,rustorm,1,,,2839983.0,ns,18
bench_medium_complex_query,rustorm,1,,,4067863.0,ns,27
bench_medium_complex_query,rustorm,1,,,5025824.0,ns,36
bench_medium_complex_query,rustorm,1,,,6016688.0,ns,45
bench_medium_complex_query,rustorm,1,,,7213665.0,ns,54
bench_medium_complex_query,rustorm,1,,,8236731.0,ns,63
bench_medium_complex_query,rustorm,1,,,9269298.0,ns,72
bench_medium_complex_query,rustorm,1,,,10068749.0,ns,81
bench_medium_complex_query,rustorm,1,,,14230418.0,ns,90
bench_medium_complex_query,rustorm,1,,,11803561.0,ns,99
bench_medium_complex_query,rustorm,1,,,13835792.0,ns,108
bench_medium_complex_query,rustorm,1,,,14881260.0,ns,117
bench_medium_complex_query,rustorm,1,,,14926863.0,ns,126
bench_medium_complex_query,rustorm,1,,,16428059.0,ns,135
bench_medium_complex_query,rustorm,1,,,17069301.0,ns,144
bench_medium_complex_query,rustorm,1,,,17874353.0,ns,153
bench_medium_complex_query,rustorm,1,,,19112133.0,ns,162
bench_medium_complex_query,rustorm,1,,,20248306.0,ns,171
bench_medium_complex_query,rustorm,1,,,22296138.0,ns,180
bench_medium_complex_query,rustorm,1,,,22373143.0,ns,189
bench_medium_complex_query,rustorm,1,,,23597712.0,ns,198
bench_medium_complex_query,rustorm,1,,,24070542.0,ns,207
bench_medium_complex_query,rustorm,1,,,24384162.0,ns,216
bench_medium_complex_query,rustorm,1,,,26815918.0,ns,225
bench_medium_complex_query,rustorm,1,,,28757043.0,ns,234
bench_medium_complex_query,rustorm,1,,,28039697.0,ns,243
bench_medium_complex_query,rustorm,1,,,29237574.0,ns,252
bench_medium_complex_query,rustorm,1,,,31862341.0,ns,261
bench_medium_complex_query,rustorm,1,,,31766036.0,ns,270
bench_medium_complex_query,rustorm,1,,,33216028.0,ns,279
bench_medium_complex_query,rustorm,1,,,34459608.0,ns,288
bench_medium_complex_query,rustorm,1,,,34381603.0,ns,297
bench_medium_complex_query,rustorm,1,,,36402732.0,ns,306
bench_medium_complex_query,rustorm,1,,,35606281.0,ns,315
bench_medium_complex_query,rustorm,1,,,35777492.0,ns,324
bench_medium_complex_query,rustorm,1,,,38430262.0,ns,333
bench_medium_complex_query,rustorm,1,,,40170374.0,ns,342
bench_medium_complex_query,rustorm,1,,,40602401.0,ns,351
bench_medium_complex_query,rustorm,1,,,42105198.0,ns,360
bench_medium_complex_query,rustorm,1,,,42639032.0,ns,369
bench_medium_complex_query,rustorm,1,,,43939615.0,ns,378
bench_medium_complex_query,rustorm,1,,,44991483.0,ns,387
bench_medium_complex_query,rustorm,1,,,45357106.0,ns,396
bench_medium_complex_query,rustorm,1,,,48755124.0,ns,405
bench_medium_complex_query,rustorm,1,,,47267328.0,ns,414
bench_medium_complex_query,rustorm,1,,,48440204.0,ns,423
