group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rustorm,100,,,57549375.0,ns,17
bench_insert,rustorm,100,,,56177457.0,ns,17
bench_insert,rustorm,100,,,54330932.0,ns,17
bench_insert,rustorm,100,,,54658736.0,ns,17
bench_insert,rustorm,100,,,72894982.0,ns,17
bench_insert,rustorm,100,,,61310226.0,ns,17
bench_insert,rustorm,100,,,53485421.0,ns,17
bench_insert,rustorm,100,,,50637383.0,ns,17
bench_insert,rustorm,100,,,52206803.0,ns,17
bench_insert,rustorm,100,,,53660923.0,ns,17
bench_insert,rustorm,100,,,52739808.0,ns,17
bench_insert,rustorm,100,,,49992672.0,ns,17
bench_insert,rustorm,100,,,52634607.0,ns,17
bench_insert,rustorm,100,,,66264390.0,ns,17
bench_insert,rustorm,100,,,54486232.0,ns,17
bench_insert,rustorm,100,,,50526278.0,ns,17
bench_insert,rustorm,100,,,54047526.0,ns,17
bench_insert,rustorm,100,,,55116240.0,ns,17
bench_insert,rustorm,100,,,54912638.0,ns,17
bench_insert,rustorm,100,,,52444605.0,ns,17
bench_insert,rustorm,100,,,49730668.0,ns,17
bench_insert,rustorm,100,,,45895916.0,ns,17
bench_insert,rustorm,100,,,56780663.0,ns,17
bench_insert,rustorm,100,,,48408550.0,ns,17
bench_insert,rustorm,100,,,50041673.0,ns,17
bench_insert,rustorm,100,,,59290197.0,ns,17
bench_insert,rustorm,100,,,50576480.0,ns,17
bench_insert,rustorm,100,,,50613280.0,ns,17
bench_insert,rustorm,100,,,51044486.0,ns,17
bench_insert,rustorm,100,,,54504732.0,ns,17
bench_insert,rustorm,100,,,54399131.0,ns,17
bench_insert,rustorm,100,,,53033713.0,ns,17
bench_insert,rustorm,100,,,56835264.0,ns,17
bench_insert,rustorm,100,,,57176468.0,ns,17
bench_insert,rustorm,100,,,52164801.0,ns,17
bench_insert,rustorm,100,,,54023026.0,ns,17
bench_insert,rustorm,100,,,52043699.0,ns,17
bench_insert,rustorm,100,,,73080682.0,ns,17
bench_insert,rustorm,100,,,51092386.0,ns,17
bench_insert,rustorm,100,,,50706281.0,ns,17
bench_insert,rustorm,100,,,52988912.0,ns,17
bench_insert,rustorm,100,,,58595387.0,ns,17
bench_insert,rustorm,100,,,57913278.0,ns,17
bench_insert,rustorm,100,,,53234216.0,ns,17
bench_insert,rustorm,100,,,76621429.0,ns,17
bench_insert,rustorm,100,,,58627388.0,ns,17
bench_insert,rustorm,100,,,55155641.0,ns,17
bench_insert,rustorm,100,,,54332930.0,ns,17
bench_insert,rustorm,100,,,51296689.0,ns,17
bench_insert,rustorm,100,,,54936438.0,ns,17
bench_insert,rustorm,100,,,55194442.0,ns,17
bench_insert,rustorm,100,,,57652774.0,ns,17
bench_insert,rustorm,100,,,56356657.0,ns,17
bench_insert,rustorm,100,,,52610706.0,ns,17
bench_insert,rustorm,100,,,54919638.0,ns,17
bench_insert,rustorm,100,,,52008099.0,ns,17
bench_insert,rustorm,100,,,55471045.0,ns,17
bench_insert,rustorm,100,,,51715195.0,ns,17
bench_insert,rustorm,100,,,62511740.0,ns,17
bench_insert,rustorm,100,,,64703269.0,ns,17
bench_insert,rustorm,100,,,65966786.0,ns,17
bench_insert,rustorm,100,,,53669421.0,ns,17
bench_insert,rustorm,100,,,49321863.0,ns,17
bench_insert,rustorm,100,,,51334390.0,ns,17
bench_insert,rustorm,100,,,63196649.0,ns,17
bench_insert,rustorm,100,,,56316757.0,ns,17
bench_insert,rustorm,100,,,59877104.0,ns,17
bench_insert,rustorm,100,,,53167014.0,ns,17
bench_insert,rustorm,100,,,52421305.0,ns,17
bench_insert,rustorm,100,,,51176988.0,ns,17
bench_insert,rustorm,100,,,48753755.0,ns,17
bench_insert,rustorm,100,,,51375290.0,ns,17
bench_insert,rustorm,100,,,49663267.0,ns,17
bench_insert,rustorm,100,,,52241302.0,ns,17
bench_insert,rustorm,100,,,50728882.0,ns,17
bench_insert,rustorm,100,,,59995706.0,ns,17
bench_insert,rustorm,100,,,55182242.0,ns,17
bench_insert,rustorm,100,,,54082327.0,ns,17
bench_insert,rustorm,100,,,58874191.0,ns,17
bench_insert,rustorm,100,,,55302243.0,ns,17
bench_insert,rustorm,100,,,56095854.0,ns,17
bench_insert,rustorm,100,,,53469418.0,ns,17
bench_insert,rustorm,100,,,47679440.0,ns,17
bench_insert,rustorm,100,,,51790896.0,ns,17
bench_insert,rustorm,100,,,56155854.0,ns,17
bench_insert,rustorm,100,,,64148762.0,ns,17
bench_insert,rustorm,100,,,66215290.0,ns,17
bench_insert,rustorm,100,,,67995014.0,ns,17
bench_insert,rustorm,100,,,50479878.0,ns,17
bench_insert,rustorm,100,,,51650493.0,ns,17
bench_insert,rustorm,100,,,55022239.0,ns,17
bench_insert,rustorm,100,,,52688907.0,ns,17
bench_insert,rustorm,100,,,54421731.0,ns,17
bench_insert,rustorm,100,,,67732410.0,ns,17
bench_insert,rustorm,100,,,78646556.0,ns,17
bench_insert,rustorm,100,,,51688994.0,ns,17
bench_insert,rustorm,100,,,59958605.0,ns,17
bench_insert,rustorm,100,,,52608406.0,ns,17
bench_insert,rustorm,100,,,60318710.0,ns,17
bench_insert,rustorm,100,,,54796736.0,ns,17
