group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_id,1,,,1344126.0,ns,16
bench_medium_complex_query,postgres_by_id,1,,,2333645.0,ns,32
bench_medium_complex_query,postgres_by_id,1,,,3338964.0,ns,48
bench_medium_complex_query,postgres_by_id,1,,,4875293.0,ns,64
bench_medium_complex_query,postgres_by_id,1,,,5460205.0,ns,80
bench_medium_complex_query,postgres_by_id,1,,,6327522.0,ns,96
bench_medium_complex_query,postgres_by_id,1,,,7545944.0,ns,112
bench_medium_complex_query,postgres_by_id,1,,,8779768.0,ns,128
bench_medium_complex_query,postgres_by_id,1,,,9280478.0,ns,144
bench_medium_complex_query,postgres_by_id,1,,,10405800.0,ns,160
bench_medium_complex_query,postgres_by_id,1,,,11308617.0,ns,176
bench_medium_complex_query,postgres_by_id,1,,,12713544.0,ns,192
bench_medium_complex_query,postgres_by_id,1,,,13584760.0,ns,208
bench_medium_complex_query,postgres_by_id,1,,,14519778.0,ns,224
bench_medium_complex_query,postgres_by_id,1,,,15632000.0,ns,240
bench_medium_complex_query,postgres_by_id,1,,,16629719.0,ns,256
bench_medium_complex_query,postgres_by_id,1,,,17333533.0,ns,272
bench_medium_complex_query,postgres_by_id,1,,,18851761.0,ns,288
bench_medium_complex_query,postgres_by_id,1,,,19375371.0,ns,304
bench_medium_complex_query,postgres_by_id,1,,,20700097.0,ns,320
bench_medium_complex_query,postgres_by_id,1,,,21990222.0,ns,336
bench_medium_complex_query,postgres_by_id,1,,,22395530.0,ns,352
bench_medium_complex_query,postgres_by_id,1,,,23820757.0,ns,368
bench_medium_complex_query,postgres_by_id,1,,,24501470.0,ns,384
bench_medium_complex_query,postgres_by_id,1,,,26116601.0,ns,400
bench_medium_complex_query,postgres_by_id,1,,,26569110.0,ns,416
bench_medium_complex_query,postgres_by_id,1,,,27335525.0,ns,432
bench_medium_complex_query,postgres_by_id,1,,,28782052.0,ns,448
bench_medium_complex_query,postgres_by_id,1,,,30367382.0,ns,464
bench_medium_complex_query,postgres_by_id,1,,,31873512.0,ns,480
bench_medium_complex_query,postgres_by_id,1,,,32806329.0,ns,496
bench_medium_complex_query,postgres_by_id,1,,,32935532.0,ns,512
bench_medium_complex_query,postgres_by_id,1,,,33999553.0,ns,528
bench_medium_complex_query,postgres_by_id,1,,,34657565.0,ns,544
bench_medium_complex_query,postgres_by_id,1,,,35970890.0,ns,560
bench_medium_complex_query,postgres_by_id,1,,,37520720.0,ns,576
bench_medium_complex_query,postgres_by_id,1,,,48242025.0,ns,592
bench_medium_complex_query,postgres_by_id,1,,,39850965.0,ns,608
bench_medium_complex_query,postgres_by_id,1,,,39749863.0,ns,624
bench_medium_complex_query,postgres_by_id,1,,,40660680.0,ns,640
bench_medium_complex_query,postgres_by_id,1,,,42332213.0,ns,656
bench_medium_complex_query,postgres_by_id,1,,,42770621.0,ns,672
bench_medium_complex_query,postgres_by_id,1,,,44261049.0,ns,688
bench_medium_complex_query,postgres_by_id,1,,,46648395.0,ns,704
bench_medium_complex_query,postgres_by_id,1,,,45922881.0,ns,720
bench_medium_complex_query,postgres_by_id,1,,,46860499.0,ns,736
bench_medium_complex_query,postgres_by_id,1,,,47316008.0,ns,752
bench_medium_complex_query,postgres_by_id,1,,,49235445.0,ns,768
bench_medium_complex_query,postgres_by_id,1,,,50872276.0,ns,784
bench_medium_complex_query,postgres_by_id,1,,,56877591.0,ns,800
bench_medium_complex_query,postgres_by_id,1,,,51946296.0,ns,816
bench_medium_complex_query,postgres_by_id,1,,,53536627.0,ns,832
bench_medium_complex_query,postgres_by_id,1,,,54941554.0,ns,848
bench_medium_complex_query,postgres_by_id,1,,,54852753.0,ns,864
bench_medium_complex_query,postgres_by_id,1,,,57297600.0,ns,880
bench_medium_complex_query,postgres_by_id,1,,,56009775.0,ns,896
bench_medium_complex_query,postgres_by_id,1,,,58994732.0,ns,912
bench_medium_complex_query,postgres_by_id,1,,,63690422.0,ns,928
bench_medium_complex_query,postgres_by_id,1,,,61457779.0,ns,944
