group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,2154612.0,ns,5
bench_medium_complex_query,diesel,10,,,3726221.0,ns,10
bench_medium_complex_query,diesel,10,,,4428625.0,ns,15
bench_medium_complex_query,diesel,10,,,5547032.0,ns,20
bench_medium_complex_query,diesel,10,,,8247247.0,ns,25
bench_medium_complex_query,diesel,10,,,7394142.0,ns,30
bench_medium_complex_query,diesel,10,,,8812350.0,ns,35
bench_medium_complex_query,diesel,10,,,10104657.0,ns,40
bench_medium_complex_query,diesel,10,,,11393665.0,ns,45
bench_medium_complex_query,diesel,10,,,12028169.0,ns,50
bench_medium_complex_query,diesel,10,,,13760278.0,ns,55
bench_medium_complex_query,diesel,10,,,16016592.0,ns,60
bench_medium_complex_query,diesel,10,,,16361494.0,ns,65
bench_medium_complex_query,diesel,10,,,22298127.0,ns,70
bench_medium_complex_query,diesel,10,,,19401511.0,ns,75
bench_medium_complex_query,diesel,10,,,18888307.0,ns,80
bench_medium_complex_query,diesel,10,,,21977126.0,ns,85
bench_medium_complex_query,diesel,10,,,24565540.0,ns,90
bench_medium_complex_query,diesel,10,,,25096043.0,ns,95
bench_medium_complex_query,diesel,10,,,26101849.0,ns,100
bench_medium_complex_query,diesel,10,,,27069855.0,ns,105
bench_medium_complex_query,diesel,10,,,25399645.0,ns,110
bench_medium_complex_query,diesel,10,,,29340167.0,ns,115
bench_medium_complex_query,diesel,10,,,27565857.0,ns,120
bench_medium_complex_query,diesel,10,,,29072266.0,ns,125
bench_medium_complex_query,diesel,10,,,31261178.0,ns,130
bench_medium_complex_query,diesel,10,,,58450933.0,ns,135
bench_medium_complex_query,diesel,10,,,46616966.0,ns,140
bench_medium_complex_query,diesel,10,,,33880993.0,ns,145
bench_medium_complex_query,diesel,10,,,36913111.0,ns,150
bench_medium_complex_query,diesel,10,,,39405224.0,ns,155
bench_medium_complex_query,diesel,10,,,39149524.0,ns,160
bench_medium_complex_query,diesel,10,,,42659044.0,ns,165
bench_medium_complex_query,diesel,10,,,39950828.0,ns,170
bench_medium_complex_query,diesel,10,,,40686032.0,ns,175
bench_medium_complex_query,diesel,10,,,42497242.0,ns,180
bench_medium_complex_query,diesel,10,,,47671472.0,ns,185
bench_medium_complex_query,diesel,10,,,54057209.0,ns,190
bench_medium_complex_query,diesel,10,,,45907261.0,ns,195
bench_medium_complex_query,diesel,10,,,51184691.0,ns,200
bench_medium_complex_query,diesel,10,,,45358259.0,ns,205
bench_medium_complex_query,diesel,10,,,47419371.0,ns,210
bench_medium_complex_query,diesel,10,,,52529300.0,ns,215
bench_medium_complex_query,diesel,10,,,50526088.0,ns,220
bench_medium_complex_query,diesel,10,,,57737930.0,ns,225
bench_medium_complex_query,diesel,10,,,64501268.0,ns,230
bench_medium_complex_query,diesel,10,,,56962125.0,ns,235
bench_medium_complex_query,diesel,10,,,62756857.0,ns,240
bench_medium_complex_query,diesel,10,,,61417551.0,ns,245
bench_medium_complex_query,diesel,10,,,56261721.0,ns,250
bench_medium_complex_query,diesel,10,,,61660651.0,ns,255
bench_medium_complex_query,diesel,10,,,73028016.0,ns,260
bench_medium_complex_query,diesel,10,,,73057417.0,ns,265
bench_medium_complex_query,diesel,10,,,66150378.0,ns,270
bench_medium_complex_query,diesel,10,,,73738821.0,ns,275
bench_medium_complex_query,diesel,10,,,65945676.0,ns,280
bench_medium_complex_query,diesel,10,,,67874187.0,ns,285
bench_medium_complex_query,diesel,10,,,68803192.0,ns,290
bench_medium_complex_query,diesel,10,,,68175689.0,ns,295
bench_medium_complex_query,diesel,10,,,71073005.0,ns,300
bench_medium_complex_query,diesel,10,,,73369518.0,ns,305
bench_medium_complex_query,diesel,10,,,72569714.0,ns,310
bench_medium_complex_query,diesel,10,,,77162640.0,ns,315
bench_medium_complex_query,diesel,10,,,78810650.0,ns,320
bench_medium_complex_query,diesel,10,,,79259952.0,ns,325
bench_medium_complex_query,diesel,10,,,76828638.0,ns,330
bench_medium_complex_query,diesel,10,,,88584205.0,ns,335
