group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,100,,,2516712.0,ns,2
bench_medium_complex_query,sqlx_query_as_macro,100,,,3891218.0,ns,4
bench_medium_complex_query,sqlx_query_as_macro,100,,,5629827.0,ns,6
bench_medium_complex_query,sqlx_query_as_macro,100,,,7743837.0,ns,8
bench_medium_complex_query,sqlx_query_as_macro,100,,,8576141.0,ns,10
bench_medium_complex_query,sqlx_query_as_macro,100,,,11089554.0,ns,12
bench_medium_complex_query,sqlx_query_as_macro,100,,,13214363.0,ns,14
bench_medium_complex_query,sqlx_query_as_macro,100,,,15959477.0,ns,16
bench_medium_complex_query,sqlx_query_as_macro,100,,,12088358.0,ns,18
bench_medium_complex_query,sqlx_query_as_macro,100,,,16619480.0,ns,20
bench_medium_complex_query,sqlx_query_as_macro,100,,,17526084.0,ns,22
bench_medium_complex_query,sqlx_query_as_macro,100,,,17826886.0,ns,24
bench_medium_complex_query,sqlx_query_as_macro,100,,,23308012.0,ns,26
bench_medium_complex_query,sqlx_query_as_macro,100,,,25281522.0,ns,28
bench_medium_complex_query,sqlx_query_as_macro,100,,,23112612.0,ns,30
bench_medium_complex_query,sqlx_query_as_macro,100,,,21965106.0,ns,32
bench_medium_complex_query,sqlx_query_as_macro,100,,,25662224.0,ns,34
bench_medium_complex_query,sqlx_query_as_macro,100,,,26104625.0,ns,36
bench_medium_complex_query,sqlx_query_as_macro,100,,,28769538.0,ns,38
bench_medium_complex_query,sqlx_query_as_macro,100,,,26787829.0,ns,40
bench_medium_complex_query,sqlx_query_as_macro,100,,,30796648.0,ns,42
bench_medium_complex_query,sqlx_query_as_macro,100,,,34821268.0,ns,44
bench_medium_complex_query,sqlx_query_as_macro,100,,,30302546.0,ns,46
bench_medium_complex_query,sqlx_query_as_macro,100,,,35562871.0,ns,48
bench_medium_complex_query,sqlx_query_as_macro,100,,,33322961.0,ns,50
bench_medium_complex_query,sqlx_query_as_macro,100,,,34412465.0,ns,52
bench_medium_complex_query,sqlx_query_as_macro,100,,,34034864.0,ns,54
bench_medium_complex_query,sqlx_query_as_macro,100,,,37797082.0,ns,56
bench_medium_complex_query,sqlx_query_as_macro,100,,,40503295.0,ns,58
bench_medium_complex_query,sqlx_query_as_macro,100,,,37238279.0,ns,60
