group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rustorm,1,,,1081813.0,ns,5
bench_trivial_query,rustorm,1,,,2302726.0,ns,10
bench_trivial_query,rustorm,1,,,3796443.0,ns,15
bench_trivial_query,rustorm,1,,,4167847.0,ns,20
bench_trivial_query,rustorm,1,,,5518963.0,ns,25
bench_trivial_query,rustorm,1,,,6292372.0,ns,30
bench_trivial_query,rustorm,1,,,8298595.0,ns,35
bench_trivial_query,rustorm,1,,,8281994.0,ns,40
bench_trivial_query,rustorm,1,,,10884324.0,ns,45
bench_trivial_query,rustorm,1,,,14952870.0,ns,50
bench_trivial_query,rustorm,1,,,11857635.0,ns,55
bench_trivial_query,rustorm,1,,,12526742.0,ns,60
bench_trivial_query,rustorm,1,,,14744168.0,ns,65
bench_trivial_query,rustorm,1,,,13963459.0,ns,70
bench_trivial_query,rustorm,1,,,15951881.0,ns,75
bench_trivial_query,rustorm,1,,,16346485.0,ns,80
bench_trivial_query,rustorm,1,,,18226307.0,ns,85
bench_trivial_query,rustorm,1,,,18473409.0,ns,90
bench_trivial_query,rustorm,1,,,19195018.0,ns,95
bench_trivial_query,rustorm,1,,,22231153.0,ns,100
bench_trivial_query,rustorm,1,,,34794495.0,ns,105
bench_trivial_query,rustorm,1,,,24224974.0,ns,110
bench_trivial_query,rustorm,1,,,25348388.0,ns,115
bench_trivial_query,rustorm,1,,,25197786.0,ns,120
bench_trivial_query,rustorm,1,,,26714003.0,ns,125
bench_trivial_query,rustorm,1,,,29062530.0,ns,130
bench_trivial_query,rustorm,1,,,29659837.0,ns,135
bench_trivial_query,rustorm,1,,,30939951.0,ns,140
bench_trivial_query,rustorm,1,,,31447457.0,ns,145
bench_trivial_query,rustorm,1,,,33705883.0,ns,150
bench_trivial_query,rustorm,1,,,34348890.0,ns,155
bench_trivial_query,rustorm,1,,,33882885.0,ns,160
bench_trivial_query,rustorm,1,,,39294646.0,ns,165
bench_trivial_query,rustorm,1,,,38139533.0,ns,170
bench_trivial_query,rustorm,1,,,39636450.0,ns,175
bench_trivial_query,rustorm,1,,,43185390.0,ns,180
bench_trivial_query,rustorm,1,,,40616961.0,ns,185
bench_trivial_query,rustorm,1,,,40416059.0,ns,190
bench_trivial_query,rustorm,1,,,42328880.0,ns,195
bench_trivial_query,rustorm,1,,,48056846.0,ns,200
bench_trivial_query,rustorm,1,,,44895309.0,ns,205
bench_trivial_query,rustorm,1,,,46193424.0,ns,210
bench_trivial_query,rustorm,1,,,47062634.0,ns,215
bench_trivial_query,rustorm,1,,,49798765.0,ns,220
bench_trivial_query,rustorm,1,,,48436749.0,ns,225
bench_trivial_query,rustorm,1,,,49848665.0,ns,230
bench_trivial_query,rustorm,1,,,52969901.0,ns,235
bench_trivial_query,rustorm,1,,,54068414.0,ns,240
bench_trivial_query,rustorm,1,,,55823234.0,ns,245
bench_trivial_query,rustorm,1,,,62691911.0,ns,250
bench_trivial_query,rustorm,1,,,58566064.0,ns,255
bench_trivial_query,rustorm,1,,,67449964.0,ns,260
bench_trivial_query,rustorm,1,,,66748457.0,ns,265
bench_trivial_query,rustorm,1,,,68381775.0,ns,270
bench_trivial_query,rustorm,1,,,61389096.0,ns,275
bench_trivial_query,rustorm,1,,,63259817.0,ns,280
bench_trivial_query,rustorm,1,,,61675899.0,ns,285
bench_trivial_query,rustorm,1,,,65174438.0,ns,290
bench_trivial_query,rustorm,1,,,63801323.0,ns,295
bench_trivial_query,rustorm,1,,,66108149.0,ns,300
bench_trivial_query,rustorm,1,,,68747679.0,ns,305
bench_trivial_query,rustorm,1,,,69299686.0,ns,310
bench_trivial_query,rustorm,1,,,71136407.0,ns,315
bench_trivial_query,rustorm,1,,,70248596.0,ns,320
bench_trivial_query,rustorm,1,,,73037928.0,ns,325
bench_trivial_query,rustorm,1,,,71143106.0,ns,330
bench_trivial_query,rustorm,1,,,75238953.0,ns,335
bench_trivial_query,rustorm,1,,,70585300.0,ns,340
bench_trivial_query,rustorm,1,,,75753558.0,ns,345
bench_trivial_query,rustorm,1,,,81918528.0,ns,350
bench_trivial_query,rustorm,1,,,82652137.0,ns,355
bench_trivial_query,rustorm,1,,,81971829.0,ns,360
bench_trivial_query,rustorm,1,,,81562624.0,ns,365
bench_trivial_query,rustorm,1,,,81523724.0,ns,370
bench_trivial_query,rustorm,1,,,96904499.0,ns,375
bench_trivial_query,rustorm,1,,,83122342.0,ns,380
bench_trivial_query,rustorm,1,,,98287114.0,ns,385
bench_trivial_query,rustorm,1,,,228133785.0,ns,390
bench_trivial_query,rustorm,1,,,88447802.0,ns,395
bench_trivial_query,rustorm,1,,,94369270.0,ns,400
bench_trivial_query,rustorm,1,,,87830896.0,ns,405
bench_trivial_query,rustorm,1,,,84837361.0,ns,410
bench_trivial_query,rustorm,1,,,90471325.0,ns,415
bench_trivial_query,rustorm,1,,,89737517.0,ns,420
bench_trivial_query,rustorm,1,,,92631350.0,ns,425
bench_trivial_query,rustorm,1,,,92187645.0,ns,430
bench_trivial_query,rustorm,1,,,98660318.0,ns,435
bench_trivial_query,rustorm,1,,,95152278.0,ns,440
bench_trivial_query,rustorm,1,,,95191079.0,ns,445
bench_trivial_query,rustorm,1,,,99732631.0,ns,450
bench_trivial_query,rustorm,1,,,98714619.0,ns,455
bench_trivial_query,rustorm,1,,,99522028.0,ns,460
bench_trivial_query,rustorm,1,,,104857889.0,ns,465
bench_trivial_query,rustorm,1,,,102500862.0,ns,470
bench_trivial_query,rustorm,1,,,99449727.0,ns,475
bench_trivial_query,rustorm,1,,,132223698.0,ns,480
bench_trivial_query,rustorm,1,,,112103071.0,ns,485
bench_trivial_query,rustorm,1,,,103348272.0,ns,490
bench_trivial_query,rustorm,1,,,107804422.0,ns,495
bench_trivial_query,rustorm,1,,,113537886.0,ns,500
