group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,100,,,1191667.0,ns,6
bench_trivial_query,diesel,100,,,2630249.0,ns,12
bench_trivial_query,diesel,100,,,3209981.0,ns,18
bench_trivial_query,diesel,100,,,4971080.0,ns,24
bench_trivial_query,diesel,100,,,5094787.0,ns,30
bench_trivial_query,diesel,100,,,6346858.0,ns,36
bench_trivial_query,diesel,100,,,7292312.0,ns,42
bench_trivial_query,diesel,100,,,7867744.0,ns,48
bench_trivial_query,diesel,100,,,9039111.0,ns,54
bench_trivial_query,diesel,100,,,10339683.0,ns,60
bench_trivial_query,diesel,100,,,11108427.0,ns,66
bench_trivial_query,diesel,100,,,12187688.0,ns,72
bench_trivial_query,diesel,100,,,13655371.0,ns,78
bench_trivial_query,diesel,100,,,13867783.0,ns,84
bench_trivial_query,diesel,100,,,15029449.0,ns,90
bench_trivial_query,diesel,100,,,16221315.0,ns,96
bench_trivial_query,diesel,100,,,17221172.0,ns,102
bench_trivial_query,diesel,100,,,18111822.0,ns,108
bench_trivial_query,diesel,100,,,19107379.0,ns,114
bench_trivial_query,diesel,100,,,25916363.0,ns,120
bench_trivial_query,diesel,100,,,23599432.0,ns,126
bench_trivial_query,diesel,100,,,25713251.0,ns,132
bench_trivial_query,diesel,100,,,24100661.0,ns,138
bench_trivial_query,diesel,100,,,27646961.0,ns,144
bench_trivial_query,diesel,100,,,25932163.0,ns,150
bench_trivial_query,diesel,100,,,26295885.0,ns,156
bench_trivial_query,diesel,100,,,27177334.0,ns,162
bench_trivial_query,diesel,100,,,28920232.0,ns,168
bench_trivial_query,diesel,100,,,30061697.0,ns,174
bench_trivial_query,diesel,100,,,29913888.0,ns,180
bench_trivial_query,diesel,100,,,31014050.0,ns,186
bench_trivial_query,diesel,100,,,32625841.0,ns,192
bench_trivial_query,diesel,100,,,62750242.0,ns,198
bench_trivial_query,diesel,100,,,38530275.0,ns,204
bench_trivial_query,diesel,100,,,46235409.0,ns,210
bench_trivial_query,diesel,100,,,37748130.0,ns,216
bench_trivial_query,diesel,100,,,49980521.0,ns,222
bench_trivial_query,diesel,100,,,43329445.0,ns,228
bench_trivial_query,diesel,100,,,40892008.0,ns,234
bench_trivial_query,diesel,100,,,41056017.0,ns,240
bench_trivial_query,diesel,100,,,52953389.0,ns,246
bench_trivial_query,diesel,100,,,43886177.0,ns,252
bench_trivial_query,diesel,100,,,43993883.0,ns,258
bench_trivial_query,diesel,100,,,47483980.0,ns,264
bench_trivial_query,diesel,100,,,47028055.0,ns,270
bench_trivial_query,diesel,100,,,47271468.0,ns,276
bench_trivial_query,diesel,100,,,72049167.0,ns,282
bench_trivial_query,diesel,100,,,47962908.0,ns,288
bench_trivial_query,diesel,100,,,50899573.0,ns,294
bench_trivial_query,diesel,100,,,51553610.0,ns,300
bench_trivial_query,diesel,100,,,51751921.0,ns,306
bench_trivial_query,diesel,100,,,54019549.0,ns,312
bench_trivial_query,diesel,100,,,53602025.0,ns,318
bench_trivial_query,diesel,100,,,56682899.0,ns,324
bench_trivial_query,diesel,100,,,59712570.0,ns,330
bench_trivial_query,diesel,100,,,56910212.0,ns,336
bench_trivial_query,diesel,100,,,61518072.0,ns,342
bench_trivial_query,diesel,100,,,76162999.0,ns,348
bench_trivial_query,diesel,100,,,60162596.0,ns,354
bench_trivial_query,diesel,100,,,62194235.0,ns,360
bench_trivial_query,diesel,100,,,63371984.0,ns,366
bench_trivial_query,diesel,100,,,62649246.0,ns,372
bench_trivial_query,diesel,100,,,62223523.0,ns,378
bench_trivial_query,diesel,100,,,63931514.0,ns,384
bench_trivial_query,diesel,100,,,63635398.0,ns,390
bench_trivial_query,diesel,100,,,64216429.0,ns,396
bench_trivial_query,diesel,100,,,65336189.0,ns,402
bench_trivial_query,diesel,100,,,75095410.0,ns,408
bench_trivial_query,diesel,100,,,70982491.0,ns,414
bench_trivial_query,diesel,100,,,72466869.0,ns,420
bench_trivial_query,diesel,100,,,77143019.0,ns,426
bench_trivial_query,diesel,100,,,72088149.0,ns,432
bench_trivial_query,diesel,100,,,73324616.0,ns,438
bench_trivial_query,diesel,100,,,76607591.0,ns,444
bench_trivial_query,diesel,100,,,76883705.0,ns,450
bench_trivial_query,diesel,100,,,74386372.0,ns,456
bench_trivial_query,diesel,100,,,75157914.0,ns,462
bench_trivial_query,diesel,100,,,87873793.0,ns,468
bench_trivial_query,diesel,100,,,86575123.0,ns,474
bench_trivial_query,diesel,100,,,90913355.0,ns,480
bench_trivial_query,diesel,100,,,87504673.0,ns,486
bench_trivial_query,diesel,100,,,84111192.0,ns,492
bench_trivial_query,diesel,100,,,85652274.0,ns,498
bench_trivial_query,diesel,100,,,88378320.0,ns,504
bench_trivial_query,diesel,100,,,86955943.0,ns,510
bench_trivial_query,diesel,100,,,93737806.0,ns,516
bench_trivial_query,diesel,100,,,96725065.0,ns,522
bench_trivial_query,diesel,100,,,89331170.0,ns,528
bench_trivial_query,diesel,100,,,93277082.0,ns,534
bench_trivial_query,diesel,100,,,89903301.0,ns,540
bench_trivial_query,diesel,100,,,91282075.0,ns,546
bench_trivial_query,diesel,100,,,90553936.0,ns,552
bench_trivial_query,diesel,100,,,92523240.0,ns,558
bench_trivial_query,diesel,100,,,94984272.0,ns,564
bench_trivial_query,diesel,100,,,94868666.0,ns,570
bench_trivial_query,diesel,100,,,94451544.0,ns,576
bench_trivial_query,diesel,100,,,99991339.0,ns,582
bench_trivial_query,diesel,100,,,101958445.0,ns,588
bench_trivial_query,diesel,100,,,102351965.0,ns,594
bench_trivial_query,diesel,100,,,101014694.0,ns,600
