group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,mysql,25,,,3853065.0,ns,2
bench_insert,mysql,25,,,4955841.0,ns,4
bench_insert,mysql,25,,,6866972.0,ns,6
bench_insert,mysql,25,,,9474251.0,ns,8
bench_insert,mysql,25,,,10261605.0,ns,10
bench_insert,mysql,25,,,11652701.0,ns,12
bench_insert,mysql,25,,,13664339.0,ns,14
bench_insert,mysql,25,,,17284888.0,ns,16
bench_insert,mysql,25,,,17911931.0,ns,18
bench_insert,mysql,25,,,19937770.0,ns,20
bench_insert,mysql,25,,,23204095.0,ns,22
bench_insert,mysql,25,,,27508592.0,ns,24
bench_insert,mysql,25,,,27162168.0,ns,26
bench_insert,mysql,25,,,28728675.0,ns,28
bench_insert,mysql,25,,,28784379.0,ns,30
bench_insert,mysql,25,,,32052204.0,ns,32
bench_insert,mysql,25,,,36254293.0,ns,34
bench_insert,mysql,25,,,36035778.0,ns,36
bench_insert,mysql,25,,,40176663.0,ns,38
bench_insert,mysql,25,,,40433380.0,ns,40
bench_insert,mysql,25,,,41742370.0,ns,42
bench_insert,mysql,25,,,42703236.0,ns,44
bench_insert,mysql,25,,,46743314.0,ns,46
bench_insert,mysql,25,,,44596966.0,ns,48
bench_insert,mysql,25,,,47103038.0,ns,50
bench_insert,mysql,25,,,52371100.0,ns,52
bench_insert,mysql,25,,,54803368.0,ns,54
bench_insert,mysql,25,,,52669122.0,ns,56
bench_insert,mysql,25,,,56895012.0,ns,58
bench_insert,mysql,25,,,55375507.0,ns,60
bench_insert,mysql,25,,,59428686.0,ns,62
bench_insert,mysql,25,,,63419460.0,ns,64
bench_insert,mysql,25,,,61832151.0,ns,66
bench_insert,mysql,25,,,64914463.0,ns,68
bench_insert,mysql,25,,,67778960.0,ns,70
bench_insert,mysql,25,,,68196989.0,ns,72
bench_insert,mysql,25,,,71224797.0,ns,74
bench_insert,mysql,25,,,71274500.0,ns,76
bench_insert,mysql,25,,,72205064.0,ns,78
bench_insert,mysql,25,,,74943853.0,ns,80
bench_insert,mysql,25,,,77567633.0,ns,82
bench_insert,mysql,25,,,82825194.0,ns,84
bench_insert,mysql,25,,,82253655.0,ns,86
bench_insert,mysql,25,,,83789861.0,ns,88
bench_insert,mysql,25,,,93740045.0,ns,90
bench_insert,mysql,25,,,87325004.0,ns,92
bench_insert,mysql,25,,,90540725.0,ns,94
bench_insert,mysql,25,,,95752884.0,ns,96
bench_insert,mysql,25,,,92002926.0,ns,98
bench_insert,mysql,25,,,89232842.0,ns,100
bench_insert,mysql,25,,,99625757.0,ns,102
bench_insert,mysql,25,,,98491579.0,ns,104
bench_insert,mysql,25,,,96899970.0,ns,106
bench_insert,mysql,25,,,104308680.0,ns,108
bench_insert,mysql,25,,,108560172.0,ns,110
bench_insert,mysql,25,,,108904996.0,ns,112
bench_insert,mysql,25,,,105006428.0,ns,114
bench_insert,mysql,25,,,115827173.0,ns,116
bench_insert,mysql,25,,,110446903.0,ns,118
bench_insert,mysql,25,,,114611189.0,ns,120
bench_insert,mysql,25,,,119046594.0,ns,122
bench_insert,mysql,25,,,129047083.0,ns,124
bench_insert,mysql,25,,,115571755.0,ns,126
bench_insert,mysql,25,,,120129669.0,ns,128
bench_insert,mysql,25,,,129433109.0,ns,130
bench_insert,mysql,25,,,127320964.0,ns,132
bench_insert,mysql,25,,,122471530.0,ns,134
bench_insert,mysql,25,,,124764088.0,ns,136
bench_insert,mysql,25,,,155826726.0,ns,138
bench_insert,mysql,25,,,134137733.0,ns,140
bench_insert,mysql,25,,,131822274.0,ns,142
bench_insert,mysql,25,,,143387169.0,ns,144
bench_insert,mysql,25,,,136944426.0,ns,146
bench_insert,mysql,25,,,138135608.0,ns,148
bench_insert,mysql,25,,,147136328.0,ns,150
bench_insert,mysql,25,,,144903574.0,ns,152
bench_insert,mysql,25,,,145108888.0,ns,154
bench_insert,mysql,25,,,156254755.0,ns,156
bench_insert,mysql,25,,,161208996.0,ns,158
bench_insert,mysql,25,,,175865505.0,ns,160
bench_insert,mysql,25,,,161562920.0,ns,162
bench_insert,mysql,25,,,162323873.0,ns,164
bench_insert,mysql,25,,,165394284.0,ns,166
bench_insert,mysql,25,,,163335743.0,ns,168
bench_insert,mysql,25,,,170074506.0,ns,170
bench_insert,mysql,25,,,170961667.0,ns,172
bench_insert,mysql,25,,,172972006.0,ns,174
bench_insert,mysql,25,,,175342870.0,ns,176
bench_insert,mysql,25,,,184069270.0,ns,178
bench_insert,mysql,25,,,199237514.0,ns,180
bench_insert,mysql,25,,,189873770.0,ns,182
bench_insert,mysql,25,,,184492199.0,ns,184
bench_insert,mysql,25,,,194794408.0,ns,186
bench_insert,mysql,25,,,184181077.0,ns,188
bench_insert,mysql,25,,,191379773.0,ns,190
bench_insert,mysql,25,,,184857916.0,ns,192
bench_insert,mysql,25,,,190006660.0,ns,194
bench_insert,mysql,25,,,193886827.0,ns,196
bench_insert,mysql,25,,,226386561.0,ns,198
bench_insert,mysql,25,,,204422251.0,ns,200
