group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,1,,,1137022.0,ns,8
bench_trivial_query,diesel_queryable_by_name,1,,,2468148.0,ns,16
bench_trivial_query,diesel_queryable_by_name,1,,,3493668.0,ns,24
bench_trivial_query,diesel_queryable_by_name,1,,,5114799.0,ns,32
bench_trivial_query,diesel_queryable_by_name,1,,,5297803.0,ns,40
bench_trivial_query,diesel_queryable_by_name,1,,,6449625.0,ns,48
bench_trivial_query,diesel_queryable_by_name,1,,,7505846.0,ns,56
bench_trivial_query,diesel_queryable_by_name,1,,,8471264.0,ns,64
bench_trivial_query,diesel_queryable_by_name,1,,,9545186.0,ns,72
bench_trivial_query,diesel_queryable_by_name,1,,,11232118.0,ns,80
bench_trivial_query,diesel_queryable_by_name,1,,,13377560.0,ns,88
bench_trivial_query,diesel_queryable_by_name,1,,,12231937.0,ns,96
bench_trivial_query,diesel_queryable_by_name,1,,,13572564.0,ns,104
bench_trivial_query,diesel_queryable_by_name,1,,,14720286.0,ns,112
bench_trivial_query,diesel_queryable_by_name,1,,,16126614.0,ns,120
bench_trivial_query,diesel_queryable_by_name,1,,,19763084.0,ns,128
bench_trivial_query,diesel_queryable_by_name,1,,,17701744.0,ns,136
bench_trivial_query,diesel_queryable_by_name,1,,,20822904.0,ns,144
bench_trivial_query,diesel_queryable_by_name,1,,,25561497.0,ns,152
bench_trivial_query,diesel_queryable_by_name,1,,,22040428.0,ns,160
bench_trivial_query,diesel_queryable_by_name,1,,,29921581.0,ns,168
bench_trivial_query,diesel_queryable_by_name,1,,,26091606.0,ns,176
bench_trivial_query,diesel_queryable_by_name,1,,,25584997.0,ns,184
bench_trivial_query,diesel_queryable_by_name,1,,,25016886.0,ns,192
bench_trivial_query,diesel_queryable_by_name,1,,,26175408.0,ns,200
bench_trivial_query,diesel_queryable_by_name,1,,,26642317.0,ns,208
bench_trivial_query,diesel_queryable_by_name,1,,,29159666.0,ns,216
bench_trivial_query,diesel_queryable_by_name,1,,,29386871.0,ns,224
bench_trivial_query,diesel_queryable_by_name,1,,,30469492.0,ns,232
bench_trivial_query,diesel_queryable_by_name,1,,,30930401.0,ns,240
bench_trivial_query,diesel_queryable_by_name,1,,,32629633.0,ns,248
bench_trivial_query,diesel_queryable_by_name,1,,,32694434.0,ns,256
bench_trivial_query,diesel_queryable_by_name,1,,,32747336.0,ns,264
bench_trivial_query,diesel_queryable_by_name,1,,,35075681.0,ns,272
bench_trivial_query,diesel_queryable_by_name,1,,,38243142.0,ns,280
