group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,sqlx,,,,113454260.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120467294.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123139907.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,117408779.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,116691976.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,115979772.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,117143978.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121916801.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118221283.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,119096988.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,125202117.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124387314.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,115910729.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,115097227.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,119798844.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,111655314.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118205438.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,111311212.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120641147.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120569747.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,128186175.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,117872836.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,119709444.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,175930752.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,119484943.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,128056674.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,117184134.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120190582.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,129226825.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,131146635.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,128344321.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,115926661.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122289191.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124571303.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123966099.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120799484.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,116858765.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120974985.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124881004.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123052195.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,125200005.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121623388.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122631794.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,132598449.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124972312.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120961192.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,130838641.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122607200.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118424079.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120986292.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118831382.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122854201.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118351879.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123290903.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,128088827.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124812811.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121793696.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123765706.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,119429820.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,125226951.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,116098303.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122939138.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,131530983.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121454631.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,117306810.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121660632.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120966629.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,127382962.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,124777748.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,118555416.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121935034.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,131126381.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,125840754.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123186655.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,120538842.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,128694885.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,121512647.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,122576153.0,ns,1
bench_loading_associations_sequentially,sqlx,,,,123653258.0,ns,1
