group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,10000,,,50303915.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,52145823.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,53129827.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,59446154.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,49026488.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,53149912.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,50034794.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,47458379.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,54857122.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,47845280.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,52989911.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,50917899.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,55766328.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,50383865.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,48663223.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,47862397.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,49214573.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,51161994.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,51958821.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,47042376.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,54663521.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,52550408.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,59871552.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,52706010.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,58070341.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,57403037.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,53834216.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,53046712.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,53470914.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,51781204.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,55960629.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,51179100.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,49098689.0,ns,5
bench_trivial_query,diesel_queryable_by_name,10000,,,57555038.0,ns,5
