group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,10,,,1863913.0,ns,7
bench_medium_complex_query,diesel_boxed,10,,,2823820.0,ns,14
bench_medium_complex_query,diesel_boxed,10,,,3813626.0,ns,21
bench_medium_complex_query,diesel_boxed,10,,,4915334.0,ns,28
bench_medium_complex_query,diesel_boxed,10,,,5813941.0,ns,35
bench_medium_complex_query,diesel_boxed,10,,,7029850.0,ns,42
bench_medium_complex_query,diesel_boxed,10,,,7801354.0,ns,49
bench_medium_complex_query,diesel_boxed,10,,,8838262.0,ns,56
bench_medium_complex_query,diesel_boxed,10,,,9933669.0,ns,63
bench_medium_complex_query,diesel_boxed,10,,,10692675.0,ns,70
bench_medium_complex_query,diesel_boxed,10,,,13381093.0,ns,77
bench_medium_complex_query,diesel_boxed,10,,,17582222.0,ns,84
bench_medium_complex_query,diesel_boxed,10,,,16605716.0,ns,91
bench_medium_complex_query,diesel_boxed,10,,,16303614.0,ns,98
bench_medium_complex_query,diesel_boxed,10,,,16266314.0,ns,105
bench_medium_complex_query,diesel_boxed,10,,,17652023.0,ns,112
bench_medium_complex_query,diesel_boxed,10,,,18620730.0,ns,119
bench_medium_complex_query,diesel_boxed,10,,,20505243.0,ns,126
bench_medium_complex_query,diesel_boxed,10,,,20367942.0,ns,133
bench_medium_complex_query,diesel_boxed,10,,,20821945.0,ns,140
bench_medium_complex_query,diesel_boxed,10,,,26539886.0,ns,147
bench_medium_complex_query,diesel_boxed,10,,,23196662.0,ns,154
bench_medium_complex_query,diesel_boxed,10,,,23608365.0,ns,161
bench_medium_complex_query,diesel_boxed,10,,,25629679.0,ns,168
bench_medium_complex_query,diesel_boxed,10,,,26532785.0,ns,175
bench_medium_complex_query,diesel_boxed,10,,,27470292.0,ns,182
bench_medium_complex_query,diesel_boxed,10,,,29556206.0,ns,189
bench_medium_complex_query,diesel_boxed,10,,,28960902.0,ns,196
bench_medium_complex_query,diesel_boxed,10,,,30395113.0,ns,203
bench_medium_complex_query,diesel_boxed,10,,,31608521.0,ns,210
bench_medium_complex_query,diesel_boxed,10,,,32599728.0,ns,217
bench_medium_complex_query,diesel_boxed,10,,,33589435.0,ns,224
bench_medium_complex_query,diesel_boxed,10,,,39848678.0,ns,231
bench_medium_complex_query,diesel_boxed,10,,,35825650.0,ns,238
bench_medium_complex_query,diesel_boxed,10,,,36225453.0,ns,245
bench_medium_complex_query,diesel_boxed,10,,,38076966.0,ns,252
bench_medium_complex_query,diesel_boxed,10,,,39149273.0,ns,259
bench_medium_complex_query,diesel_boxed,10,,,38990872.0,ns,266
bench_medium_complex_query,diesel_boxed,10,,,40583884.0,ns,273
bench_medium_complex_query,diesel_boxed,10,,,40784685.0,ns,280
bench_medium_complex_query,diesel_boxed,10,,,43057801.0,ns,287
bench_medium_complex_query,diesel_boxed,10,,,43645005.0,ns,294
bench_medium_complex_query,diesel_boxed,10,,,44327609.0,ns,301
bench_medium_complex_query,diesel_boxed,10,,,45847420.0,ns,308
bench_medium_complex_query,diesel_boxed,10,,,47535631.0,ns,315
bench_medium_complex_query,diesel_boxed,10,,,48445738.0,ns,322
bench_medium_complex_query,diesel_boxed,10,,,54070177.0,ns,329
bench_medium_complex_query,diesel_boxed,10,,,49933548.0,ns,336
bench_medium_complex_query,diesel_boxed,10,,,50885356.0,ns,343
bench_medium_complex_query,diesel_boxed,10,,,53016370.0,ns,350
bench_medium_complex_query,diesel_boxed,10,,,54039978.0,ns,357
bench_medium_complex_query,diesel_boxed,10,,,54195379.0,ns,364
bench_medium_complex_query,diesel_boxed,10,,,55655689.0,ns,371
bench_medium_complex_query,diesel_boxed,10,,,57288300.0,ns,378
bench_medium_complex_query,diesel_boxed,10,,,57291900.0,ns,385
bench_medium_complex_query,diesel_boxed,10,,,58788910.0,ns,392
bench_medium_complex_query,diesel_boxed,10,,,59049313.0,ns,399
bench_medium_complex_query,diesel_boxed,10,,,65960760.0,ns,406
bench_medium_complex_query,diesel_boxed,10,,,62109434.0,ns,413
bench_medium_complex_query,diesel_boxed,10,,,62380435.0,ns,420
bench_medium_complex_query,diesel_boxed,10,,,63184941.0,ns,427
bench_medium_complex_query,diesel_boxed,10,,,64371949.0,ns,434
bench_medium_complex_query,diesel_boxed,10,,,66622765.0,ns,441
bench_medium_complex_query,diesel_boxed,10,,,67308070.0,ns,448
bench_medium_complex_query,diesel_boxed,10,,,67822773.0,ns,455
bench_medium_complex_query,diesel_boxed,10,,,68768180.0,ns,462
