group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_queryable_by_name,100,,,1915024.0,ns,3
bench_medium_complex_query,diesel_queryable_by_name,100,,,3082339.0,ns,6
bench_medium_complex_query,diesel_queryable_by_name,100,,,5652472.0,ns,9
bench_medium_complex_query,diesel_queryable_by_name,100,,,6377580.0,ns,12
bench_medium_complex_query,diesel_queryable_by_name,100,,,6793286.0,ns,15
bench_medium_complex_query,diesel_queryable_by_name,100,,,8242505.0,ns,18
bench_medium_complex_query,diesel_queryable_by_name,100,,,10927838.0,ns,21
bench_medium_complex_query,diesel_queryable_by_name,100,,,11910451.0,ns,24
bench_medium_complex_query,diesel_queryable_by_name,100,,,25172218.0,ns,27
bench_medium_complex_query,diesel_queryable_by_name,100,,,14163280.0,ns,30
bench_medium_complex_query,diesel_queryable_by_name,100,,,15997203.0,ns,33
bench_medium_complex_query,diesel_queryable_by_name,100,,,15351194.0,ns,36
bench_medium_complex_query,diesel_queryable_by_name,100,,,26149531.0,ns,39
bench_medium_complex_query,diesel_queryable_by_name,100,,,18470934.0,ns,42
bench_medium_complex_query,diesel_queryable_by_name,100,,,20910664.0,ns,45
bench_medium_complex_query,diesel_queryable_by_name,100,,,22818089.0,ns,48
bench_medium_complex_query,diesel_queryable_by_name,100,,,24571911.0,ns,51
bench_medium_complex_query,diesel_queryable_by_name,100,,,25520323.0,ns,54
bench_medium_complex_query,diesel_queryable_by_name,100,,,24801914.0,ns,57
bench_medium_complex_query,diesel_queryable_by_name,100,,,28107455.0,ns,60
bench_medium_complex_query,diesel_queryable_by_name,100,,,29522574.0,ns,63
bench_medium_complex_query,diesel_queryable_by_name,100,,,38847691.0,ns,66
bench_medium_complex_query,diesel_queryable_by_name,100,,,34428036.0,ns,69
bench_medium_complex_query,diesel_queryable_by_name,100,,,47715104.0,ns,72
bench_medium_complex_query,diesel_queryable_by_name,100,,,37239371.0,ns,75
bench_medium_complex_query,diesel_queryable_by_name,100,,,34779040.0,ns,78
bench_medium_complex_query,diesel_queryable_by_name,100,,,35266346.0,ns,81
bench_medium_complex_query,diesel_queryable_by_name,100,,,38689389.0,ns,84
bench_medium_complex_query,diesel_queryable_by_name,100,,,43595051.0,ns,87
bench_medium_complex_query,diesel_queryable_by_name,100,,,41741128.0,ns,90
bench_medium_complex_query,diesel_queryable_by_name,100,,,39558200.0,ns,93
bench_medium_complex_query,diesel_queryable_by_name,100,,,45232272.0,ns,96
bench_medium_complex_query,diesel_queryable_by_name,100,,,43882855.0,ns,99
bench_medium_complex_query,diesel_queryable_by_name,100,,,42709340.0,ns,102
bench_medium_complex_query,diesel_queryable_by_name,100,,,48159210.0,ns,105
bench_medium_complex_query,diesel_queryable_by_name,100,,,50152134.0,ns,108
bench_medium_complex_query,diesel_queryable_by_name,100,,,51430151.0,ns,111
bench_medium_complex_query,diesel_queryable_by_name,100,,,48549414.0,ns,114
bench_medium_complex_query,diesel_queryable_by_name,100,,,52514864.0,ns,117
bench_medium_complex_query,diesel_queryable_by_name,100,,,54699992.0,ns,120
bench_medium_complex_query,diesel_queryable_by_name,100,,,56946021.0,ns,123
bench_medium_complex_query,diesel_queryable_by_name,100,,,54573991.0,ns,126
bench_medium_complex_query,diesel_queryable_by_name,100,,,55563903.0,ns,129
bench_medium_complex_query,diesel_queryable_by_name,100,,,57655829.0,ns,132
bench_medium_complex_query,diesel_queryable_by_name,100,,,97438933.0,ns,135
bench_medium_complex_query,diesel_queryable_by_name,100,,,65294426.0,ns,138
bench_medium_complex_query,diesel_queryable_by_name,100,,,63864508.0,ns,141
bench_medium_complex_query,diesel_queryable_by_name,100,,,61988884.0,ns,144
bench_medium_complex_query,diesel_queryable_by_name,100,,,63032498.0,ns,147
bench_medium_complex_query,diesel_queryable_by_name,100,,,69164474.0,ns,150
bench_medium_complex_query,diesel_queryable_by_name,100,,,76583368.0,ns,153
bench_medium_complex_query,diesel_queryable_by_name,100,,,66802044.0,ns,156
bench_medium_complex_query,diesel_queryable_by_name,100,,,74160237.0,ns,159
bench_medium_complex_query,diesel_queryable_by_name,100,,,69961484.0,ns,162
bench_medium_complex_query,diesel_queryable_by_name,100,,,73649631.0,ns,165
bench_medium_complex_query,diesel_queryable_by_name,100,,,75545255.0,ns,168
bench_medium_complex_query,diesel_queryable_by_name,100,,,110748100.0,ns,171
bench_medium_complex_query,diesel_queryable_by_name,100,,,83022149.0,ns,174
bench_medium_complex_query,diesel_queryable_by_name,100,,,100383468.0,ns,177
bench_medium_complex_query,diesel_queryable_by_name,100,,,79455104.0,ns,180
bench_medium_complex_query,diesel_queryable_by_name,100,,,88147514.0,ns,183
bench_medium_complex_query,diesel_queryable_by_name,100,,,80831821.0,ns,186
bench_medium_complex_query,diesel_queryable_by_name,100,,,87713809.0,ns,189
bench_medium_complex_query,diesel_queryable_by_name,100,,,95054601.0,ns,192
bench_medium_complex_query,diesel_queryable_by_name,100,,,85036674.0,ns,195
bench_medium_complex_query,diesel_queryable_by_name,100,,,84809072.0,ns,198
bench_medium_complex_query,diesel_queryable_by_name,100,,,84352566.0,ns,201
bench_medium_complex_query,diesel_queryable_by_name,100,,,90884249.0,ns,204
bench_medium_complex_query,diesel_queryable_by_name,100,,,91172952.0,ns,207
bench_medium_complex_query,diesel_queryable_by_name,100,,,92486769.0,ns,210
bench_medium_complex_query,diesel_queryable_by_name,100,,,92218866.0,ns,213
bench_medium_complex_query,diesel_queryable_by_name,100,,,94878899.0,ns,216
bench_medium_complex_query,diesel_queryable_by_name,100,,,91557857.0,ns,219
bench_medium_complex_query,diesel_queryable_by_name,100,,,99563158.0,ns,222
bench_medium_complex_query,diesel_queryable_by_name,100,,,99557158.0,ns,225
bench_medium_complex_query,diesel_queryable_by_name,100,,,100922076.0,ns,228
bench_medium_complex_query,diesel_queryable_by_name,100,,,104888525.0,ns,231
bench_medium_complex_query,diesel_queryable_by_name,100,,,109045578.0,ns,234
bench_medium_complex_query,diesel_queryable_by_name,100,,,107193554.0,ns,237
bench_medium_complex_query,diesel_queryable_by_name,100,,,130755252.0,ns,240
bench_medium_complex_query,diesel_queryable_by_name,100,,,111801013.0,ns,243
bench_medium_complex_query,diesel_queryable_by_name,100,,,111803213.0,ns,246
bench_medium_complex_query,diesel_queryable_by_name,100,,,108736674.0,ns,249
bench_medium_complex_query,diesel_queryable_by_name,100,,,112815525.0,ns,252
bench_medium_complex_query,diesel_queryable_by_name,100,,,114210043.0,ns,255
bench_medium_complex_query,diesel_queryable_by_name,100,,,118634399.0,ns,258
bench_medium_complex_query,diesel_queryable_by_name,100,,,122461647.0,ns,261
bench_medium_complex_query,diesel_queryable_by_name,100,,,115965565.0,ns,264
