group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel,1,,,2544829.0,ns,1
bench_insert,diesel,1,,,3503878.0,ns,2
bench_insert,diesel,1,,,5673988.0,ns,3
bench_insert,diesel,1,,,5677789.0,ns,4
bench_insert,diesel,1,,,6800946.0,ns,5
bench_insert,diesel,1,,,8682741.0,ns,6
bench_insert,diesel,1,,,8663739.0,ns,7
bench_insert,diesel,1,,,14888456.0,ns,8
bench_insert,diesel,1,,,11022460.0,ns,9
bench_insert,diesel,1,,,12868353.0,ns,10
bench_insert,diesel,1,,,13422487.0,ns,11
bench_insert,diesel,1,,,14816958.0,ns,12
bench_insert,diesel,1,,,19129879.0,ns,13
bench_insert,diesel,1,,,14912864.0,ns,14
bench_insert,diesel,1,,,16885765.0,ns,15
bench_insert,diesel,1,,,18780362.0,ns,16
bench_insert,diesel,1,,,18987072.0,ns,17
bench_insert,diesel,1,,,20638957.0,ns,18
bench_insert,diesel,1,,,21189185.0,ns,19
bench_insert,diesel,1,,,27036184.0,ns,20
bench_insert,diesel,1,,,23681412.0,ns,21
bench_insert,diesel,1,,,24678364.0,ns,22
bench_insert,diesel,1,,,37168303.0,ns,23
bench_insert,diesel,1,,,32637172.0,ns,24
bench_insert,diesel,1,,,26336249.0,ns,25
bench_insert,diesel,1,,,30811478.0,ns,26
bench_insert,diesel,1,,,30229548.0,ns,27
bench_insert,diesel,1,,,31606218.0,ns,28
bench_insert,diesel,1,,,33074094.0,ns,29
bench_insert,diesel,1,,,31654221.0,ns,30
bench_insert,diesel,1,,,34467965.0,ns,31
bench_insert,diesel,1,,,38838388.0,ns,32
bench_insert,diesel,1,,,50308676.0,ns,33
bench_insert,diesel,1,,,39533625.0,ns,34
bench_insert,diesel,1,,,82156608.0,ns,35
bench_insert,diesel,1,,,39038599.0,ns,36
bench_insert,diesel,1,,,38540574.0,ns,37
bench_insert,diesel,1,,,44253466.0,ns,38
bench_insert,diesel,1,,,44552781.0,ns,39
bench_insert,diesel,1,,,52214274.0,ns,40
bench_insert,diesel,1,,,45138111.0,ns,41
bench_insert,diesel,1,,,43772242.0,ns,42
bench_insert,diesel,1,,,45338022.0,ns,43
bench_insert,diesel,1,,,47420328.0,ns,44
bench_insert,diesel,1,,,52037264.0,ns,45
bench_insert,diesel,1,,,54497791.0,ns,46
bench_insert,diesel,1,,,64602708.0,ns,47
bench_insert,diesel,1,,,54471689.0,ns,48
bench_insert,diesel,1,,,53443637.0,ns,49
bench_insert,diesel,1,,,54112071.0,ns,50
bench_insert,diesel,1,,,66471304.0,ns,51
bench_insert,diesel,1,,,61449347.0,ns,52
bench_insert,diesel,1,,,55556145.0,ns,53
bench_insert,diesel,1,,,56303483.0,ns,54
bench_insert,diesel,1,,,57567148.0,ns,55
bench_insert,diesel,1,,,57911366.0,ns,56
bench_insert,diesel,1,,,108976781.0,ns,57
bench_insert,diesel,1,,,65683064.0,ns,58
bench_insert,diesel,1,,,67054534.0,ns,59
bench_insert,diesel,1,,,65725365.0,ns,60
bench_insert,diesel,1,,,68995633.0,ns,61
bench_insert,diesel,1,,,65462752.0,ns,62
bench_insert,diesel,1,,,64393898.0,ns,63
bench_insert,diesel,1,,,68860526.0,ns,64
bench_insert,diesel,1,,,78529021.0,ns,65
bench_insert,diesel,1,,,77367362.0,ns,66
bench_insert,diesel,1,,,78397115.0,ns,67
bench_insert,diesel,1,,,77011944.0,ns,68
bench_insert,diesel,1,,,84748540.0,ns,69
bench_insert,diesel,1,,,84561330.0,ns,70
bench_insert,diesel,1,,,75571670.0,ns,71
bench_insert,diesel,1,,,74398110.0,ns,72
bench_insert,diesel,1,,,79655079.0,ns,73
bench_insert,diesel,1,,,83695586.0,ns,74
bench_insert,diesel,1,,,82432121.0,ns,75
bench_insert,diesel,1,,,84017503.0,ns,76
bench_insert,diesel,1,,,105593408.0,ns,77
bench_insert,diesel,1,,,85350571.0,ns,78
bench_insert,diesel,1,,,87113761.0,ns,79
bench_insert,diesel,1,,,88916454.0,ns,80
bench_insert,diesel,1,,,100010421.0,ns,81
bench_insert,diesel,1,,,86839447.0,ns,82
bench_insert,diesel,1,,,93778503.0,ns,83
bench_insert,diesel,1,,,93744600.0,ns,84
bench_insert,diesel,1,,,86809046.0,ns,85
bench_insert,diesel,1,,,104013526.0,ns,86
bench_insert,diesel,1,,,93496687.0,ns,87
bench_insert,diesel,1,,,92481736.0,ns,88
bench_insert,diesel,1,,,96532043.0,ns,89
bench_insert,diesel,1,,,104073330.0,ns,90
bench_insert,diesel,1,,,95244691.0,ns,91
bench_insert,diesel,1,,,118519789.0,ns,92
bench_insert,diesel,1,,,97752422.0,ns,93
bench_insert,diesel,1,,,99943534.0,ns,94
bench_insert,diesel,1,,,99793026.0,ns,95
bench_insert,diesel,1,,,103132098.0,ns,96
bench_insert,diesel,1,,,139722578.0,ns,97
bench_insert,diesel,1,,,100730875.0,ns,98
bench_insert,diesel,1,,,104819384.0,ns,99
bench_insert,diesel,1,,,106174455.0,ns,100
