group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,1,,,1361709.0,ns,8
bench_trivial_query,sqlx_query_from_row,1,,,2625816.0,ns,16
bench_trivial_query,sqlx_query_from_row,1,,,3401022.0,ns,24
bench_trivial_query,sqlx_query_from_row,1,,,4798231.0,ns,32
bench_trivial_query,sqlx_query_from_row,1,,,5821038.0,ns,40
bench_trivial_query,sqlx_query_from_row,1,,,7328347.0,ns,48
bench_trivial_query,sqlx_query_from_row,1,,,7435748.0,ns,56
bench_trivial_query,sqlx_query_from_row,1,,,9140458.0,ns,64
bench_trivial_query,sqlx_query_from_row,1,,,10436367.0,ns,72
bench_trivial_query,sqlx_query_from_row,1,,,11392173.0,ns,80
bench_trivial_query,sqlx_query_from_row,1,,,11639475.0,ns,88
bench_trivial_query,sqlx_query_from_row,1,,,13729688.0,ns,96
bench_trivial_query,sqlx_query_from_row,1,,,13852190.0,ns,104
bench_trivial_query,sqlx_query_from_row,1,,,15653400.0,ns,112
bench_trivial_query,sqlx_query_from_row,1,,,16014603.0,ns,120
bench_trivial_query,sqlx_query_from_row,1,,,16652707.0,ns,128
bench_trivial_query,sqlx_query_from_row,1,,,19300724.0,ns,136
bench_trivial_query,sqlx_query_from_row,1,,,19622226.0,ns,144
bench_trivial_query,sqlx_query_from_row,1,,,20967535.0,ns,152
bench_trivial_query,sqlx_query_from_row,1,,,22373444.0,ns,160
bench_trivial_query,sqlx_query_from_row,1,,,22148943.0,ns,168
bench_trivial_query,sqlx_query_from_row,1,,,23796553.0,ns,176
bench_trivial_query,sqlx_query_from_row,1,,,24276856.0,ns,184
bench_trivial_query,sqlx_query_from_row,1,,,27257776.0,ns,192
bench_trivial_query,sqlx_query_from_row,1,,,28226381.0,ns,200
bench_trivial_query,sqlx_query_from_row,1,,,31383602.0,ns,208
bench_trivial_query,sqlx_query_from_row,1,,,28212581.0,ns,216
bench_trivial_query,sqlx_query_from_row,1,,,30388796.0,ns,224
bench_trivial_query,sqlx_query_from_row,1,,,30174894.0,ns,232
bench_trivial_query,sqlx_query_from_row,1,,,31915305.0,ns,240
bench_trivial_query,sqlx_query_from_row,1,,,33885818.0,ns,248
bench_trivial_query,sqlx_query_from_row,1,,,34328521.0,ns,256
bench_trivial_query,sqlx_query_from_row,1,,,35870531.0,ns,264
bench_trivial_query,sqlx_query_from_row,1,,,36102333.0,ns,272
bench_trivial_query,sqlx_query_from_row,1,,,42348472.0,ns,280
bench_trivial_query,sqlx_query_from_row,1,,,42246071.0,ns,288
bench_trivial_query,sqlx_query_from_row,1,,,38453047.0,ns,296
bench_trivial_query,sqlx_query_from_row,1,,,39992957.0,ns,304
bench_trivial_query,sqlx_query_from_row,1,,,41619668.0,ns,312
bench_trivial_query,sqlx_query_from_row,1,,,43010677.0,ns,320
bench_trivial_query,sqlx_query_from_row,1,,,45919495.0,ns,328
bench_trivial_query,sqlx_query_from_row,1,,,44806588.0,ns,336
bench_trivial_query,sqlx_query_from_row,1,,,46297697.0,ns,344
bench_trivial_query,sqlx_query_from_row,1,,,49695919.0,ns,352
bench_trivial_query,sqlx_query_from_row,1,,,51284529.0,ns,360
bench_trivial_query,sqlx_query_from_row,1,,,52924540.0,ns,368
bench_trivial_query,sqlx_query_from_row,1,,,49662419.0,ns,376
bench_trivial_query,sqlx_query_from_row,1,,,51641531.0,ns,384
bench_trivial_query,sqlx_query_from_row,1,,,60399387.0,ns,392
bench_trivial_query,sqlx_query_from_row,1,,,56688363.0,ns,400
bench_trivial_query,sqlx_query_from_row,1,,,54122747.0,ns,408
bench_trivial_query,sqlx_query_from_row,1,,,66362726.0,ns,416
bench_trivial_query,sqlx_query_from_row,1,,,56886565.0,ns,424
bench_trivial_query,sqlx_query_from_row,1,,,67259432.0,ns,432
bench_trivial_query,sqlx_query_from_row,1,,,63041304.0,ns,440
bench_trivial_query,sqlx_query_from_row,1,,,60734990.0,ns,448
bench_trivial_query,sqlx_query_from_row,1,,,63406507.0,ns,456
bench_trivial_query,sqlx_query_from_row,1,,,65205018.0,ns,464
bench_trivial_query,sqlx_query_from_row,1,,,63971410.0,ns,472
bench_trivial_query,sqlx_query_from_row,1,,,70366152.0,ns,480
bench_trivial_query,sqlx_query_from_row,1,,,68990242.0,ns,488
bench_trivial_query,sqlx_query_from_row,1,,,73129269.0,ns,496
bench_trivial_query,sqlx_query_from_row,1,,,67467132.0,ns,504
bench_trivial_query,sqlx_query_from_row,1,,,70292251.0,ns,512
bench_trivial_query,sqlx_query_from_row,1,,,69003242.0,ns,520
bench_trivial_query,sqlx_query_from_row,1,,,74767980.0,ns,528
bench_trivial_query,sqlx_query_from_row,1,,,74692680.0,ns,536
bench_trivial_query,sqlx_query_from_row,1,,,73729073.0,ns,544
bench_trivial_query,sqlx_query_from_row,1,,,74696280.0,ns,552
bench_trivial_query,sqlx_query_from_row,1,,,81677224.0,ns,560
bench_trivial_query,sqlx_query_from_row,1,,,77960600.0,ns,568
bench_trivial_query,sqlx_query_from_row,1,,,88174365.0,ns,576
bench_trivial_query,sqlx_query_from_row,1,,,91901989.0,ns,584
bench_trivial_query,sqlx_query_from_row,1,,,81914225.0,ns,592
bench_trivial_query,sqlx_query_from_row,1,,,83961139.0,ns,600
bench_trivial_query,sqlx_query_from_row,1,,,83338635.0,ns,608
bench_trivial_query,sqlx_query_from_row,1,,,91073384.0,ns,616
bench_trivial_query,sqlx_query_from_row,1,,,92255592.0,ns,624
bench_trivial_query,sqlx_query_from_row,1,,,89626275.0,ns,632
bench_trivial_query,sqlx_query_from_row,1,,,86586055.0,ns,640
bench_trivial_query,sqlx_query_from_row,1,,,89170872.0,ns,648
bench_trivial_query,sqlx_query_from_row,1,,,88550968.0,ns,656
bench_trivial_query,sqlx_query_from_row,1,,,91992090.0,ns,664
bench_trivial_query,sqlx_query_from_row,1,,,113954231.0,ns,672
bench_trivial_query,sqlx_query_from_row,1,,,91330386.0,ns,680
bench_trivial_query,sqlx_query_from_row,1,,,92440093.0,ns,688
bench_trivial_query,sqlx_query_from_row,1,,,95412112.0,ns,696
bench_trivial_query,sqlx_query_from_row,1,,,100152243.0,ns,704
bench_trivial_query,sqlx_query_from_row,1,,,96960322.0,ns,712
bench_trivial_query,sqlx_query_from_row,1,,,116832449.0,ns,720
bench_trivial_query,sqlx_query_from_row,1,,,105239075.0,ns,728
bench_trivial_query,sqlx_query_from_row,1,,,124137996.0,ns,736
bench_trivial_query,sqlx_query_from_row,1,,,113648929.0,ns,744
bench_trivial_query,sqlx_query_from_row,1,,,106173382.0,ns,752
bench_trivial_query,sqlx_query_from_row,1,,,101828854.0,ns,760
bench_trivial_query,sqlx_query_from_row,1,,,124165596.0,ns,768
bench_trivial_query,sqlx_query_from_row,1,,,107447290.0,ns,776
bench_trivial_query,sqlx_query_from_row,1,,,106942287.0,ns,784
bench_trivial_query,sqlx_query_from_row,1,,,106940286.0,ns,792
bench_trivial_query,sqlx_query_from_row,1,,,110447709.0,ns,800
