group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sea-orm,50,,,65542256.0,ns,16
bench_insert,sea-orm,50,,,59659916.0,ns,16
bench_insert,sea-orm,50,,,58601408.0,ns,16
bench_insert,sea-orm,50,,,58514008.0,ns,16
bench_insert,sea-orm,50,,,66015060.0,ns,16
bench_insert,sea-orm,50,,,59373614.0,ns,16
bench_insert,sea-orm,50,,,52296564.0,ns,16
bench_insert,sea-orm,50,,,57689002.0,ns,16
bench_insert,sea-orm,50,,,55607587.0,ns,16
bench_insert,sea-orm,50,,,58622408.0,ns,16
bench_insert,sea-orm,50,,,51398358.0,ns,16
bench_insert,sea-orm,50,,,74616020.0,ns,16
bench_insert,sea-orm,50,,,57537101.0,ns,16
bench_insert,sea-orm,50,,,65055053.0,ns,16
bench_insert,sea-orm,50,,,64154647.0,ns,16
bench_insert,sea-orm,50,,,57912304.0,ns,16
bench_insert,sea-orm,50,,,57286299.0,ns,16
bench_insert,sea-orm,50,,,61983432.0,ns,16
bench_insert,sea-orm,50,,,69454184.0,ns,16
bench_insert,sea-orm,50,,,60723123.0,ns,16
bench_insert,sea-orm,50,,,84685690.0,ns,16
bench_insert,sea-orm,50,,,63578243.0,ns,16
bench_insert,sea-orm,50,,,63154540.0,ns,16
bench_insert,sea-orm,50,,,64628251.0,ns,16
bench_insert,sea-orm,50,,,58689208.0,ns,16
bench_insert,sea-orm,50,,,56073391.0,ns,16
bench_insert,sea-orm,50,,,59740516.0,ns,16
bench_insert,sea-orm,50,,,62272633.0,ns,16
bench_insert,sea-orm,50,,,60571922.0,ns,16
bench_insert,sea-orm,50,,,55614187.0,ns,16
bench_insert,sea-orm,50,,,65633457.0,ns,16
bench_insert,sea-orm,50,,,52175163.0,ns,16
bench_insert,sea-orm,50,,,65323356.0,ns,16
bench_insert,sea-orm,50,,,62378735.0,ns,16
bench_insert,sea-orm,50,,,62134033.0,ns,16
bench_insert,sea-orm,50,,,58872010.0,ns,16
bench_insert,sea-orm,50,,,53672574.0,ns,16
bench_insert,sea-orm,50,,,55157584.0,ns,16
bench_insert,sea-orm,50,,,65633157.0,ns,16
bench_insert,sea-orm,50,,,60081018.0,ns,16
bench_insert,sea-orm,50,,,73040909.0,ns,16
bench_insert,sea-orm,50,,,62995939.0,ns,16
bench_insert,sea-orm,50,,,64158847.0,ns,16
bench_insert,sea-orm,50,,,64386249.0,ns,16
bench_insert,sea-orm,50,,,60685723.0,ns,16
bench_insert,sea-orm,50,,,65172454.0,ns,16
bench_insert,sea-orm,50,,,52953169.0,ns,16
bench_insert,sea-orm,50,,,62789438.0,ns,16
bench_insert,sea-orm,50,,,67151868.0,ns,16
bench_insert,sea-orm,50,,,58713809.0,ns,16
bench_insert,sea-orm,50,,,61168326.0,ns,16
bench_insert,sea-orm,50,,,56701795.0,ns,16
bench_insert,sea-orm,50,,,68371977.0,ns,16
bench_insert,sea-orm,50,,,52219664.0,ns,16
bench_insert,sea-orm,50,,,64419748.0,ns,16
bench_insert,sea-orm,50,,,59877917.0,ns,16
bench_insert,sea-orm,50,,,65269854.0,ns,16
bench_insert,sea-orm,50,,,62441535.0,ns,16
bench_insert,sea-orm,50,,,60802526.0,ns,16
bench_insert,sea-orm,50,,,71675402.0,ns,16
bench_insert,sea-orm,50,,,67825076.0,ns,16
bench_insert,sea-orm,50,,,57819405.0,ns,16
bench_insert,sea-orm,50,,,79152855.0,ns,16
bench_insert,sea-orm,50,,,73994619.0,ns,16
bench_insert,sea-orm,50,,,50618454.0,ns,16
bench_insert,sea-orm,50,,,64252750.0,ns,16
bench_insert,sea-orm,50,,,63949848.0,ns,16
bench_insert,sea-orm,50,,,66094863.0,ns,16
bench_insert,sea-orm,50,,,60492824.0,ns,16
bench_insert,sea-orm,50,,,60299723.0,ns,16
bench_insert,sea-orm,50,,,60454224.0,ns,16
bench_insert,sea-orm,50,,,64472052.0,ns,16
bench_insert,sea-orm,50,,,63657746.0,ns,16
bench_insert,sea-orm,50,,,58307208.0,ns,16
bench_insert,sea-orm,50,,,61083328.0,ns,16
bench_insert,sea-orm,50,,,63976549.0,ns,16
bench_insert,sea-orm,50,,,58650811.0,ns,16
bench_insert,sea-orm,50,,,63841647.0,ns,16
bench_insert,sea-orm,50,,,66387865.0,ns,16
bench_insert,sea-orm,50,,,64775054.0,ns,16
bench_insert,sea-orm,50,,,68130378.0,ns,16
bench_insert,sea-orm,50,,,51666162.0,ns,16
bench_insert,sea-orm,50,,,63008942.0,ns,16
bench_insert,sea-orm,50,,,61778333.0,ns,16
bench_insert,sea-orm,50,,,68674382.0,ns,16
bench_insert,sea-orm,50,,,66369666.0,ns,16
bench_insert,sea-orm,50,,,62427637.0,ns,16
bench_insert,sea-orm,50,,,69735289.0,ns,16
bench_insert,sea-orm,50,,,63202543.0,ns,16
bench_insert,sea-orm,50,,,69278086.0,ns,16
bench_insert,sea-orm,50,,,70658995.0,ns,16
bench_insert,sea-orm,50,,,67160471.0,ns,16
bench_insert,sea-orm,50,,,68480480.0,ns,16
bench_insert,sea-orm,50,,,68258379.0,ns,16
bench_insert,sea-orm,50,,,60512124.0,ns,16
bench_insert,sea-orm,50,,,65868961.0,ns,16
bench_insert,sea-orm,50,,,64677354.0,ns,16
bench_insert,sea-orm,50,,,59593218.0,ns,16
bench_insert,sea-orm,50,,,64498252.0,ns,16
bench_insert,sea-orm,50,,,60074921.0,ns,16
