group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,mysql,1,,,4307929.0,ns,1
bench_insert,mysql,1,,,4944732.0,ns,2
bench_insert,mysql,1,,,7703151.0,ns,3
bench_insert,mysql,1,,,12335282.0,ns,4
bench_insert,mysql,1,,,9726465.0,ns,5
bench_insert,mysql,1,,,16366110.0,ns,6
bench_insert,mysql,1,,,12884585.0,ns,7
bench_insert,mysql,1,,,17472117.0,ns,8
bench_insert,mysql,1,,,15561904.0,ns,9
bench_insert,mysql,1,,,17990220.0,ns,10
bench_insert,mysql,1,,,18876526.0,ns,11
bench_insert,mysql,1,,,38009853.0,ns,12
bench_insert,mysql,1,,,31000807.0,ns,13
bench_insert,mysql,1,,,30791905.0,ns,14
bench_insert,mysql,1,,,33750425.0,ns,15
bench_insert,mysql,1,,,25435769.0,ns,16
bench_insert,mysql,1,,,38827758.0,ns,17
bench_insert,mysql,1,,,29805098.0,ns,18
bench_insert,mysql,1,,,29171195.0,ns,19
bench_insert,mysql,1,,,30684605.0,ns,20
bench_insert,mysql,1,,,35127334.0,ns,21
bench_insert,mysql,1,,,32365816.0,ns,22
bench_insert,mysql,1,,,36846646.0,ns,23
bench_insert,mysql,1,,,39093861.0,ns,24
bench_insert,mysql,1,,,41209175.0,ns,25
bench_insert,mysql,1,,,45093401.0,ns,26
bench_insert,mysql,1,,,44958300.0,ns,27
bench_insert,mysql,1,,,45056600.0,ns,28
bench_insert,mysql,1,,,47698318.0,ns,29
bench_insert,mysql,1,,,52601850.0,ns,30
bench_insert,mysql,1,,,55686056.0,ns,31
bench_insert,mysql,1,,,61136591.0,ns,32
bench_insert,mysql,1,,,53114840.0,ns,33
bench_insert,mysql,1,,,62064497.0,ns,34
bench_insert,mysql,1,,,59459280.0,ns,35
bench_insert,mysql,1,,,62805002.0,ns,36
bench_insert,mysql,1,,,81000518.0,ns,37
bench_insert,mysql,1,,,76104087.0,ns,38
bench_insert,mysql,1,,,74306375.0,ns,39
bench_insert,mysql,1,,,69065042.0,ns,40
bench_insert,mysql,1,,,69415344.0,ns,41
bench_insert,mysql,1,,,80048212.0,ns,42
bench_insert,mysql,1,,,79613710.0,ns,43
bench_insert,mysql,1,,,80661016.0,ns,44
bench_insert,mysql,1,,,87934663.0,ns,45
bench_insert,mysql,1,,,102331555.0,ns,46
bench_insert,mysql,1,,,104823070.0,ns,47
bench_insert,mysql,1,,,81423620.0,ns,48
bench_insert,mysql,1,,,101570150.0,ns,49
bench_insert,mysql,1,,,93497597.0,ns,50
bench_insert,mysql,1,,,111312712.0,ns,51
bench_insert,mysql,1,,,91551385.0,ns,52
bench_insert,mysql,1,,,109810302.0,ns,53
bench_insert,mysql,1,,,143791319.0,ns,54
bench_insert,mysql,1,,,91946088.0,ns,55
bench_insert,mysql,1,,,98647731.0,ns,56
bench_insert,mysql,1,,,185938689.0,ns,57
bench_insert,mysql,1,,,145360329.0,ns,58
bench_insert,mysql,1,,,115640840.0,ns,59
bench_insert,mysql,1,,,94057701.0,ns,60
bench_insert,mysql,1,,,88987069.0,ns,61
bench_insert,mysql,1,,,93037995.0,ns,62
bench_insert,mysql,1,,,108549394.0,ns,63
bench_insert,mysql,1,,,115827840.0,ns,64
bench_insert,mysql,1,,,97311922.0,ns,65
bench_insert,mysql,1,,,103444161.0,ns,66
bench_insert,mysql,1,,,104291367.0,ns,67
bench_insert,mysql,1,,,121395676.0,ns,68
bench_insert,mysql,1,,,130261133.0,ns,69
bench_insert,mysql,1,,,127614116.0,ns,70
bench_insert,mysql,1,,,112170717.0,ns,71
bench_insert,mysql,1,,,107844989.0,ns,72
bench_insert,mysql,1,,,136564174.0,ns,73
bench_insert,mysql,1,,,151166567.0,ns,74
bench_insert,mysql,1,,,158451513.0,ns,75
bench_insert,mysql,1,,,143048514.0,ns,76
bench_insert,mysql,1,,,128668023.0,ns,77
bench_insert,mysql,1,,,130557435.0,ns,78
bench_insert,mysql,1,,,127733224.0,ns,79
bench_insert,mysql,1,,,121366094.0,ns,80
bench_insert,mysql,1,,,149869580.0,ns,81
bench_insert,mysql,1,,,121054092.0,ns,82
bench_insert,mysql,1,,,130897755.0,ns,83
bench_insert,mysql,1,,,120277387.0,ns,84
bench_insert,mysql,1,,,142358931.0,ns,85
bench_insert,mysql,1,,,170267913.0,ns,86
bench_insert,mysql,1,,,152996300.0,ns,87
bench_insert,mysql,1,,,153865606.0,ns,88
bench_insert,mysql,1,,,196221683.0,ns,89
bench_insert,mysql,1,,,173613335.0,ns,90
bench_insert,mysql,1,,,132275264.0,ns,91
bench_insert,mysql,1,,,157543630.0,ns,92
bench_insert,mysql,1,,,161664756.0,ns,93
bench_insert,mysql,1,,,174078338.0,ns,94
bench_insert,mysql,1,,,151765692.0,ns,95
bench_insert,mysql,1,,,147526564.0,ns,96
bench_insert,mysql,1,,,190159143.0,ns,97
bench_insert,mysql,1,,,162628863.0,ns,98
bench_insert,mysql,1,,,160501750.0,ns,99
bench_insert,mysql,1,,,151603491.0,ns,100
