group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,80847268.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,76838107.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74965739.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,80686453.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,75341473.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,76815605.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74205471.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,75537591.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,77019423.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,79002902.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,75751009.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,82134159.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,77821372.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,77593552.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,92690704.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,98468522.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74857007.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,76650068.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,80476510.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74945115.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,77833873.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74378464.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74341960.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,73117051.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74377164.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,74375864.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,73402976.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,73136052.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,79350009.0,ns,2
bench_medium_complex_query,sea-orm,10000,,,86668965.0,ns,2
