group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,1000,,,2652818.0,ns,2
bench_trivial_query,diesel,1000,,,3926527.0,ns,4
bench_trivial_query,diesel,1000,,,5813940.0,ns,6
bench_trivial_query,diesel,1000,,,7651353.0,ns,8
bench_trivial_query,diesel,1000,,,9351764.0,ns,10
bench_trivial_query,diesel,1000,,,11315378.0,ns,12
bench_trivial_query,diesel,1000,,,13001190.0,ns,14
bench_trivial_query,diesel,1000,,,16136012.0,ns,16
bench_trivial_query,diesel,1000,,,16911617.0,ns,18
bench_trivial_query,diesel,1000,,,18967131.0,ns,20
bench_trivial_query,diesel,1000,,,20375741.0,ns,22
bench_trivial_query,diesel,1000,,,22286054.0,ns,24
bench_trivial_query,diesel,1000,,,24178067.0,ns,26
bench_trivial_query,diesel,1000,,,25864679.0,ns,28
bench_trivial_query,diesel,1000,,,27990794.0,ns,30
bench_trivial_query,diesel,1000,,,30032908.0,ns,32
bench_trivial_query,diesel,1000,,,31692819.0,ns,34
bench_trivial_query,diesel,1000,,,33448831.0,ns,36
bench_trivial_query,diesel,1000,,,35452945.0,ns,38
bench_trivial_query,diesel,1000,,,37360659.0,ns,40
bench_trivial_query,diesel,1000,,,38407366.0,ns,42
bench_trivial_query,diesel,1000,,,40429780.0,ns,44
bench_trivial_query,diesel,1000,,,42494494.0,ns,46
bench_trivial_query,diesel,1000,,,44322607.0,ns,48
bench_trivial_query,diesel,1000,,,46617322.0,ns,50
bench_trivial_query,diesel,1000,,,48495135.0,ns,52
bench_trivial_query,diesel,1000,,,50462349.0,ns,54
bench_trivial_query,diesel,1000,,,52446363.0,ns,56
bench_trivial_query,diesel,1000,,,55624185.0,ns,58
bench_trivial_query,diesel,1000,,,55674785.0,ns,60
bench_trivial_query,diesel,1000,,,57454398.0,ns,62
bench_trivial_query,diesel,1000,,,59131909.0,ns,64
bench_trivial_query,diesel,1000,,,61750428.0,ns,66
bench_trivial_query,diesel,1000,,,63227338.0,ns,68
bench_trivial_query,diesel,1000,,,64560847.0,ns,70
bench_trivial_query,diesel,1000,,,66666662.0,ns,72
bench_trivial_query,diesel,1000,,,68603874.0,ns,74
bench_trivial_query,diesel,1000,,,70006484.0,ns,76
bench_trivial_query,diesel,1000,,,73996312.0,ns,78
bench_trivial_query,diesel,1000,,,73595409.0,ns,80
bench_trivial_query,diesel,1000,,,76097026.0,ns,82
bench_trivial_query,diesel,1000,,,77939014.0,ns,84
bench_trivial_query,diesel,1000,,,79071421.0,ns,86
bench_trivial_query,diesel,1000,,,80344530.0,ns,88
bench_trivial_query,diesel,1000,,,82293643.0,ns,90
bench_trivial_query,diesel,1000,,,84831659.0,ns,92
bench_trivial_query,diesel,1000,,,88167781.0,ns,94
bench_trivial_query,diesel,1000,,,88340082.0,ns,96
bench_trivial_query,diesel,1000,,,90756398.0,ns,98
bench_trivial_query,diesel,1000,,,92470710.0,ns,100
bench_trivial_query,diesel,1000,,,94697524.0,ns,102
bench_trivial_query,diesel,1000,,,95850932.0,ns,104
bench_trivial_query,diesel,1000,,,98156247.0,ns,106
bench_trivial_query,diesel,1000,,,101577869.0,ns,108
bench_trivial_query,diesel,1000,,,101354068.0,ns,110
bench_trivial_query,diesel,1000,,,103016079.0,ns,112
bench_trivial_query,diesel,1000,,,105281694.0,ns,114
bench_trivial_query,diesel,1000,,,107432208.0,ns,116
bench_trivial_query,diesel,1000,,,108777017.0,ns,118
bench_trivial_query,diesel,1000,,,112196639.0,ns,120
bench_trivial_query,diesel,1000,,,120623295.0,ns,122
bench_trivial_query,diesel,1000,,,113767750.0,ns,124
bench_trivial_query,diesel,1000,,,117325774.0,ns,126
bench_trivial_query,diesel,1000,,,118739082.0,ns,128
bench_trivial_query,diesel,1000,,,120722896.0,ns,130
bench_trivial_query,diesel,1000,,,120256593.0,ns,132
bench_trivial_query,diesel,1000,,,129502653.0,ns,134
bench_trivial_query,diesel,1000,,,125446226.0,ns,136
bench_trivial_query,diesel,1000,,,127464140.0,ns,138
bench_trivial_query,diesel,1000,,,127368739.0,ns,140
bench_trivial_query,diesel,1000,,,132012770.0,ns,142
bench_trivial_query,diesel,1000,,,132739075.0,ns,144
bench_trivial_query,diesel,1000,,,134709187.0,ns,146
bench_trivial_query,diesel,1000,,,133898782.0,ns,148
bench_trivial_query,diesel,1000,,,139295518.0,ns,150
bench_trivial_query,diesel,1000,,,137742108.0,ns,152
bench_trivial_query,diesel,1000,,,141806334.0,ns,154
bench_trivial_query,diesel,1000,,,146731267.0,ns,156
bench_trivial_query,diesel,1000,,,145404459.0,ns,158
bench_trivial_query,diesel,1000,,,148354677.0,ns,160
bench_trivial_query,diesel,1000,,,148378978.0,ns,162
bench_trivial_query,diesel,1000,,,151313297.0,ns,164
bench_trivial_query,diesel,1000,,,154964522.0,ns,166
bench_trivial_query,diesel,1000,,,153790013.0,ns,168
bench_trivial_query,diesel,1000,,,154804720.0,ns,170
bench_trivial_query,diesel,1000,,,157966841.0,ns,172
bench_trivial_query,diesel,1000,,,161158262.0,ns,174
bench_trivial_query,diesel,1000,,,163633678.0,ns,176
bench_trivial_query,diesel,1000,,,164643185.0,ns,178
bench_trivial_query,diesel,1000,,,162785292.0,ns,180
bench_trivial_query,diesel,1000,,,169704651.0,ns,182
bench_trivial_query,diesel,1000,,,171413162.0,ns,184
bench_trivial_query,diesel,1000,,,173188975.0,ns,186
bench_trivial_query,diesel,1000,,,170470156.0,ns,188
bench_trivial_query,diesel,1000,,,175204988.0,ns,190
bench_trivial_query,diesel,1000,,,177893806.0,ns,192
bench_trivial_query,diesel,1000,,,177426003.0,ns,194
bench_trivial_query,diesel,1000,,,179898921.0,ns,196
bench_trivial_query,diesel,1000,,,180903127.0,ns,198
bench_trivial_query,diesel,1000,,,185445458.0,ns,200
