group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,10,,,1256007.0,ns,17
bench_trivial_query,diesel,10,,,2129113.0,ns,34
bench_trivial_query,diesel,10,,,3037619.0,ns,51
bench_trivial_query,diesel,10,,,4216326.0,ns,68
bench_trivial_query,diesel,10,,,5131632.0,ns,85
bench_trivial_query,diesel,10,,,6110538.0,ns,102
bench_trivial_query,diesel,10,,,7224745.0,ns,119
bench_trivial_query,diesel,10,,,7971150.0,ns,136
bench_trivial_query,diesel,10,,,9187557.0,ns,153
bench_trivial_query,diesel,10,,,10484165.0,ns,170
bench_trivial_query,diesel,10,,,11397671.0,ns,187
bench_trivial_query,diesel,10,,,12157076.0,ns,204
bench_trivial_query,diesel,10,,,13122081.0,ns,221
bench_trivial_query,diesel,10,,,14444690.0,ns,238
bench_trivial_query,diesel,10,,,14982794.0,ns,255
bench_trivial_query,diesel,10,,,15657197.0,ns,272
bench_trivial_query,diesel,10,,,17653810.0,ns,289
bench_trivial_query,diesel,10,,,18060212.0,ns,306
bench_trivial_query,diesel,10,,,18857217.0,ns,323
bench_trivial_query,diesel,10,,,19695823.0,ns,340
bench_trivial_query,diesel,10,,,20656629.0,ns,357
bench_trivial_query,diesel,10,,,22588840.0,ns,374
bench_trivial_query,diesel,10,,,22769242.0,ns,391
bench_trivial_query,diesel,10,,,25404258.0,ns,408
bench_trivial_query,diesel,10,,,25214757.0,ns,425
bench_trivial_query,diesel,10,,,26591766.0,ns,442
bench_trivial_query,diesel,10,,,27446071.0,ns,459
bench_trivial_query,diesel,10,,,28770979.0,ns,476
bench_trivial_query,diesel,10,,,29532183.0,ns,493
bench_trivial_query,diesel,10,,,35675322.0,ns,510
bench_trivial_query,diesel,10,,,30515590.0,ns,527
bench_trivial_query,diesel,10,,,32244500.0,ns,544
bench_trivial_query,diesel,10,,,32821804.0,ns,561
bench_trivial_query,diesel,10,,,34086512.0,ns,578
bench_trivial_query,diesel,10,,,35438536.0,ns,595
bench_trivial_query,diesel,10,,,35608542.0,ns,612
bench_trivial_query,diesel,10,,,37347554.0,ns,629
bench_trivial_query,diesel,10,,,38331061.0,ns,646
bench_trivial_query,diesel,10,,,41395081.0,ns,663
bench_trivial_query,diesel,10,,,42283887.0,ns,680
bench_trivial_query,diesel,10,,,40944278.0,ns,697
bench_trivial_query,diesel,10,,,43036793.0,ns,714
bench_trivial_query,diesel,10,,,42651290.0,ns,731
bench_trivial_query,diesel,10,,,47032620.0,ns,748
bench_trivial_query,diesel,10,,,48263628.0,ns,765
bench_trivial_query,diesel,10,,,45818612.0,ns,782
bench_trivial_query,diesel,10,,,46341015.0,ns,799
bench_trivial_query,diesel,10,,,48923633.0,ns,816
bench_trivial_query,diesel,10,,,48436430.0,ns,833
bench_trivial_query,diesel,10,,,50166241.0,ns,850
bench_trivial_query,diesel,10,,,50639945.0,ns,867
bench_trivial_query,diesel,10,,,53050261.0,ns,884
bench_trivial_query,diesel,10,,,52327656.0,ns,901
bench_trivial_query,diesel,10,,,53359663.0,ns,918
bench_trivial_query,diesel,10,,,55216675.0,ns,935
bench_trivial_query,diesel,10,,,56332783.0,ns,952
bench_trivial_query,diesel,10,,,57345190.0,ns,969
bench_trivial_query,diesel,10,,,58226296.0,ns,986
bench_trivial_query,diesel,10,,,59619505.0,ns,1003
bench_trivial_query,diesel,10,,,59845007.0,ns,1020
bench_trivial_query,diesel,10,,,61634519.0,ns,1037
bench_trivial_query,diesel,10,,,63208730.0,ns,1054
bench_trivial_query,diesel,10,,,63340731.0,ns,1071
bench_trivial_query,diesel,10,,,64305238.0,ns,1088
bench_trivial_query,diesel,10,,,68969269.0,ns,1105
bench_trivial_query,diesel,10,,,66720653.0,ns,1122
bench_trivial_query,diesel,10,,,69167271.0,ns,1139
bench_trivial_query,diesel,10,,,69478373.0,ns,1156
bench_trivial_query,diesel,10,,,70967783.0,ns,1173
bench_trivial_query,diesel,10,,,70462780.0,ns,1190
