group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,2048243.0,ns,6
bench_medium_complex_query,diesel,10,,,3065115.0,ns,12
bench_medium_complex_query,diesel,10,,,4197793.0,ns,18
bench_medium_complex_query,diesel,10,,,5191363.0,ns,24
bench_medium_complex_query,diesel,10,,,6036122.0,ns,30
bench_medium_complex_query,diesel,10,,,6818576.0,ns,36
bench_medium_complex_query,diesel,10,,,9190442.0,ns,42
bench_medium_complex_query,diesel,10,,,9457360.0,ns,48
bench_medium_complex_query,diesel,10,,,10913062.0,ns,54
bench_medium_complex_query,diesel,10,,,12128147.0,ns,60
bench_medium_complex_query,diesel,10,,,12116647.0,ns,66
bench_medium_complex_query,diesel,10,,,13777963.0,ns,72
bench_medium_complex_query,diesel,10,,,15011249.0,ns,78
bench_medium_complex_query,diesel,10,,,15519784.0,ns,84
bench_medium_complex_query,diesel,10,,,16290538.0,ns,90
bench_medium_complex_query,diesel,10,,,17972755.0,ns,96
bench_medium_complex_query,diesel,10,,,17504923.0,ns,102
bench_medium_complex_query,diesel,10,,,20350822.0,ns,108
bench_medium_complex_query,diesel,10,,,19301649.0,ns,114
bench_medium_complex_query,diesel,10,,,21229583.0,ns,120
bench_medium_complex_query,diesel,10,,,22860397.0,ns,126
bench_medium_complex_query,diesel,10,,,23902470.0,ns,132
bench_medium_complex_query,diesel,10,,,24540714.0,ns,138
bench_medium_complex_query,diesel,10,,,25384073.0,ns,144
bench_medium_complex_query,diesel,10,,,26310238.0,ns,150
bench_medium_complex_query,diesel,10,,,26692565.0,ns,156
bench_medium_complex_query,diesel,10,,,27770440.0,ns,162
bench_medium_complex_query,diesel,10,,,28931121.0,ns,168
bench_medium_complex_query,diesel,10,,,30042198.0,ns,174
bench_medium_complex_query,diesel,10,,,30526833.0,ns,180
bench_medium_complex_query,diesel,10,,,36397143.0,ns,186
bench_medium_complex_query,diesel,10,,,41264483.0,ns,192
bench_medium_complex_query,diesel,10,,,35742597.0,ns,198
bench_medium_complex_query,diesel,10,,,36974282.0,ns,204
bench_medium_complex_query,diesel,10,,,39773478.0,ns,210
bench_medium_complex_query,diesel,10,,,48753706.0,ns,216
bench_medium_complex_query,diesel,10,,,42498369.0,ns,222
bench_medium_complex_query,diesel,10,,,41845223.0,ns,228
bench_medium_complex_query,diesel,10,,,43547442.0,ns,234
bench_medium_complex_query,diesel,10,,,46560452.0,ns,240
bench_medium_complex_query,diesel,10,,,46644259.0,ns,246
bench_medium_complex_query,diesel,10,,,46494948.0,ns,252
bench_medium_complex_query,diesel,10,,,46541351.0,ns,258
bench_medium_complex_query,diesel,10,,,50944859.0,ns,264
bench_medium_complex_query,diesel,10,,,45620387.0,ns,270
bench_medium_complex_query,diesel,10,,,48044656.0,ns,276
bench_medium_complex_query,diesel,10,,,50336216.0,ns,282
bench_medium_complex_query,diesel,10,,,51832721.0,ns,288
bench_medium_complex_query,diesel,10,,,54027575.0,ns,294
bench_medium_complex_query,diesel,10,,,51959929.0,ns,300
bench_medium_complex_query,diesel,10,,,53225918.0,ns,306
bench_medium_complex_query,diesel,10,,,51724414.0,ns,312
bench_medium_complex_query,diesel,10,,,51266981.0,ns,318
bench_medium_complex_query,diesel,10,,,53858562.0,ns,324
bench_medium_complex_query,diesel,10,,,57292202.0,ns,330
bench_medium_complex_query,diesel,10,,,59978214.0,ns,336
bench_medium_complex_query,diesel,10,,,64749134.0,ns,342
bench_medium_complex_query,diesel,10,,,62692395.0,ns,348
