group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,mysql_by_name,1000,,,2047815.0,ns,2
bench_trivial_query,mysql_by_name,1000,,,3953828.0,ns,4
bench_trivial_query,mysql_by_name,1000,,,5825841.0,ns,6
bench_trivial_query,mysql_by_name,1000,,,7759455.0,ns,8
bench_trivial_query,mysql_by_name,1000,,,9920770.0,ns,10
bench_trivial_query,mysql_by_name,1000,,,11752082.0,ns,12
bench_trivial_query,mysql_by_name,1000,,,13521695.0,ns,14
bench_trivial_query,mysql_by_name,1000,,,15421408.0,ns,16
bench_trivial_query,mysql_by_name,1000,,,17437523.0,ns,18
bench_trivial_query,mysql_by_name,1000,,,19433236.0,ns,20
bench_trivial_query,mysql_by_name,1000,,,21924754.0,ns,22
bench_trivial_query,mysql_by_name,1000,,,23873968.0,ns,24
bench_trivial_query,mysql_by_name,1000,,,25661980.0,ns,26
bench_trivial_query,mysql_by_name,1000,,,27680594.0,ns,28
bench_trivial_query,mysql_by_name,1000,,,29490606.0,ns,30
bench_trivial_query,mysql_by_name,1000,,,30964017.0,ns,32
bench_trivial_query,mysql_by_name,1000,,,33935638.0,ns,34
bench_trivial_query,mysql_by_name,1000,,,34494442.0,ns,36
bench_trivial_query,mysql_by_name,1000,,,36769358.0,ns,38
bench_trivial_query,mysql_by_name,1000,,,38721671.0,ns,40
bench_trivial_query,mysql_by_name,1000,,,40373583.0,ns,42
bench_trivial_query,mysql_by_name,1000,,,42160896.0,ns,44
bench_trivial_query,mysql_by_name,1000,,,44200810.0,ns,46
bench_trivial_query,mysql_by_name,1000,,,46623026.0,ns,48
bench_trivial_query,mysql_by_name,1000,,,48305239.0,ns,50
bench_trivial_query,mysql_by_name,1000,,,50450954.0,ns,52
bench_trivial_query,mysql_by_name,1000,,,52380868.0,ns,54
bench_trivial_query,mysql_by_name,1000,,,54901785.0,ns,56
bench_trivial_query,mysql_by_name,1000,,,55801191.0,ns,58
bench_trivial_query,mysql_by_name,1000,,,61589532.0,ns,60
bench_trivial_query,mysql_by_name,1000,,,59231915.0,ns,62
bench_trivial_query,mysql_by_name,1000,,,61474631.0,ns,64
bench_trivial_query,mysql_by_name,1000,,,63633146.0,ns,66
bench_trivial_query,mysql_by_name,1000,,,64730154.0,ns,68
bench_trivial_query,mysql_by_name,1000,,,67447373.0,ns,70
bench_trivial_query,mysql_by_name,1000,,,68550881.0,ns,72
bench_trivial_query,mysql_by_name,1000,,,71693603.0,ns,74
bench_trivial_query,mysql_by_name,1000,,,73116212.0,ns,76
bench_trivial_query,mysql_by_name,1000,,,75814531.0,ns,78
bench_trivial_query,mysql_by_name,1000,,,80508665.0,ns,80
bench_trivial_query,mysql_by_name,1000,,,78278649.0,ns,82
bench_trivial_query,mysql_by_name,1000,,,79883660.0,ns,84
bench_trivial_query,mysql_by_name,1000,,,83115683.0,ns,86
bench_trivial_query,mysql_by_name,1000,,,84408592.0,ns,88
bench_trivial_query,mysql_by_name,1000,,,85766702.0,ns,90
bench_trivial_query,mysql_by_name,1000,,,87713115.0,ns,92
bench_trivial_query,mysql_by_name,1000,,,89820830.0,ns,94
bench_trivial_query,mysql_by_name,1000,,,94974166.0,ns,96
