group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10,,,2828602.0,ns,3
bench_medium_complex_query,sea-orm,10,,,4519003.0,ns,6
bench_medium_complex_query,sea-orm,10,,,6112903.0,ns,9
bench_medium_complex_query,sea-orm,10,,,8037704.0,ns,12
bench_medium_complex_query,sea-orm,10,,,8781804.0,ns,15
bench_medium_complex_query,sea-orm,10,,,12711006.0,ns,18
bench_medium_complex_query,sea-orm,10,,,12129606.0,ns,21
bench_medium_complex_query,sea-orm,10,,,12863406.0,ns,24
bench_medium_complex_query,sea-orm,10,,,14310707.0,ns,27
bench_medium_complex_query,sea-orm,10,,,16075708.0,ns,30
bench_medium_complex_query,sea-orm,10,,,18397609.0,ns,33
bench_medium_complex_query,sea-orm,10,,,19824510.0,ns,36
bench_medium_complex_query,sea-orm,10,,,19703910.0,ns,39
bench_medium_complex_query,sea-orm,10,,,24741912.0,ns,42
bench_medium_complex_query,sea-orm,10,,,28263914.0,ns,45
bench_medium_complex_query,sea-orm,10,,,28478714.0,ns,48
bench_medium_complex_query,sea-orm,10,,,28400614.0,ns,51
bench_medium_complex_query,sea-orm,10,,,26730013.0,ns,54
bench_medium_complex_query,sea-orm,10,,,32572916.0,ns,57
bench_medium_complex_query,sea-orm,10,,,33425416.0,ns,60
bench_medium_complex_query,sea-orm,10,,,33038616.0,ns,63
bench_medium_complex_query,sea-orm,10,,,32961816.0,ns,66
bench_medium_complex_query,sea-orm,10,,,35058017.0,ns,69
bench_medium_complex_query,sea-orm,10,,,36510318.0,ns,72
bench_medium_complex_query,sea-orm,10,,,37351718.0,ns,75
bench_medium_complex_query,sea-orm,10,,,38563319.0,ns,78
bench_medium_complex_query,sea-orm,10,,,55155928.0,ns,81
bench_medium_complex_query,sea-orm,10,,,44452622.0,ns,84
bench_medium_complex_query,sea-orm,10,,,44922222.0,ns,87
bench_medium_complex_query,sea-orm,10,,,45736523.0,ns,90
bench_medium_complex_query,sea-orm,10,,,46588423.0,ns,93
bench_medium_complex_query,sea-orm,10,,,47763423.0,ns,96
bench_medium_complex_query,sea-orm,10,,,49525324.0,ns,99
bench_medium_complex_query,sea-orm,10,,,50243424.0,ns,102
bench_medium_complex_query,sea-orm,10,,,49038824.0,ns,105
bench_medium_complex_query,sea-orm,10,,,52084126.0,ns,108
bench_medium_complex_query,sea-orm,10,,,66367932.0,ns,111
bench_medium_complex_query,sea-orm,10,,,64161132.0,ns,114
bench_medium_complex_query,sea-orm,10,,,56277228.0,ns,117
bench_medium_complex_query,sea-orm,10,,,58349429.0,ns,120
bench_medium_complex_query,sea-orm,10,,,57860928.0,ns,123
bench_medium_complex_query,sea-orm,10,,,87737843.0,ns,126
bench_medium_complex_query,sea-orm,10,,,62835931.0,ns,129
bench_medium_complex_query,sea-orm,10,,,64630532.0,ns,132
bench_medium_complex_query,sea-orm,10,,,70631435.0,ns,135
bench_medium_complex_query,sea-orm,10,,,68239333.0,ns,138
bench_medium_complex_query,sea-orm,10,,,67186033.0,ns,141
bench_medium_complex_query,sea-orm,10,,,76167838.0,ns,144
bench_medium_complex_query,sea-orm,10,,,72320835.0,ns,147
bench_medium_complex_query,sea-orm,10,,,74589736.0,ns,150
bench_medium_complex_query,sea-orm,10,,,86430042.0,ns,153
bench_medium_complex_query,sea-orm,10,,,75910037.0,ns,156
bench_medium_complex_query,sea-orm,10,,,80166840.0,ns,159
bench_medium_complex_query,sea-orm,10,,,81219540.0,ns,162
bench_medium_complex_query,sea-orm,10,,,78447739.0,ns,165
bench_medium_complex_query,sea-orm,10,,,82280140.0,ns,168
bench_medium_complex_query,sea-orm,10,,,83456741.0,ns,171
bench_medium_complex_query,sea-orm,10,,,90040344.0,ns,174
bench_medium_complex_query,sea-orm,10,,,88216543.0,ns,177
bench_medium_complex_query,sea-orm,10,,,89990044.0,ns,180
bench_medium_complex_query,sea-orm,10,,,90588244.0,ns,183
bench_medium_complex_query,sea-orm,10,,,87981343.0,ns,186
bench_medium_complex_query,sea-orm,10,,,96322847.0,ns,189
bench_medium_complex_query,sea-orm,10,,,87382443.0,ns,192
bench_medium_complex_query,sea-orm,10,,,94674557.0,ns,195
bench_medium_complex_query,sea-orm,10,,,95662196.0,ns,198
bench_medium_complex_query,sea-orm,10,,,95487295.0,ns,201
bench_medium_complex_query,sea-orm,10,,,101595802.0,ns,204
bench_medium_complex_query,sea-orm,10,,,97250697.0,ns,207
bench_medium_complex_query,sea-orm,10,,,100306501.0,ns,210
bench_medium_complex_query,sea-orm,10,,,99735800.0,ns,213
bench_medium_complex_query,sea-orm,10,,,103204303.0,ns,216
bench_medium_complex_query,sea-orm,10,,,106951707.0,ns,219
bench_medium_complex_query,sea-orm,10,,,126052726.0,ns,222
bench_medium_complex_query,sea-orm,10,,,118846419.0,ns,225
bench_medium_complex_query,sea-orm,10,,,108603208.0,ns,228
bench_medium_complex_query,sea-orm,10,,,110344410.0,ns,231
bench_medium_complex_query,sea-orm,10,,,110183810.0,ns,234
bench_medium_complex_query,sea-orm,10,,,113115813.0,ns,237
bench_medium_complex_query,sea-orm,10,,,127057427.0,ns,240
bench_medium_complex_query,sea-orm,10,,,111430211.0,ns,243
bench_medium_complex_query,sea-orm,10,,,117480518.0,ns,246
bench_medium_complex_query,sea-orm,10,,,121589822.0,ns,249
bench_medium_complex_query,sea-orm,10,,,134552534.0,ns,252
bench_medium_complex_query,sea-orm,10,,,123757623.0,ns,255
bench_medium_complex_query,sea-orm,10,,,135196435.0,ns,258
