group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,10000,,,61028345.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61820856.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59621026.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60494338.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60059532.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60667740.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59643026.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60681241.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59577025.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60529739.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60038332.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60415136.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60912844.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,88623427.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60680840.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59647426.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60370436.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60966544.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60342036.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60060731.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59883229.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60491138.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61767756.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60434236.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60050731.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60058531.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60383636.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59950530.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60900543.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60165833.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60219234.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60825842.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61497652.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61210348.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61097946.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59721327.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59751327.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60436036.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60183933.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60913743.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60123533.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59656826.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60555939.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,66795825.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59926729.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59777127.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59910629.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61011545.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61609153.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61195347.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60396936.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61692254.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60291835.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,117617328.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60338235.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,62751468.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60897343.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59929330.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,68617750.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60900943.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60110732.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60514538.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60038532.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60065132.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60186033.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59943730.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,89278236.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60976844.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60242834.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,62728369.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59786128.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60902243.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59877029.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60603739.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59661026.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59773628.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,62953471.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61048645.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59940130.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59944530.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61031645.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60252034.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59802627.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60806842.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61107546.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60010331.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,61070545.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59578425.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59966830.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60252934.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60137132.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60449437.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60211633.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,62345163.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60758741.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59753427.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59929129.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,59921229.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60079532.0,ns,6
bench_medium_complex_query,diesel_boxed,10000,,,60287734.0,ns,6
