group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,rustorm,,,,113184878.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,112224779.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,118205972.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,110241081.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,116178675.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,131680158.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,133382256.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,113132678.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,119729971.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,114702677.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,119953671.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,118132873.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,122689368.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,117484374.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,111868979.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,115635276.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,112088579.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,111476180.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,120232071.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,115073377.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,123509067.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,132054458.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,129742061.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,114227177.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,111268581.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,114781577.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,122015769.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,118642573.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,122662368.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,128621762.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,118662872.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,110500881.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,115456476.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,114049477.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,121146570.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,110443582.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,115815476.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,113187379.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,114907577.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,116511876.0,ns,1
bench_loading_associations_sequentially,rustorm,,,,116782476.0,ns,1
