group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,1,,,1004520.0,ns,208
bench_insert,rusqlite,1,,,1948439.0,ns,416
bench_insert,rusqlite,1,,,2938058.0,ns,624
bench_insert,rusqlite,1,,,3943578.0,ns,832
bench_insert,rusqlite,1,,,4951498.0,ns,1040
bench_insert,rusqlite,1,,,5948618.0,ns,1248
bench_insert,rusqlite,1,,,6935137.0,ns,1456
bench_insert,rusqlite,1,,,7766054.0,ns,1664
bench_insert,rusqlite,1,,,8902576.0,ns,1872
bench_insert,rusqlite,1,,,9729993.0,ns,2080
bench_insert,rusqlite,1,,,10738112.0,ns,2288
bench_insert,rusqlite,1,,,11842335.0,ns,2496
bench_insert,rusqlite,1,,,12725352.0,ns,2704
bench_insert,rusqlite,1,,,13733571.0,ns,2912
bench_insert,rusqlite,1,,,14587788.0,ns,3120
bench_insert,rusqlite,1,,,15916115.0,ns,3328
bench_insert,rusqlite,1,,,16555527.0,ns,3536
bench_insert,rusqlite,1,,,17648550.0,ns,3744
bench_insert,rusqlite,1,,,18662669.0,ns,3952
bench_insert,rusqlite,1,,,19403884.0,ns,4160
bench_insert,rusqlite,1,,,20492505.0,ns,4368
bench_insert,rusqlite,1,,,21583728.0,ns,4576
bench_insert,rusqlite,1,,,22426844.0,ns,4784
bench_insert,rusqlite,1,,,23585666.0,ns,4992
bench_insert,rusqlite,1,,,24269580.0,ns,5200
bench_insert,rusqlite,1,,,25775210.0,ns,5408
bench_insert,rusqlite,1,,,26374422.0,ns,5616
bench_insert,rusqlite,1,,,27740149.0,ns,5824
bench_insert,rusqlite,1,,,28386562.0,ns,6032
bench_insert,rusqlite,1,,,29279179.0,ns,6240
bench_insert,rusqlite,1,,,30059895.0,ns,6448
bench_insert,rusqlite,1,,,30763308.0,ns,6656
bench_insert,rusqlite,1,,,32356640.0,ns,6864
bench_insert,rusqlite,1,,,33253258.0,ns,7072
bench_insert,rusqlite,1,,,33947971.0,ns,7280
bench_insert,rusqlite,1,,,35068894.0,ns,7488
bench_insert,rusqlite,1,,,36218017.0,ns,7696
bench_insert,rusqlite,1,,,37227137.0,ns,7904
bench_insert,rusqlite,1,,,37957451.0,ns,8112
bench_insert,rusqlite,1,,,39220776.0,ns,8320
bench_insert,rusqlite,1,,,39835988.0,ns,8528
bench_insert,rusqlite,1,,,41243916.0,ns,8736
bench_insert,rusqlite,1,,,41930830.0,ns,8944
bench_insert,rusqlite,1,,,43356558.0,ns,9152
bench_insert,rusqlite,1,,,43925669.0,ns,9360
bench_insert,rusqlite,1,,,45290596.0,ns,9568
bench_insert,rusqlite,1,,,45754806.0,ns,9776
bench_insert,rusqlite,1,,,47267936.0,ns,9984
bench_insert,rusqlite,1,,,47676944.0,ns,10192
bench_insert,rusqlite,1,,,48839467.0,ns,10400
bench_insert,rusqlite,1,,,49729684.0,ns,10608
bench_insert,rusqlite,1,,,50915907.0,ns,10816
bench_insert,rusqlite,1,,,51602321.0,ns,11024
