group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_queryable_by_name,1,,,1345516.0,ns,9
bench_trivial_query,diesel_queryable_by_name,1,,,2427729.0,ns,18
bench_trivial_query,diesel_queryable_by_name,1,,,4012047.0,ns,27
bench_trivial_query,diesel_queryable_by_name,1,,,4511354.0,ns,36
bench_trivial_query,diesel_queryable_by_name,1,,,5784069.0,ns,45
bench_trivial_query,diesel_queryable_by_name,1,,,6565678.0,ns,54
bench_trivial_query,diesel_queryable_by_name,1,,,7622991.0,ns,63
bench_trivial_query,diesel_queryable_by_name,1,,,8748504.0,ns,72
bench_trivial_query,diesel_queryable_by_name,1,,,9937019.0,ns,81
bench_trivial_query,diesel_queryable_by_name,1,,,10899630.0,ns,90
bench_trivial_query,diesel_queryable_by_name,1,,,11732640.0,ns,99
bench_trivial_query,diesel_queryable_by_name,1,,,12710652.0,ns,108
bench_trivial_query,diesel_queryable_by_name,1,,,14020667.0,ns,117
bench_trivial_query,diesel_queryable_by_name,1,,,15801703.0,ns,126
bench_trivial_query,diesel_queryable_by_name,1,,,16120908.0,ns,135
bench_trivial_query,diesel_queryable_by_name,1,,,17325623.0,ns,144
bench_trivial_query,diesel_queryable_by_name,1,,,18859443.0,ns,153
bench_trivial_query,diesel_queryable_by_name,1,,,19875556.0,ns,162
bench_trivial_query,diesel_queryable_by_name,1,,,20184360.0,ns,171
bench_trivial_query,diesel_queryable_by_name,1,,,21870782.0,ns,180
bench_trivial_query,diesel_queryable_by_name,1,,,22581791.0,ns,189
bench_trivial_query,diesel_queryable_by_name,1,,,23760706.0,ns,198
bench_trivial_query,diesel_queryable_by_name,1,,,24362613.0,ns,207
bench_trivial_query,diesel_queryable_by_name,1,,,26645343.0,ns,216
bench_trivial_query,diesel_queryable_by_name,1,,,31849810.0,ns,225
bench_trivial_query,diesel_queryable_by_name,1,,,28283964.0,ns,234
bench_trivial_query,diesel_queryable_by_name,1,,,29094674.0,ns,243
bench_trivial_query,diesel_queryable_by_name,1,,,30399091.0,ns,252
bench_trivial_query,diesel_queryable_by_name,1,,,31271702.0,ns,261
bench_trivial_query,diesel_queryable_by_name,1,,,33078626.0,ns,270
bench_trivial_query,diesel_queryable_by_name,1,,,33001325.0,ns,279
bench_trivial_query,diesel_queryable_by_name,1,,,36290267.0,ns,288
bench_trivial_query,diesel_queryable_by_name,1,,,36282468.0,ns,297
bench_trivial_query,diesel_queryable_by_name,1,,,36620172.0,ns,306
bench_trivial_query,diesel_queryable_by_name,1,,,37646184.0,ns,315
bench_trivial_query,diesel_queryable_by_name,1,,,40295219.0,ns,324
bench_trivial_query,diesel_queryable_by_name,1,,,40202818.0,ns,333
bench_trivial_query,diesel_queryable_by_name,1,,,41968341.0,ns,342
bench_trivial_query,diesel_queryable_by_name,1,,,42205343.0,ns,351
bench_trivial_query,diesel_queryable_by_name,1,,,42170643.0,ns,360
bench_trivial_query,diesel_queryable_by_name,1,,,44187973.0,ns,369
bench_trivial_query,diesel_queryable_by_name,1,,,44401376.0,ns,378
bench_trivial_query,diesel_queryable_by_name,1,,,46491403.0,ns,387
bench_trivial_query,diesel_queryable_by_name,1,,,47108812.0,ns,396
bench_trivial_query,diesel_queryable_by_name,1,,,48914335.0,ns,405
bench_trivial_query,diesel_queryable_by_name,1,,,50941761.0,ns,414
bench_trivial_query,diesel_queryable_by_name,1,,,49093937.0,ns,423
bench_trivial_query,diesel_queryable_by_name,1,,,52875486.0,ns,432
bench_trivial_query,diesel_queryable_by_name,1,,,53773198.0,ns,441
bench_trivial_query,diesel_queryable_by_name,1,,,54657109.0,ns,450
bench_trivial_query,diesel_queryable_by_name,1,,,52853487.0,ns,459
bench_trivial_query,diesel_queryable_by_name,1,,,55949226.0,ns,468
bench_trivial_query,diesel_queryable_by_name,1,,,56983240.0,ns,477
bench_trivial_query,diesel_queryable_by_name,1,,,58295457.0,ns,486
bench_trivial_query,diesel_queryable_by_name,1,,,62853616.0,ns,495
bench_trivial_query,diesel_queryable_by_name,1,,,60017179.0,ns,504
bench_trivial_query,diesel_queryable_by_name,1,,,60905991.0,ns,513
bench_trivial_query,diesel_queryable_by_name,1,,,62393210.0,ns,522
bench_trivial_query,diesel_queryable_by_name,1,,,64588438.0,ns,531
bench_trivial_query,diesel_queryable_by_name,1,,,63592826.0,ns,540
bench_trivial_query,diesel_queryable_by_name,1,,,65576752.0,ns,549
bench_trivial_query,diesel_queryable_by_name,1,,,66363561.0,ns,558
bench_trivial_query,diesel_queryable_by_name,1,,,66973570.0,ns,567
bench_trivial_query,diesel_queryable_by_name,1,,,68889295.0,ns,576
bench_trivial_query,diesel_queryable_by_name,1,,,76725796.0,ns,585
bench_trivial_query,diesel_queryable_by_name,1,,,70224511.0,ns,594
bench_trivial_query,diesel_queryable_by_name,1,,,71813132.0,ns,603
bench_trivial_query,diesel_queryable_by_name,1,,,74098962.0,ns,612
bench_trivial_query,diesel_queryable_by_name,1,,,72793545.0,ns,621
bench_trivial_query,diesel_queryable_by_name,1,,,74353365.0,ns,630
bench_trivial_query,diesel_queryable_by_name,1,,,76130388.0,ns,639
