group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,1,,,2624132.0,ns,8
bench_medium_complex_query,diesel_boxed,1,,,3586743.0,ns,16
bench_medium_complex_query,diesel_boxed,1,,,5164463.0,ns,24
bench_medium_complex_query,diesel_boxed,1,,,5827571.0,ns,32
bench_medium_complex_query,diesel_boxed,1,,,5845371.0,ns,40
bench_medium_complex_query,diesel_boxed,1,,,8735505.0,ns,48
bench_medium_complex_query,diesel_boxed,1,,,8598204.0,ns,56
bench_medium_complex_query,diesel_boxed,1,,,9091410.0,ns,64
bench_medium_complex_query,diesel_boxed,1,,,10290625.0,ns,72
bench_medium_complex_query,diesel_boxed,1,,,14367673.0,ns,80
bench_medium_complex_query,diesel_boxed,1,,,16348297.0,ns,88
bench_medium_complex_query,diesel_boxed,1,,,20856852.0,ns,96
bench_medium_complex_query,diesel_boxed,1,,,14182372.0,ns,104
bench_medium_complex_query,diesel_boxed,1,,,17922316.0,ns,112
bench_medium_complex_query,diesel_boxed,1,,,16934504.0,ns,120
bench_medium_complex_query,diesel_boxed,1,,,27932138.0,ns,128
bench_medium_complex_query,diesel_boxed,1,,,18781927.0,ns,136
bench_medium_complex_query,diesel_boxed,1,,,18757526.0,ns,144
bench_medium_complex_query,diesel_boxed,1,,,19820639.0,ns,152
bench_medium_complex_query,diesel_boxed,1,,,20656750.0,ns,160
bench_medium_complex_query,diesel_boxed,1,,,21375358.0,ns,168
bench_medium_complex_query,diesel_boxed,1,,,24918801.0,ns,176
bench_medium_complex_query,diesel_boxed,1,,,25977714.0,ns,184
bench_medium_complex_query,diesel_boxed,1,,,24778399.0,ns,192
bench_medium_complex_query,diesel_boxed,1,,,28590546.0,ns,200
bench_medium_complex_query,diesel_boxed,1,,,26577021.0,ns,208
bench_medium_complex_query,diesel_boxed,1,,,32281590.0,ns,216
bench_medium_complex_query,diesel_boxed,1,,,29275254.0,ns,224
bench_medium_complex_query,diesel_boxed,1,,,29046051.0,ns,232
bench_medium_complex_query,diesel_boxed,1,,,30387767.0,ns,240
bench_medium_complex_query,diesel_boxed,1,,,31756683.0,ns,248
bench_medium_complex_query,diesel_boxed,1,,,33120000.0,ns,256
bench_medium_complex_query,diesel_boxed,1,,,32742396.0,ns,264
bench_medium_complex_query,diesel_boxed,1,,,36048835.0,ns,272
bench_medium_complex_query,diesel_boxed,1,,,43161022.0,ns,280
bench_medium_complex_query,diesel_boxed,1,,,32866296.0,ns,288
bench_medium_complex_query,diesel_boxed,1,,,35770232.0,ns,296
bench_medium_complex_query,diesel_boxed,1,,,37151649.0,ns,304
bench_medium_complex_query,diesel_boxed,1,,,42096908.0,ns,312
bench_medium_complex_query,diesel_boxed,1,,,38665567.0,ns,320
bench_medium_complex_query,diesel_boxed,1,,,38947870.0,ns,328
bench_medium_complex_query,diesel_boxed,1,,,43348324.0,ns,336
bench_medium_complex_query,diesel_boxed,1,,,45761053.0,ns,344
bench_medium_complex_query,diesel_boxed,1,,,48370784.0,ns,352
bench_medium_complex_query,diesel_boxed,1,,,48550986.0,ns,360
bench_medium_complex_query,diesel_boxed,1,,,45023544.0,ns,368
bench_medium_complex_query,diesel_boxed,1,,,45882054.0,ns,376
bench_medium_complex_query,diesel_boxed,1,,,54670960.0,ns,384
bench_medium_complex_query,diesel_boxed,1,,,49885903.0,ns,392
bench_medium_complex_query,diesel_boxed,1,,,49026492.0,ns,400
bench_medium_complex_query,diesel_boxed,1,,,52140730.0,ns,408
bench_medium_complex_query,diesel_boxed,1,,,53887151.0,ns,416
bench_medium_complex_query,diesel_boxed,1,,,54003053.0,ns,424
bench_medium_complex_query,diesel_boxed,1,,,56857987.0,ns,432
bench_medium_complex_query,diesel_boxed,1,,,55947975.0,ns,440
bench_medium_complex_query,diesel_boxed,1,,,56727685.0,ns,448
bench_medium_complex_query,diesel_boxed,1,,,56733585.0,ns,456
bench_medium_complex_query,diesel_boxed,1,,,66791106.0,ns,464
bench_medium_complex_query,diesel_boxed,1,,,57090289.0,ns,472
bench_medium_complex_query,diesel_boxed,1,,,64636777.0,ns,480
bench_medium_complex_query,diesel_boxed,1,,,63654866.0,ns,488
bench_medium_complex_query,diesel_boxed,1,,,61702542.0,ns,496
bench_medium_complex_query,diesel_boxed,1,,,66250397.0,ns,504
bench_medium_complex_query,diesel_boxed,1,,,67954017.0,ns,512
bench_medium_complex_query,diesel_boxed,1,,,64753678.0,ns,520
bench_medium_complex_query,diesel_boxed,1,,,65294685.0,ns,528
bench_medium_complex_query,diesel_boxed,1,,,67219408.0,ns,536
bench_medium_complex_query,diesel_boxed,1,,,70458648.0,ns,544
bench_medium_complex_query,diesel_boxed,1,,,73056579.0,ns,552
bench_medium_complex_query,diesel_boxed,1,,,81307278.0,ns,560
bench_medium_complex_query,diesel_boxed,1,,,69513336.0,ns,568
bench_medium_complex_query,diesel_boxed,1,,,74072591.0,ns,576
bench_medium_complex_query,diesel_boxed,1,,,77261329.0,ns,584
bench_medium_complex_query,diesel_boxed,1,,,78391643.0,ns,592
bench_medium_complex_query,diesel_boxed,1,,,76336218.0,ns,600
bench_medium_complex_query,diesel_boxed,1,,,82516792.0,ns,608
bench_medium_complex_query,diesel_boxed,1,,,82091187.0,ns,616
bench_medium_complex_query,diesel_boxed,1,,,76191716.0,ns,624
bench_medium_complex_query,diesel_boxed,1,,,84849520.0,ns,632
bench_medium_complex_query,diesel_boxed,1,,,85430628.0,ns,640
bench_medium_complex_query,diesel_boxed,1,,,85133523.0,ns,648
bench_medium_complex_query,diesel_boxed,1,,,87655054.0,ns,656
bench_medium_complex_query,diesel_boxed,1,,,91988706.0,ns,664
bench_medium_complex_query,diesel_boxed,1,,,85994734.0,ns,672
bench_medium_complex_query,diesel_boxed,1,,,88250661.0,ns,680
bench_medium_complex_query,diesel_boxed,1,,,83204600.0,ns,688
bench_medium_complex_query,diesel_boxed,1,,,86208037.0,ns,696
bench_medium_complex_query,diesel_boxed,1,,,84712019.0,ns,704
bench_medium_complex_query,diesel_boxed,1,,,87676654.0,ns,712
bench_medium_complex_query,diesel_boxed,1,,,92159908.0,ns,720
bench_medium_complex_query,diesel_boxed,1,,,94843040.0,ns,728
bench_medium_complex_query,diesel_boxed,1,,,95100744.0,ns,736
bench_medium_complex_query,diesel_boxed,1,,,96932666.0,ns,744
bench_medium_complex_query,diesel_boxed,1,,,99291594.0,ns,752
bench_medium_complex_query,diesel_boxed,1,,,93551825.0,ns,760
bench_medium_complex_query,diesel_boxed,1,,,93669127.0,ns,768
bench_medium_complex_query,diesel_boxed,1,,,100826413.0,ns,776
bench_medium_complex_query,diesel_boxed,1,,,102801736.0,ns,784
bench_medium_complex_query,diesel_boxed,1,,,98524385.0,ns,792
bench_medium_complex_query,diesel_boxed,1,,,96292858.0,ns,800
