group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,10,,,1033208.0,ns,61
bench_insert,rusqlite,10,,,1615411.0,ns,122
bench_insert,rusqlite,10,,,2706319.0,ns,183
bench_insert,rusqlite,10,,,4642233.0,ns,244
bench_insert,rusqlite,10,,,4493232.0,ns,305
bench_insert,rusqlite,10,,,4974636.0,ns,366
bench_insert,rusqlite,10,,,5515840.0,ns,427
bench_insert,rusqlite,10,,,7704556.0,ns,488
bench_insert,rusqlite,10,,,7416154.0,ns,549
bench_insert,rusqlite,10,,,8445061.0,ns,610
bench_insert,rusqlite,10,,,9273466.0,ns,671
bench_insert,rusqlite,10,,,10218174.0,ns,732
bench_insert,rusqlite,10,,,11170180.0,ns,793
bench_insert,rusqlite,10,,,12432590.0,ns,854
bench_insert,rusqlite,10,,,12030887.0,ns,915
bench_insert,rusqlite,10,,,14505104.0,ns,976
bench_insert,rusqlite,10,,,14207102.0,ns,1037
bench_insert,rusqlite,10,,,16729021.0,ns,1098
bench_insert,rusqlite,10,,,15771313.0,ns,1159
bench_insert,rusqlite,10,,,17381925.0,ns,1220
bench_insert,rusqlite,10,,,17799228.0,ns,1281
bench_insert,rusqlite,10,,,19535841.0,ns,1342
bench_insert,rusqlite,10,,,21565755.0,ns,1403
bench_insert,rusqlite,10,,,20473247.0,ns,1464
bench_insert,rusqlite,10,,,21916058.0,ns,1525
bench_insert,rusqlite,10,,,27187096.0,ns,1586
bench_insert,rusqlite,10,,,24955480.0,ns,1647
bench_insert,rusqlite,10,,,30187518.0,ns,1708
bench_insert,rusqlite,10,,,26711092.0,ns,1769
bench_insert,rusqlite,10,,,27856801.0,ns,1830
bench_insert,rusqlite,10,,,29095910.0,ns,1891
bench_insert,rusqlite,10,,,28792707.0,ns,1952
bench_insert,rusqlite,10,,,29343911.0,ns,2013
bench_insert,rusqlite,10,,,35222454.0,ns,2074
bench_insert,rusqlite,10,,,31984631.0,ns,2135
bench_insert,rusqlite,10,,,33294040.0,ns,2196
bench_insert,rusqlite,10,,,36636064.0,ns,2257
bench_insert,rusqlite,10,,,35218153.0,ns,2318
bench_insert,rusqlite,10,,,35228054.0,ns,2379
bench_insert,rusqlite,10,,,35108553.0,ns,2440
bench_insert,rusqlite,10,,,35878558.0,ns,2501
bench_insert,rusqlite,10,,,34929052.0,ns,2562
bench_insert,rusqlite,10,,,36989467.0,ns,2623
bench_insert,rusqlite,10,,,39890887.0,ns,2684
bench_insert,rusqlite,10,,,40739693.0,ns,2745
bench_insert,rusqlite,10,,,41043096.0,ns,2806
bench_insert,rusqlite,10,,,41104396.0,ns,2867
bench_insert,rusqlite,10,,,39238182.0,ns,2928
bench_insert,rusqlite,10,,,40732193.0,ns,2989
bench_insert,rusqlite,10,,,46170433.0,ns,3050
bench_insert,rusqlite,10,,,50260562.0,ns,3111
bench_insert,rusqlite,10,,,47232740.0,ns,3172
bench_insert,rusqlite,10,,,46455335.0,ns,3233
bench_insert,rusqlite,10,,,44667322.0,ns,3294
bench_insert,rusqlite,10,,,47275740.0,ns,3355
bench_insert,rusqlite,10,,,48536550.0,ns,3416
bench_insert,rusqlite,10,,,50883066.0,ns,3477
bench_insert,rusqlite,10,,,50305362.0,ns,3538
bench_insert,rusqlite,10,,,51425371.0,ns,3599
bench_insert,rusqlite,10,,,53724387.0,ns,3660
bench_insert,rusqlite,10,,,54987496.0,ns,3721
bench_insert,rusqlite,10,,,61769645.0,ns,3782
bench_insert,rusqlite,10,,,58874724.0,ns,3843
bench_insert,rusqlite,10,,,56060903.0,ns,3904
bench_insert,rusqlite,10,,,58667823.0,ns,3965
bench_insert,rusqlite,10,,,58654522.0,ns,4026
bench_insert,rusqlite,10,,,63101555.0,ns,4087
bench_insert,rusqlite,10,,,60075233.0,ns,4148
bench_insert,rusqlite,10,,,59037126.0,ns,4209
bench_insert,rusqlite,10,,,62836852.0,ns,4270
bench_insert,rusqlite,10,,,58517222.0,ns,4331
bench_insert,rusqlite,10,,,67420286.0,ns,4392
bench_insert,rusqlite,10,,,71680716.0,ns,4453
