group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,100,,,1395110.0,ns,2
bench_medium_complex_query,sqlx_query_from_row,100,,,3133823.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,100,,,4440332.0,ns,6
bench_medium_complex_query,sqlx_query_from_row,100,,,8375060.0,ns,8
bench_medium_complex_query,sqlx_query_from_row,100,,,6903750.0,ns,10
bench_medium_complex_query,sqlx_query_from_row,100,,,8559162.0,ns,12
bench_medium_complex_query,sqlx_query_from_row,100,,,10379975.0,ns,14
bench_medium_complex_query,sqlx_query_from_row,100,,,11315982.0,ns,16
bench_medium_complex_query,sqlx_query_from_row,100,,,12347889.0,ns,18
bench_medium_complex_query,sqlx_query_from_row,100,,,13688598.0,ns,20
bench_medium_complex_query,sqlx_query_from_row,100,,,16350418.0,ns,22
bench_medium_complex_query,sqlx_query_from_row,100,,,17928729.0,ns,24
bench_medium_complex_query,sqlx_query_from_row,100,,,19353640.0,ns,26
bench_medium_complex_query,sqlx_query_from_row,100,,,20001144.0,ns,28
bench_medium_complex_query,sqlx_query_from_row,100,,,20905251.0,ns,30
bench_medium_complex_query,sqlx_query_from_row,100,,,21956259.0,ns,32
bench_medium_complex_query,sqlx_query_from_row,100,,,23486069.0,ns,34
bench_medium_complex_query,sqlx_query_from_row,100,,,26597392.0,ns,36
bench_medium_complex_query,sqlx_query_from_row,100,,,28623307.0,ns,38
bench_medium_complex_query,sqlx_query_from_row,100,,,27818601.0,ns,40
bench_medium_complex_query,sqlx_query_from_row,100,,,28274604.0,ns,42
bench_medium_complex_query,sqlx_query_from_row,100,,,30946323.0,ns,44
bench_medium_complex_query,sqlx_query_from_row,100,,,32171832.0,ns,46
bench_medium_complex_query,sqlx_query_from_row,100,,,33853244.0,ns,48
bench_medium_complex_query,sqlx_query_from_row,100,,,33531142.0,ns,50
bench_medium_complex_query,sqlx_query_from_row,100,,,36336362.0,ns,52
bench_medium_complex_query,sqlx_query_from_row,100,,,38668679.0,ns,54
bench_medium_complex_query,sqlx_query_from_row,100,,,40002088.0,ns,56
bench_medium_complex_query,sqlx_query_from_row,100,,,39902588.0,ns,58
bench_medium_complex_query,sqlx_query_from_row,100,,,42764908.0,ns,60
bench_medium_complex_query,sqlx_query_from_row,100,,,45336027.0,ns,62
