group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10000,,,52552802.0,ns,17
bench_medium_complex_query,diesel,10000,,,52586102.0,ns,17
bench_medium_complex_query,diesel,10000,,,52601202.0,ns,17
bench_medium_complex_query,diesel,10000,,,52579702.0,ns,17
bench_medium_complex_query,diesel,10000,,,52630403.0,ns,17
bench_medium_complex_query,diesel,10000,,,52542602.0,ns,17
bench_medium_complex_query,diesel,10000,,,52425400.0,ns,17
bench_medium_complex_query,diesel,10000,,,52602702.0,ns,17
bench_medium_complex_query,diesel,10000,,,52636303.0,ns,17
bench_medium_complex_query,diesel,10000,,,52463000.0,ns,17
bench_medium_complex_query,diesel,10000,,,52574602.0,ns,17
bench_medium_complex_query,diesel,10000,,,52508401.0,ns,17
bench_medium_complex_query,diesel,10000,,,52926407.0,ns,17
bench_medium_complex_query,diesel,10000,,,52886806.0,ns,17
bench_medium_complex_query,diesel,10000,,,52637902.0,ns,17
bench_medium_complex_query,diesel,10000,,,52545202.0,ns,17
bench_medium_complex_query,diesel,10000,,,52537002.0,ns,17
bench_medium_complex_query,diesel,10000,,,52519902.0,ns,17
bench_medium_complex_query,diesel,10000,,,52507001.0,ns,17
bench_medium_complex_query,diesel,10000,,,52669803.0,ns,17
bench_medium_complex_query,diesel,10000,,,52595802.0,ns,17
bench_medium_complex_query,diesel,10000,,,54400027.0,ns,17
bench_medium_complex_query,diesel,10000,,,52582102.0,ns,17
bench_medium_complex_query,diesel,10000,,,52984307.0,ns,17
bench_medium_complex_query,diesel,10000,,,52665003.0,ns,17
bench_medium_complex_query,diesel,10000,,,52665603.0,ns,17
bench_medium_complex_query,diesel,10000,,,52549602.0,ns,17
bench_medium_complex_query,diesel,10000,,,52632703.0,ns,17
bench_medium_complex_query,diesel,10000,,,52548002.0,ns,17
bench_medium_complex_query,diesel,10000,,,52554702.0,ns,17
bench_medium_complex_query,diesel,10000,,,52420900.0,ns,17
bench_medium_complex_query,diesel,10000,,,52589202.0,ns,17
bench_medium_complex_query,diesel,10000,,,52505801.0,ns,17
bench_medium_complex_query,diesel,10000,,,52722404.0,ns,17
bench_medium_complex_query,diesel,10000,,,52533501.0,ns,17
bench_medium_complex_query,diesel,10000,,,52601802.0,ns,17
bench_medium_complex_query,diesel,10000,,,52780405.0,ns,17
bench_medium_complex_query,diesel,10000,,,52720704.0,ns,17
bench_medium_complex_query,diesel,10000,,,52847106.0,ns,17
bench_medium_complex_query,diesel,10000,,,52668404.0,ns,17
bench_medium_complex_query,diesel,10000,,,52697404.0,ns,17
bench_medium_complex_query,diesel,10000,,,52573702.0,ns,17
bench_medium_complex_query,diesel,10000,,,54392427.0,ns,17
bench_medium_complex_query,diesel,10000,,,54024521.0,ns,17
bench_medium_complex_query,diesel,10000,,,52824705.0,ns,17
bench_medium_complex_query,diesel,10000,,,52408900.0,ns,17
bench_medium_complex_query,diesel,10000,,,52528921.0,ns,17
bench_medium_complex_query,diesel,10000,,,52831382.0,ns,17
bench_medium_complex_query,diesel,10000,,,52579379.0,ns,17
bench_medium_complex_query,diesel,10000,,,52595280.0,ns,17
bench_medium_complex_query,diesel,10000,,,52737381.0,ns,17
bench_medium_complex_query,diesel,10000,,,54507800.0,ns,17
bench_medium_complex_query,diesel,10000,,,52651280.0,ns,17
bench_medium_complex_query,diesel,10000,,,52690180.0,ns,17
bench_medium_complex_query,diesel,10000,,,52652080.0,ns,17
bench_medium_complex_query,diesel,10000,,,52632080.0,ns,17
bench_medium_complex_query,diesel,10000,,,52454178.0,ns,17
bench_medium_complex_query,diesel,10000,,,52469678.0,ns,17
bench_medium_complex_query,diesel,10000,,,52649480.0,ns,17
bench_medium_complex_query,diesel,10000,,,52393877.0,ns,17
bench_medium_complex_query,diesel,10000,,,52748981.0,ns,17
bench_medium_complex_query,diesel,10000,,,52653880.0,ns,17
bench_medium_complex_query,diesel,10000,,,52490978.0,ns,17
bench_medium_complex_query,diesel,10000,,,52360977.0,ns,17
bench_medium_complex_query,diesel,10000,,,52465678.0,ns,17
bench_medium_complex_query,diesel,10000,,,52423078.0,ns,17
bench_medium_complex_query,diesel,10000,,,52416978.0,ns,17
bench_medium_complex_query,diesel,10000,,,52335377.0,ns,17
bench_medium_complex_query,diesel,10000,,,52393877.0,ns,17
bench_medium_complex_query,diesel,10000,,,52343277.0,ns,17
bench_medium_complex_query,diesel,10000,,,52483778.0,ns,17
bench_medium_complex_query,diesel,10000,,,52318876.0,ns,17
bench_medium_complex_query,diesel,10000,,,52303276.0,ns,17
bench_medium_complex_query,diesel,10000,,,52363277.0,ns,17
bench_medium_complex_query,diesel,10000,,,52414877.0,ns,17
bench_medium_complex_query,diesel,10000,,,52366077.0,ns,17
bench_medium_complex_query,diesel,10000,,,52421178.0,ns,17
bench_medium_complex_query,diesel,10000,,,52703480.0,ns,17
bench_medium_complex_query,diesel,10000,,,52620379.0,ns,17
bench_medium_complex_query,diesel,10000,,,52535879.0,ns,17
bench_medium_complex_query,diesel,10000,,,52192975.0,ns,17
bench_medium_complex_query,diesel,10000,,,52355677.0,ns,17
bench_medium_complex_query,diesel,10000,,,52607679.0,ns,17
bench_medium_complex_query,diesel,10000,,,52361377.0,ns,17
bench_medium_complex_query,diesel,10000,,,55709013.0,ns,17
bench_medium_complex_query,diesel,10000,,,52196175.0,ns,17
bench_medium_complex_query,diesel,10000,,,52229476.0,ns,17
bench_medium_complex_query,diesel,10000,,,52364577.0,ns,17
bench_medium_complex_query,diesel,10000,,,52258375.0,ns,17
bench_medium_complex_query,diesel,10000,,,52214175.0,ns,17
bench_medium_complex_query,diesel,10000,,,52225476.0,ns,17
bench_medium_complex_query,diesel,10000,,,52315576.0,ns,17
bench_medium_complex_query,diesel,10000,,,52268476.0,ns,17
bench_medium_complex_query,diesel,10000,,,52300576.0,ns,17
bench_medium_complex_query,diesel,10000,,,52293576.0,ns,17
bench_medium_complex_query,diesel,10000,,,52737681.0,ns,17
bench_medium_complex_query,diesel,10000,,,52779882.0,ns,17
bench_medium_complex_query,diesel,10000,,,52780082.0,ns,17
bench_medium_complex_query,diesel,10000,,,52757781.0,ns,17
bench_medium_complex_query,diesel,10000,,,52635180.0,ns,17
