group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_name,10,,,960208.0,ns,10
bench_trivial_query,postgres_by_name,10,,,1820214.0,ns,20
bench_trivial_query,postgres_by_name,10,,,3214825.0,ns,30
bench_trivial_query,postgres_by_name,10,,,5162140.0,ns,40
bench_trivial_query,postgres_by_name,10,,,6497449.0,ns,50
bench_trivial_query,postgres_by_name,10,,,5984645.0,ns,60
bench_trivial_query,postgres_by_name,10,,,6947953.0,ns,70
bench_trivial_query,postgres_by_name,10,,,7376556.0,ns,80
bench_trivial_query,postgres_by_name,10,,,8019760.0,ns,90
bench_trivial_query,postgres_by_name,10,,,8740466.0,ns,100
bench_trivial_query,postgres_by_name,10,,,9637874.0,ns,110
bench_trivial_query,postgres_by_name,10,,,11353886.0,ns,120
bench_trivial_query,postgres_by_name,10,,,12434495.0,ns,130
bench_trivial_query,postgres_by_name,10,,,13184500.0,ns,140
bench_trivial_query,postgres_by_name,10,,,16072623.0,ns,150
bench_trivial_query,postgres_by_name,10,,,19440448.0,ns,160
bench_trivial_query,postgres_by_name,10,,,15919121.0,ns,170
bench_trivial_query,postgres_by_name,10,,,16552726.0,ns,180
bench_trivial_query,postgres_by_name,10,,,17720435.0,ns,190
bench_trivial_query,postgres_by_name,10,,,28030113.0,ns,200
bench_trivial_query,postgres_by_name,10,,,21390562.0,ns,210
bench_trivial_query,postgres_by_name,10,,,21649864.0,ns,220
bench_trivial_query,postgres_by_name,10,,,21155860.0,ns,230
bench_trivial_query,postgres_by_name,10,,,22589471.0,ns,240
bench_trivial_query,postgres_by_name,10,,,22510971.0,ns,250
bench_trivial_query,postgres_by_name,10,,,23601879.0,ns,260
bench_trivial_query,postgres_by_name,10,,,25356193.0,ns,270
bench_trivial_query,postgres_by_name,10,,,26269100.0,ns,280
bench_trivial_query,postgres_by_name,10,,,29411924.0,ns,290
bench_trivial_query,postgres_by_name,10,,,29117521.0,ns,300
bench_trivial_query,postgres_by_name,10,,,28260914.0,ns,310
bench_trivial_query,postgres_by_name,10,,,30277030.0,ns,320
bench_trivial_query,postgres_by_name,10,,,29851327.0,ns,330
bench_trivial_query,postgres_by_name,10,,,33104652.0,ns,340
bench_trivial_query,postgres_by_name,10,,,35504969.0,ns,350
bench_trivial_query,postgres_by_name,10,,,34582163.0,ns,360
bench_trivial_query,postgres_by_name,10,,,34129559.0,ns,370
bench_trivial_query,postgres_by_name,10,,,34138159.0,ns,380
bench_trivial_query,postgres_by_name,10,,,51486791.0,ns,390
bench_trivial_query,postgres_by_name,10,,,39877403.0,ns,400
bench_trivial_query,postgres_by_name,10,,,40905711.0,ns,410
bench_trivial_query,postgres_by_name,10,,,39847903.0,ns,420
bench_trivial_query,postgres_by_name,10,,,42080020.0,ns,430
bench_trivial_query,postgres_by_name,10,,,44307137.0,ns,440
bench_trivial_query,postgres_by_name,10,,,43064727.0,ns,450
bench_trivial_query,postgres_by_name,10,,,42819025.0,ns,460
bench_trivial_query,postgres_by_name,10,,,46616054.0,ns,470
bench_trivial_query,postgres_by_name,10,,,46135550.0,ns,480
bench_trivial_query,postgres_by_name,10,,,49130473.0,ns,490
bench_trivial_query,postgres_by_name,10,,,47468761.0,ns,500
bench_trivial_query,postgres_by_name,10,,,49432975.0,ns,510
bench_trivial_query,postgres_by_name,10,,,48783770.0,ns,520
bench_trivial_query,postgres_by_name,10,,,48641570.0,ns,530
bench_trivial_query,postgres_by_name,10,,,49892279.0,ns,540
bench_trivial_query,postgres_by_name,10,,,51044088.0,ns,550
bench_trivial_query,postgres_by_name,10,,,52039096.0,ns,560
bench_trivial_query,postgres_by_name,10,,,61641169.0,ns,570
bench_trivial_query,postgres_by_name,10,,,70170433.0,ns,580
bench_trivial_query,postgres_by_name,10,,,55997026.0,ns,590
bench_trivial_query,postgres_by_name,10,,,79009001.0,ns,600
bench_trivial_query,postgres_by_name,10,,,57903040.0,ns,610
bench_trivial_query,postgres_by_name,10,,,64380889.0,ns,620
bench_trivial_query,postgres_by_name,10,,,59253050.0,ns,630
bench_trivial_query,postgres_by_name,10,,,59802755.0,ns,640
bench_trivial_query,postgres_by_name,10,,,62909778.0,ns,650
bench_trivial_query,postgres_by_name,10,,,62901678.0,ns,660
bench_trivial_query,postgres_by_name,10,,,65897501.0,ns,670
bench_trivial_query,postgres_by_name,10,,,63208880.0,ns,680
bench_trivial_query,postgres_by_name,10,,,64156488.0,ns,690
bench_trivial_query,postgres_by_name,10,,,77622490.0,ns,700
bench_trivial_query,postgres_by_name,10,,,73527559.0,ns,710
bench_trivial_query,postgres_by_name,10,,,98680149.0,ns,720
bench_trivial_query,postgres_by_name,10,,,98069945.0,ns,730
bench_trivial_query,postgres_by_name,10,,,97460225.0,ns,740
bench_trivial_query,postgres_by_name,10,,,81212299.0,ns,750
bench_trivial_query,postgres_by_name,10,,,97312318.0,ns,760
bench_trivial_query,postgres_by_name,10,,,96124709.0,ns,770
bench_trivial_query,postgres_by_name,10,,,102592657.0,ns,780
bench_trivial_query,postgres_by_name,10,,,86294437.0,ns,790
bench_trivial_query,postgres_by_name,10,,,93795892.0,ns,800
bench_trivial_query,postgres_by_name,10,,,87740647.0,ns,810
bench_trivial_query,postgres_by_name,10,,,91317774.0,ns,820
bench_trivial_query,postgres_by_name,10,,,93638391.0,ns,830
bench_trivial_query,postgres_by_name,10,,,112857932.0,ns,840
bench_trivial_query,postgres_by_name,10,,,86436538.0,ns,850
bench_trivial_query,postgres_by_name,10,,,89226159.0,ns,860
bench_trivial_query,postgres_by_name,10,,,95749806.0,ns,870
bench_trivial_query,postgres_by_name,10,,,95273203.0,ns,880
bench_trivial_query,postgres_by_name,10,,,90679569.0,ns,890
bench_trivial_query,postgres_by_name,10,,,107146990.0,ns,900
bench_trivial_query,postgres_by_name,10,,,95328403.0,ns,910
bench_trivial_query,postgres_by_name,10,,,95929107.0,ns,920
bench_trivial_query,postgres_by_name,10,,,101668950.0,ns,930
bench_trivial_query,postgres_by_name,10,,,106125183.0,ns,940
bench_trivial_query,postgres_by_name,10,,,102861859.0,ns,950
bench_trivial_query,postgres_by_name,10,,,117165864.0,ns,960
bench_trivial_query,postgres_by_name,10,,,98100624.0,ns,970
bench_trivial_query,postgres_by_name,10,,,97165416.0,ns,980
bench_trivial_query,postgres_by_name,10,,,114647946.0,ns,990
bench_trivial_query,postgres_by_name,10,,,101497749.0,ns,1000
