group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,50,,,2552633.0,ns,2
bench_insert,sqlx,50,,,4146154.0,ns,4
bench_insert,sqlx,50,,,5553571.0,ns,6
bench_insert,sqlx,50,,,5942076.0,ns,8
bench_insert,sqlx,50,,,7556797.0,ns,10
bench_insert,sqlx,50,,,9371520.0,ns,12
bench_insert,sqlx,50,,,10290431.0,ns,14
bench_insert,sqlx,50,,,14939291.0,ns,16
bench_insert,sqlx,50,,,12515560.0,ns,18
bench_insert,sqlx,50,,,13925178.0,ns,20
bench_insert,sqlx,50,,,15919903.0,ns,22
bench_insert,sqlx,50,,,23896806.0,ns,24
bench_insert,sqlx,50,,,18163733.0,ns,26
bench_insert,sqlx,50,,,22451287.0,ns,28
bench_insert,sqlx,50,,,22362086.0,ns,30
bench_insert,sqlx,50,,,24955919.0,ns,32
bench_insert,sqlx,50,,,23999006.0,ns,34
bench_insert,sqlx,50,,,24549314.0,ns,36
bench_insert,sqlx,50,,,26610240.0,ns,38
bench_insert,sqlx,50,,,26756642.0,ns,40
bench_insert,sqlx,50,,,29101672.0,ns,42
bench_insert,sqlx,50,,,35101149.0,ns,44
bench_insert,sqlx,50,,,33791932.0,ns,46
bench_insert,sqlx,50,,,36763170.0,ns,48
bench_insert,sqlx,50,,,38492493.0,ns,50
bench_insert,sqlx,50,,,39906810.0,ns,52
bench_insert,sqlx,50,,,40111113.0,ns,54
bench_insert,sqlx,50,,,42285240.0,ns,56
bench_insert,sqlx,50,,,41945834.0,ns,58
bench_insert,sqlx,50,,,45090974.0,ns,60
bench_insert,sqlx,50,,,45662381.0,ns,62
bench_insert,sqlx,50,,,47323403.0,ns,64
bench_insert,sqlx,50,,,47378003.0,ns,66
bench_insert,sqlx,50,,,48028312.0,ns,68
bench_insert,sqlx,50,,,47362403.0,ns,70
bench_insert,sqlx,50,,,56418918.0,ns,72
bench_insert,sqlx,50,,,55753210.0,ns,74
bench_insert,sqlx,50,,,55872612.0,ns,76
bench_insert,sqlx,50,,,53675984.0,ns,78
bench_insert,sqlx,50,,,57107827.0,ns,80
bench_insert,sqlx,50,,,57439432.0,ns,82
bench_insert,sqlx,50,,,59823362.0,ns,84
bench_insert,sqlx,50,,,61836787.0,ns,86
bench_insert,sqlx,50,,,60918276.0,ns,88
bench_insert,sqlx,50,,,64792325.0,ns,90
bench_insert,sqlx,50,,,70930503.0,ns,92
bench_insert,sqlx,50,,,64268518.0,ns,94
bench_insert,sqlx,50,,,68767676.0,ns,96
bench_insert,sqlx,50,,,83198459.0,ns,98
bench_insert,sqlx,50,,,71315308.0,ns,100
bench_insert,sqlx,50,,,75722264.0,ns,102
bench_insert,sqlx,50,,,87943320.0,ns,104
bench_insert,sqlx,50,,,73682139.0,ns,106
bench_insert,sqlx,50,,,73984142.0,ns,108
bench_insert,sqlx,50,,,70976704.0,ns,110
bench_insert,sqlx,50,,,73694339.0,ns,112
bench_insert,sqlx,50,,,79027806.0,ns,114
bench_insert,sqlx,50,,,85050383.0,ns,116
bench_insert,sqlx,50,,,100248677.0,ns,118
bench_insert,sqlx,50,,,82154146.0,ns,120
bench_insert,sqlx,50,,,83042157.0,ns,122
bench_insert,sqlx,50,,,103861622.0,ns,124
bench_insert,sqlx,50,,,89044734.0,ns,126
bench_insert,sqlx,50,,,96388327.0,ns,128
bench_insert,sqlx,50,,,102701808.0,ns,130
bench_insert,sqlx,50,,,91242162.0,ns,132
bench_insert,sqlx,50,,,94289401.0,ns,134
bench_insert,sqlx,50,,,97132437.0,ns,136
bench_insert,sqlx,50,,,97887647.0,ns,138
bench_insert,sqlx,50,,,100753883.0,ns,140
bench_insert,sqlx,50,,,110173903.0,ns,142
bench_insert,sqlx,50,,,102950911.0,ns,144
bench_insert,sqlx,50,,,99044461.0,ns,146
bench_insert,sqlx,50,,,102843910.0,ns,148
bench_insert,sqlx,50,,,101754796.0,ns,150
bench_insert,sqlx,50,,,103246915.0,ns,152
bench_insert,sqlx,50,,,104959037.0,ns,154
bench_insert,sqlx,50,,,113615447.0,ns,156
bench_insert,sqlx,50,,,115036565.0,ns,158
bench_insert,sqlx,50,,,128711439.0,ns,160
bench_insert,sqlx,50,,,114904863.0,ns,162
bench_insert,sqlx,50,,,113202842.0,ns,164
bench_insert,sqlx,50,,,116234980.0,ns,166
bench_insert,sqlx,50,,,125154294.0,ns,168
bench_insert,sqlx,50,,,123934878.0,ns,170
bench_insert,sqlx,50,,,116786487.0,ns,172
bench_insert,sqlx,50,,,119321420.0,ns,174
bench_insert,sqlx,50,,,118563691.0,ns,176
bench_insert,sqlx,50,,,121530922.0,ns,178
bench_insert,sqlx,50,,,130742338.0,ns,180
bench_insert,sqlx,50,,,136704412.0,ns,182
bench_insert,sqlx,50,,,134227482.0,ns,184
bench_insert,sqlx,50,,,135581299.0,ns,186
bench_insert,sqlx,50,,,140812763.0,ns,188
bench_insert,sqlx,50,,,139246244.0,ns,190
bench_insert,sqlx,50,,,142328583.0,ns,192
bench_insert,sqlx,50,,,139885353.0,ns,194
bench_insert,sqlx,50,,,147833152.0,ns,196
bench_insert,sqlx,50,,,138218331.0,ns,198
bench_insert,sqlx,50,,,140791164.0,ns,200
