group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,10000,,,54682509.0,ns,10
bench_trivial_query,diesel,10000,,,57176841.0,ns,10
bench_trivial_query,diesel,10000,,,56503932.0,ns,10
bench_trivial_query,diesel,10000,,,56081726.0,ns,10
bench_trivial_query,diesel,10000,,,55657021.0,ns,10
bench_trivial_query,diesel,10000,,,56146628.0,ns,10
bench_trivial_query,diesel,10000,,,55674621.0,ns,10
bench_trivial_query,diesel,10000,,,57439844.0,ns,10
bench_trivial_query,diesel,10000,,,56403931.0,ns,10
bench_trivial_query,diesel,10000,,,54810010.0,ns,10
bench_trivial_query,diesel,10000,,,58654260.0,ns,10
bench_trivial_query,diesel,10000,,,56707135.0,ns,10
bench_trivial_query,diesel,10000,,,55960425.0,ns,10
bench_trivial_query,diesel,10000,,,56255828.0,ns,10
bench_trivial_query,diesel,10000,,,56684934.0,ns,10
bench_trivial_query,diesel,10000,,,57262742.0,ns,10
bench_trivial_query,diesel,10000,,,57365244.0,ns,10
bench_trivial_query,diesel,10000,,,57549345.0,ns,10
bench_trivial_query,diesel,10000,,,57340543.0,ns,10
bench_trivial_query,diesel,10000,,,57325442.0,ns,10
bench_trivial_query,diesel,10000,,,57943751.0,ns,10
bench_trivial_query,diesel,10000,,,56506332.0,ns,10
bench_trivial_query,diesel,10000,,,57248442.0,ns,10
bench_trivial_query,diesel,10000,,,57068039.0,ns,10
bench_trivial_query,diesel,10000,,,57467444.0,ns,10
bench_trivial_query,diesel,10000,,,57388443.0,ns,10
bench_trivial_query,diesel,10000,,,55563820.0,ns,10
bench_trivial_query,diesel,10000,,,57083339.0,ns,10
bench_trivial_query,diesel,10000,,,55417318.0,ns,10
bench_trivial_query,diesel,10000,,,57864449.0,ns,10
bench_trivial_query,diesel,10000,,,60554684.0,ns,10
bench_trivial_query,diesel,10000,,,56601233.0,ns,10
bench_trivial_query,diesel,10000,,,56599934.0,ns,10
bench_trivial_query,diesel,10000,,,55722522.0,ns,10
bench_trivial_query,diesel,10000,,,56205228.0,ns,10
bench_trivial_query,diesel,10000,,,55267916.0,ns,10
bench_trivial_query,diesel,10000,,,55493719.0,ns,10
bench_trivial_query,diesel,10000,,,55670621.0,ns,10
bench_trivial_query,diesel,10000,,,56116427.0,ns,10
bench_trivial_query,diesel,10000,,,57499945.0,ns,10
bench_trivial_query,diesel,10000,,,56180527.0,ns,10
bench_trivial_query,diesel,10000,,,56229822.0,ns,10
bench_trivial_query,diesel,10000,,,57172132.0,ns,10
bench_trivial_query,diesel,10000,,,55550812.0,ns,10
bench_trivial_query,diesel,10000,,,55780415.0,ns,10
bench_trivial_query,diesel,10000,,,58545150.0,ns,10
bench_trivial_query,diesel,10000,,,61032782.0,ns,10
bench_trivial_query,diesel,10000,,,58703452.0,ns,10
bench_trivial_query,diesel,10000,,,55660713.0,ns,10
bench_trivial_query,diesel,10000,,,55707313.0,ns,10
bench_trivial_query,diesel,10000,,,56943430.0,ns,10
bench_trivial_query,diesel,10000,,,61744492.0,ns,10
bench_trivial_query,diesel,10000,,,56659526.0,ns,10
bench_trivial_query,diesel,10000,,,56816028.0,ns,10
bench_trivial_query,diesel,10000,,,56882729.0,ns,10
bench_trivial_query,diesel,10000,,,55665514.0,ns,10
bench_trivial_query,diesel,10000,,,57582938.0,ns,10
bench_trivial_query,diesel,10000,,,55356710.0,ns,10
bench_trivial_query,diesel,10000,,,56048819.0,ns,10
bench_trivial_query,diesel,10000,,,56772127.0,ns,10
bench_trivial_query,diesel,10000,,,56113119.0,ns,10
bench_trivial_query,diesel,10000,,,57320035.0,ns,10
bench_trivial_query,diesel,10000,,,55731815.0,ns,10
bench_trivial_query,diesel,10000,,,57418836.0,ns,10
bench_trivial_query,diesel,10000,,,57162132.0,ns,10
bench_trivial_query,diesel,10000,,,57355335.0,ns,10
bench_trivial_query,diesel,10000,,,57184533.0,ns,10
bench_trivial_query,diesel,10000,,,55727414.0,ns,10
bench_trivial_query,diesel,10000,,,60484176.0,ns,10
bench_trivial_query,diesel,10000,,,56961430.0,ns,10
bench_trivial_query,diesel,10000,,,56949630.0,ns,10
bench_trivial_query,diesel,10000,,,57252834.0,ns,10
bench_trivial_query,diesel,10000,,,55568712.0,ns,10
bench_trivial_query,diesel,10000,,,60105171.0,ns,10
bench_trivial_query,diesel,10000,,,58850854.0,ns,10
bench_trivial_query,diesel,10000,,,55942816.0,ns,10
bench_trivial_query,diesel,10000,,,56521124.0,ns,10
bench_trivial_query,diesel,10000,,,57195933.0,ns,10
bench_trivial_query,diesel,10000,,,57104032.0,ns,10
bench_trivial_query,diesel,10000,,,55787215.0,ns,10
bench_trivial_query,diesel,10000,,,59546764.0,ns,10
bench_trivial_query,diesel,10000,,,57655138.0,ns,10
bench_trivial_query,diesel,10000,,,55676012.0,ns,10
bench_trivial_query,diesel,10000,,,56282319.0,ns,10
bench_trivial_query,diesel,10000,,,57259532.0,ns,10
bench_trivial_query,diesel,10000,,,57799439.0,ns,10
bench_trivial_query,diesel,10000,,,57505535.0,ns,10
bench_trivial_query,diesel,10000,,,56649325.0,ns,10
bench_trivial_query,diesel,10000,,,60659275.0,ns,10
bench_trivial_query,diesel,10000,,,56646425.0,ns,10
bench_trivial_query,diesel,10000,,,56848327.0,ns,10
bench_trivial_query,diesel,10000,,,55977116.0,ns,10
bench_trivial_query,diesel,10000,,,55203306.0,ns,10
bench_trivial_query,diesel,10000,,,56619524.0,ns,10
bench_trivial_query,diesel,10000,,,57275933.0,ns,10
bench_trivial_query,diesel,10000,,,55811713.0,ns,10
bench_trivial_query,diesel,10000,,,56142218.0,ns,10
bench_trivial_query,diesel,10000,,,55492410.0,ns,10
bench_trivial_query,diesel,10000,,,55572610.0,ns,10
bench_trivial_query,diesel,10000,,,56886528.0,ns,10
