group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,1,,,2634019.0,ns,1
bench_insert,sqlx,1,,,4067028.0,ns,2
bench_insert,sqlx,1,,,6536046.0,ns,3
bench_insert,sqlx,1,,,6669447.0,ns,4
bench_insert,sqlx,1,,,9645565.0,ns,5
bench_insert,sqlx,1,,,12898387.0,ns,6
bench_insert,sqlx,1,,,8230755.0,ns,7
bench_insert,sqlx,1,,,15201503.0,ns,8
bench_insert,sqlx,1,,,9074961.0,ns,9
bench_insert,sqlx,1,,,15786607.0,ns,10
bench_insert,sqlx,1,,,23636359.0,ns,11
bench_insert,sqlx,1,,,23831561.0,ns,12
bench_insert,sqlx,1,,,17996121.0,ns,13
bench_insert,sqlx,1,,,21130643.0,ns,14
bench_insert,sqlx,1,,,20054835.0,ns,15
bench_insert,sqlx,1,,,21251343.0,ns,16
bench_insert,sqlx,1,,,18892928.0,ns,17
bench_insert,sqlx,1,,,25511872.0,ns,18
bench_insert,sqlx,1,,,38058957.0,ns,19
bench_insert,sqlx,1,,,35732141.0,ns,20
bench_insert,sqlx,1,,,28189490.0,ns,21
bench_insert,sqlx,1,,,42590487.0,ns,22
bench_insert,sqlx,1,,,45197005.0,ns,23
bench_insert,sqlx,1,,,34335931.0,ns,24
bench_insert,sqlx,1,,,41117877.0,ns,25
bench_insert,sqlx,1,,,41896883.0,ns,26
bench_insert,sqlx,1,,,41140378.0,ns,27
bench_insert,sqlx,1,,,36734947.0,ns,28
bench_insert,sqlx,1,,,47608021.0,ns,29
bench_insert,sqlx,1,,,53590261.0,ns,30
bench_insert,sqlx,1,,,36671548.0,ns,31
bench_insert,sqlx,1,,,51571847.0,ns,32
bench_insert,sqlx,1,,,58011991.0,ns,33
bench_insert,sqlx,1,,,51091445.0,ns,34
bench_insert,sqlx,1,,,69128166.0,ns,35
bench_insert,sqlx,1,,,72606889.0,ns,36
bench_insert,sqlx,1,,,46342713.0,ns,37
bench_insert,sqlx,1,,,57123785.0,ns,38
bench_insert,sqlx,1,,,72823291.0,ns,39
bench_insert,sqlx,1,,,54266066.0,ns,40
bench_insert,sqlx,1,,,47011217.0,ns,41
bench_insert,sqlx,1,,,77898425.0,ns,42
bench_insert,sqlx,1,,,59602701.0,ns,43
bench_insert,sqlx,1,,,68853264.0,ns,44
bench_insert,sqlx,1,,,53373359.0,ns,45
bench_insert,sqlx,1,,,63984332.0,ns,46
bench_insert,sqlx,1,,,62607622.0,ns,47
bench_insert,sqlx,1,,,88805099.0,ns,48
bench_insert,sqlx,1,,,80919246.0,ns,49
bench_insert,sqlx,1,,,108347130.0,ns,50
bench_insert,sqlx,1,,,89889806.0,ns,51
bench_insert,sqlx,1,,,93552631.0,ns,52
bench_insert,sqlx,1,,,91749518.0,ns,53
bench_insert,sqlx,1,,,89879006.0,ns,54
bench_insert,sqlx,1,,,116631786.0,ns,55
bench_insert,sqlx,1,,,88819098.0,ns,56
bench_insert,sqlx,1,,,82055053.0,ns,57
bench_insert,sqlx,1,,,97706959.0,ns,58
bench_insert,sqlx,1,,,85711078.0,ns,59
bench_insert,sqlx,1,,,95286642.0,ns,60
bench_insert,sqlx,1,,,113862967.0,ns,61
bench_insert,sqlx,1,,,103796500.0,ns,62
bench_insert,sqlx,1,,,112510659.0,ns,63
bench_insert,sqlx,1,,,89892706.0,ns,64
bench_insert,sqlx,1,,,113094563.0,ns,65
bench_insert,sqlx,1,,,98539264.0,ns,66
bench_insert,sqlx,1,,,97250556.0,ns,67
bench_insert,sqlx,1,,,126157251.0,ns,68
bench_insert,sqlx,1,,,121995022.0,ns,69
bench_insert,sqlx,1,,,110155642.0,ns,70
bench_insert,sqlx,1,,,128530967.0,ns,71
bench_insert,sqlx,1,,,105027808.0,ns,72
bench_insert,sqlx,1,,,122041523.0,ns,73
bench_insert,sqlx,1,,,103918448.0,ns,74
bench_insert,sqlx,1,,,108409875.0,ns,75
bench_insert,sqlx,1,,,112373700.0,ns,76
bench_insert,sqlx,1,,,108223474.0,ns,77
bench_insert,sqlx,1,,,118121836.0,ns,78
bench_insert,sqlx,1,,,124333075.0,ns,79
bench_insert,sqlx,1,,,128896703.0,ns,80
bench_insert,sqlx,1,,,142627889.0,ns,81
bench_insert,sqlx,1,,,149543732.0,ns,82
bench_insert,sqlx,1,,,139304368.0,ns,83
bench_insert,sqlx,1,,,163640320.0,ns,84
bench_insert,sqlx,1,,,111434495.0,ns,85
bench_insert,sqlx,1,,,145299206.0,ns,86
bench_insert,sqlx,1,,,138233261.0,ns,87
bench_insert,sqlx,1,,,160756102.0,ns,88
bench_insert,sqlx,1,,,152679051.0,ns,89
bench_insert,sqlx,1,,,112339500.0,ns,90
bench_insert,sqlx,1,,,111488795.0,ns,91
bench_insert,sqlx,1,,,140298874.0,ns,92
bench_insert,sqlx,1,,,153346956.0,ns,93
bench_insert,sqlx,1,,,117277731.0,ns,94
bench_insert,sqlx,1,,,160891302.0,ns,95
bench_insert,sqlx,1,,,151695345.0,ns,96
bench_insert,sqlx,1,,,161432606.0,ns,97
bench_insert,sqlx,1,,,185239155.0,ns,98
bench_insert,sqlx,1,,,158466188.0,ns,99
bench_insert,sqlx,1,,,141856984.0,ns,100
