group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel,100,,,2970940.0,ns,2
bench_insert,diesel,100,,,3833852.0,ns,4
bench_insert,diesel,100,,,5841779.0,ns,6
bench_insert,diesel,100,,,8241510.0,ns,8
bench_insert,diesel,100,,,8395613.0,ns,10
bench_insert,diesel,100,,,9403427.0,ns,12
bench_insert,diesel,100,,,10772745.0,ns,14
bench_insert,diesel,100,,,12450267.0,ns,16
bench_insert,diesel,100,,,13773785.0,ns,18
bench_insert,diesel,100,,,17066129.0,ns,20
bench_insert,diesel,100,,,17164330.0,ns,22
bench_insert,diesel,100,,,19529962.0,ns,24
bench_insert,diesel,100,,,20514876.0,ns,26
bench_insert,diesel,100,,,22221298.0,ns,28
bench_insert,diesel,100,,,22788006.0,ns,30
bench_insert,diesel,100,,,25048136.0,ns,32
bench_insert,diesel,100,,,27912774.0,ns,34
bench_insert,diesel,100,,,28808587.0,ns,36
bench_insert,diesel,100,,,33801554.0,ns,38
bench_insert,diesel,100,,,32203433.0,ns,40
bench_insert,diesel,100,,,31593924.0,ns,42
bench_insert,diesel,100,,,36692293.0,ns,44
bench_insert,diesel,100,,,35437875.0,ns,46
bench_insert,diesel,100,,,35646778.0,ns,48
bench_insert,diesel,100,,,36015383.0,ns,50
bench_insert,diesel,100,,,38597518.0,ns,52
bench_insert,diesel,100,,,40070938.0,ns,54
bench_insert,diesel,100,,,42123666.0,ns,56
bench_insert,diesel,100,,,42468970.0,ns,58
bench_insert,diesel,100,,,44452297.0,ns,60
bench_insert,diesel,100,,,44409296.0,ns,62
bench_insert,diesel,100,,,44260595.0,ns,64
bench_insert,diesel,100,,,61857130.0,ns,66
bench_insert,diesel,100,,,51693294.0,ns,68
bench_insert,diesel,100,,,59561400.0,ns,70
bench_insert,diesel,100,,,60474911.0,ns,72
bench_insert,diesel,100,,,70093241.0,ns,74
bench_insert,diesel,100,,,73749590.0,ns,76
bench_insert,diesel,100,,,62185535.0,ns,78
bench_insert,diesel,100,,,60552113.0,ns,80
bench_insert,diesel,100,,,61152920.0,ns,82
bench_insert,diesel,100,,,71545260.0,ns,84
bench_insert,diesel,100,,,70817250.0,ns,86
bench_insert,diesel,100,,,70537246.0,ns,88
bench_insert,diesel,100,,,72242870.0,ns,90
bench_insert,diesel,100,,,69241129.0,ns,92
bench_insert,diesel,100,,,70430046.0,ns,94
bench_insert,diesel,100,,,73692789.0,ns,96
bench_insert,diesel,100,,,72309871.0,ns,98
bench_insert,diesel,100,,,73514987.0,ns,100
bench_insert,diesel,100,,,87342073.0,ns,102
bench_insert,diesel,100,,,85241344.0,ns,104
bench_insert,diesel,100,,,88658890.0,ns,106
bench_insert,diesel,100,,,83789525.0,ns,108
bench_insert,diesel,100,,,87703477.0,ns,110
bench_insert,diesel,100,,,98702125.0,ns,112
bench_insert,diesel,100,,,86235957.0,ns,114
bench_insert,diesel,100,,,87553275.0,ns,116
bench_insert,diesel,100,,,102031070.0,ns,118
bench_insert,diesel,100,,,98134622.0,ns,120
bench_insert,diesel,100,,,96701502.0,ns,122
bench_insert,diesel,100,,,93789363.0,ns,124
bench_insert,diesel,100,,,99917446.0,ns,126
bench_insert,diesel,100,,,101751671.0,ns,128
bench_insert,diesel,100,,,97784217.0,ns,130
bench_insert,diesel,100,,,98449327.0,ns,132
bench_insert,diesel,100,,,99527941.0,ns,134
bench_insert,diesel,100,,,104305306.0,ns,136
bench_insert,diesel,100,,,140686395.0,ns,138
bench_insert,diesel,100,,,103625596.0,ns,140
bench_insert,diesel,100,,,103280691.0,ns,142
bench_insert,diesel,100,,,105018215.0,ns,144
bench_insert,diesel,100,,,102425380.0,ns,146
bench_insert,diesel,100,,,155448794.0,ns,148
bench_insert,diesel,100,,,115021049.0,ns,150
bench_insert,diesel,100,,,116649772.0,ns,152
bench_insert,diesel,100,,,113387727.0,ns,154
bench_insert,diesel,100,,,116830874.0,ns,156
bench_insert,diesel,100,,,163974409.0,ns,158
bench_insert,diesel,100,,,116088664.0,ns,160
bench_insert,diesel,100,,,118477396.0,ns,162
bench_insert,diesel,100,,,127038011.0,ns,164
bench_insert,diesel,100,,,162781093.0,ns,166
bench_insert,diesel,100,,,123930069.0,ns,168
bench_insert,diesel,100,,,123861069.0,ns,170
bench_insert,diesel,100,,,125636893.0,ns,172
bench_insert,diesel,100,,,128640333.0,ns,174
bench_insert,diesel,100,,,169995290.0,ns,176
bench_insert,diesel,100,,,134342809.0,ns,178
bench_insert,diesel,100,,,142996226.0,ns,180
bench_insert,diesel,100,,,134457711.0,ns,182
bench_insert,diesel,100,,,173375036.0,ns,184
bench_insert,diesel,100,,,143748836.0,ns,186
bench_insert,diesel,100,,,140660595.0,ns,188
bench_insert,diesel,100,,,140642294.0,ns,190
bench_insert,diesel,100,,,185710801.0,ns,192
bench_insert,diesel,100,,,148465800.0,ns,194
bench_insert,diesel,100,,,147358685.0,ns,196
bench_insert,diesel,100,,,158150630.0,ns,198
bench_insert,diesel,100,,,210729538.0,ns,200
