group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rustorm,100,,,1330016.0,ns,5
bench_trivial_query,rustorm,100,,,2463729.0,ns,10
bench_trivial_query,rustorm,100,,,3623143.0,ns,15
bench_trivial_query,rustorm,100,,,4884858.0,ns,20
bench_trivial_query,rustorm,100,,,6465877.0,ns,25
bench_trivial_query,rustorm,100,,,7299086.0,ns,30
bench_trivial_query,rustorm,100,,,8558502.0,ns,35
bench_trivial_query,rustorm,100,,,9537813.0,ns,40
bench_trivial_query,rustorm,100,,,10852329.0,ns,45
bench_trivial_query,rustorm,100,,,11845540.0,ns,50
bench_trivial_query,rustorm,100,,,13390959.0,ns,55
bench_trivial_query,rustorm,100,,,14397271.0,ns,60
bench_trivial_query,rustorm,100,,,15301482.0,ns,65
bench_trivial_query,rustorm,100,,,16093491.0,ns,70
bench_trivial_query,rustorm,100,,,17914312.0,ns,75
bench_trivial_query,rustorm,100,,,18366518.0,ns,80
bench_trivial_query,rustorm,100,,,22915072.0,ns,85
bench_trivial_query,rustorm,100,,,20904048.0,ns,90
bench_trivial_query,rustorm,100,,,21835560.0,ns,95
bench_trivial_query,rustorm,100,,,23259376.0,ns,100
bench_trivial_query,rustorm,100,,,23745181.0,ns,105
bench_trivial_query,rustorm,100,,,25148599.0,ns,110
bench_trivial_query,rustorm,100,,,27036821.0,ns,115
bench_trivial_query,rustorm,100,,,27425125.0,ns,120
bench_trivial_query,rustorm,100,,,29021044.0,ns,125
bench_trivial_query,rustorm,100,,,30215059.0,ns,130
bench_trivial_query,rustorm,100,,,30951568.0,ns,135
bench_trivial_query,rustorm,100,,,32323884.0,ns,140
bench_trivial_query,rustorm,100,,,34384208.0,ns,145
bench_trivial_query,rustorm,100,,,33855502.0,ns,150
bench_trivial_query,rustorm,100,,,35155017.0,ns,155
bench_trivial_query,rustorm,100,,,41797696.0,ns,160
bench_trivial_query,rustorm,100,,,37536745.0,ns,165
bench_trivial_query,rustorm,100,,,39558769.0,ns,170
bench_trivial_query,rustorm,100,,,39337067.0,ns,175
bench_trivial_query,rustorm,100,,,40665083.0,ns,180
bench_trivial_query,rustorm,100,,,41919497.0,ns,185
bench_trivial_query,rustorm,100,,,43201612.0,ns,190
bench_trivial_query,rustorm,100,,,46088647.0,ns,195
bench_trivial_query,rustorm,100,,,45361139.0,ns,200
bench_trivial_query,rustorm,100,,,46288150.0,ns,205
bench_trivial_query,rustorm,100,,,47373262.0,ns,210
bench_trivial_query,rustorm,100,,,48360474.0,ns,215
bench_trivial_query,rustorm,100,,,54056642.0,ns,220
bench_trivial_query,rustorm,100,,,51062907.0,ns,225
bench_trivial_query,rustorm,100,,,52719425.0,ns,230
bench_trivial_query,rustorm,100,,,53739838.0,ns,235
bench_trivial_query,rustorm,100,,,54233544.0,ns,240
bench_trivial_query,rustorm,100,,,55309957.0,ns,245
bench_trivial_query,rustorm,100,,,57048477.0,ns,250
bench_trivial_query,rustorm,100,,,57699585.0,ns,255
bench_trivial_query,rustorm,100,,,58618896.0,ns,260
bench_trivial_query,rustorm,100,,,59637408.0,ns,265
bench_trivial_query,rustorm,100,,,61222826.0,ns,270
bench_trivial_query,rustorm,100,,,62362440.0,ns,275
bench_trivial_query,rustorm,100,,,64100361.0,ns,280
bench_trivial_query,rustorm,100,,,64826970.0,ns,285
bench_trivial_query,rustorm,100,,,65969783.0,ns,290
bench_trivial_query,rustorm,100,,,66646391.0,ns,295
bench_trivial_query,rustorm,100,,,70241533.0,ns,300
bench_trivial_query,rustorm,100,,,69290823.0,ns,305
bench_trivial_query,rustorm,100,,,70688239.0,ns,310
bench_trivial_query,rustorm,100,,,71041643.0,ns,315
bench_trivial_query,rustorm,100,,,76503308.0,ns,320
bench_trivial_query,rustorm,100,,,73722575.0,ns,325
bench_trivial_query,rustorm,100,,,75249493.0,ns,330
bench_trivial_query,rustorm,100,,,75158192.0,ns,335
bench_trivial_query,rustorm,100,,,77355218.0,ns,340
bench_trivial_query,rustorm,100,,,78691734.0,ns,345
bench_trivial_query,rustorm,100,,,80371954.0,ns,350
bench_trivial_query,rustorm,100,,,85530116.0,ns,355
bench_trivial_query,rustorm,100,,,88036745.0,ns,360
bench_trivial_query,rustorm,100,,,82575880.0,ns,365
bench_trivial_query,rustorm,100,,,84432103.0,ns,370
bench_trivial_query,rustorm,100,,,84300201.0,ns,375
bench_trivial_query,rustorm,100,,,85713118.0,ns,380
bench_trivial_query,rustorm,100,,,89402861.0,ns,385
bench_trivial_query,rustorm,100,,,88449550.0,ns,390
bench_trivial_query,rustorm,100,,,89232159.0,ns,395
bench_trivial_query,rustorm,100,,,95292432.0,ns,400
bench_trivial_query,rustorm,100,,,93237407.0,ns,405
bench_trivial_query,rustorm,100,,,92845702.0,ns,410
bench_trivial_query,rustorm,100,,,93973515.0,ns,415
bench_trivial_query,rustorm,100,,,95922139.0,ns,420
bench_trivial_query,rustorm,100,,,97494457.0,ns,425
bench_trivial_query,rustorm,100,,,96327144.0,ns,430
bench_trivial_query,rustorm,100,,,102730619.0,ns,435
bench_trivial_query,rustorm,100,,,99413580.0,ns,440
bench_trivial_query,rustorm,100,,,100627395.0,ns,445
bench_trivial_query,rustorm,100,,,103939834.0,ns,450
bench_trivial_query,rustorm,100,,,103496829.0,ns,455
bench_trivial_query,rustorm,100,,,103863333.0,ns,460
bench_trivial_query,rustorm,100,,,104931246.0,ns,465
bench_trivial_query,rustorm,100,,,110936717.0,ns,470
bench_trivial_query,rustorm,100,,,107463076.0,ns,475
bench_trivial_query,rustorm,100,,,108014183.0,ns,480
bench_trivial_query,rustorm,100,,,110696414.0,ns,485
bench_trivial_query,rustorm,100,,,112102531.0,ns,490
bench_trivial_query,rustorm,100,,,111606925.0,ns,495
bench_trivial_query,rustorm,100,,,114122255.0,ns,500
