group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,10,,,917860.0,ns,19
bench_trivial_query,sqlx_query_from_row,10,,,1792017.0,ns,38
bench_trivial_query,sqlx_query_from_row,10,,,2809885.0,ns,57
bench_trivial_query,sqlx_query_from_row,10,,,3821050.0,ns,76
bench_trivial_query,sqlx_query_from_row,10,,,4570100.0,ns,95
bench_trivial_query,sqlx_query_from_row,10,,,5501161.0,ns,114
bench_trivial_query,sqlx_query_from_row,10,,,6821947.0,ns,133
bench_trivial_query,sqlx_query_from_row,10,,,7127767.0,ns,152
bench_trivial_query,sqlx_query_from_row,10,,,8173836.0,ns,171
bench_trivial_query,sqlx_query_from_row,10,,,17077520.0,ns,190
bench_trivial_query,sqlx_query_from_row,10,,,10036358.0,ns,209
bench_trivial_query,sqlx_query_from_row,10,,,21474508.0,ns,228
bench_trivial_query,sqlx_query_from_row,10,,,32225614.0,ns,247
bench_trivial_query,sqlx_query_from_row,10,,,20576949.0,ns,266
bench_trivial_query,sqlx_query_from_row,10,,,13884811.0,ns,285
bench_trivial_query,sqlx_query_from_row,10,,,18474412.0,ns,304
bench_trivial_query,sqlx_query_from_row,10,,,17475346.0,ns,323
bench_trivial_query,sqlx_query_from_row,10,,,19589884.0,ns,342
bench_trivial_query,sqlx_query_from_row,10,,,17787667.0,ns,361
bench_trivial_query,sqlx_query_from_row,10,,,18741929.0,ns,380
bench_trivial_query,sqlx_query_from_row,10,,,19929207.0,ns,399
bench_trivial_query,sqlx_query_from_row,10,,,22974306.0,ns,418
bench_trivial_query,sqlx_query_from_row,10,,,23517742.0,ns,437
bench_trivial_query,sqlx_query_from_row,10,,,28852192.0,ns,456
bench_trivial_query,sqlx_query_from_row,10,,,23636050.0,ns,475
bench_trivial_query,sqlx_query_from_row,10,,,33178576.0,ns,494
bench_trivial_query,sqlx_query_from_row,10,,,29025904.0,ns,513
bench_trivial_query,sqlx_query_from_row,10,,,26327927.0,ns,532
bench_trivial_query,sqlx_query_from_row,10,,,27643413.0,ns,551
bench_trivial_query,sqlx_query_from_row,10,,,27977335.0,ns,570
bench_trivial_query,sqlx_query_from_row,10,,,29240017.0,ns,589
bench_trivial_query,sqlx_query_from_row,10,,,32878656.0,ns,608
bench_trivial_query,sqlx_query_from_row,10,,,31929494.0,ns,627
bench_trivial_query,sqlx_query_from_row,10,,,31125341.0,ns,646
bench_trivial_query,sqlx_query_from_row,10,,,33176376.0,ns,665
bench_trivial_query,sqlx_query_from_row,10,,,45531086.0,ns,684
bench_trivial_query,sqlx_query_from_row,10,,,35796947.0,ns,703
bench_trivial_query,sqlx_query_from_row,10,,,40130231.0,ns,722
bench_trivial_query,sqlx_query_from_row,10,,,37827780.0,ns,741
bench_trivial_query,sqlx_query_from_row,10,,,38907252.0,ns,760
bench_trivial_query,sqlx_query_from_row,10,,,40061527.0,ns,779
bench_trivial_query,sqlx_query_from_row,10,,,44862642.0,ns,798
bench_trivial_query,sqlx_query_from_row,10,,,54165652.0,ns,817
bench_trivial_query,sqlx_query_from_row,10,,,42390580.0,ns,836
bench_trivial_query,sqlx_query_from_row,10,,,41333010.0,ns,855
bench_trivial_query,sqlx_query_from_row,10,,,49487545.0,ns,874
bench_trivial_query,sqlx_query_from_row,10,,,44020287.0,ns,893
bench_trivial_query,sqlx_query_from_row,10,,,59062073.0,ns,912
bench_trivial_query,sqlx_query_from_row,10,,,77272868.0,ns,931
bench_trivial_query,sqlx_query_from_row,10,,,55870364.0,ns,950
bench_trivial_query,sqlx_query_from_row,10,,,57410265.0,ns,969
bench_trivial_query,sqlx_query_from_row,10,,,49891072.0,ns,988
bench_trivial_query,sqlx_query_from_row,10,,,52353733.0,ns,1007
bench_trivial_query,sqlx_query_from_row,10,,,52436039.0,ns,1026
bench_trivial_query,sqlx_query_from_row,10,,,52869068.0,ns,1045
bench_trivial_query,sqlx_query_from_row,10,,,50784330.0,ns,1064
bench_trivial_query,sqlx_query_from_row,10,,,54535577.0,ns,1083
bench_trivial_query,sqlx_query_from_row,10,,,55229822.0,ns,1102
bench_trivial_query,sqlx_query_from_row,10,,,55634848.0,ns,1121
bench_trivial_query,sqlx_query_from_row,10,,,56284591.0,ns,1140
bench_trivial_query,sqlx_query_from_row,10,,,66831783.0,ns,1159
bench_trivial_query,sqlx_query_from_row,10,,,64793250.0,ns,1178
bench_trivial_query,sqlx_query_from_row,10,,,58325925.0,ns,1197
bench_trivial_query,sqlx_query_from_row,10,,,58839159.0,ns,1216
bench_trivial_query,sqlx_query_from_row,10,,,60898894.0,ns,1235
bench_trivial_query,sqlx_query_from_row,10,,,61197113.0,ns,1254
bench_trivial_query,sqlx_query_from_row,10,,,66339151.0,ns,1273
bench_trivial_query,sqlx_query_from_row,10,,,73269405.0,ns,1292
bench_trivial_query,sqlx_query_from_row,10,,,65870220.0,ns,1311
bench_trivial_query,sqlx_query_from_row,10,,,66195541.0,ns,1330
bench_trivial_query,sqlx_query_from_row,10,,,63377956.0,ns,1349
bench_trivial_query,sqlx_query_from_row,10,,,68148269.0,ns,1368
bench_trivial_query,sqlx_query_from_row,10,,,69506859.0,ns,1387
bench_trivial_query,sqlx_query_from_row,10,,,68127668.0,ns,1406
bench_trivial_query,sqlx_query_from_row,10,,,66680573.0,ns,1425
bench_trivial_query,sqlx_query_from_row,10,,,69993790.0,ns,1444
bench_trivial_query,sqlx_query_from_row,10,,,69520859.0,ns,1463
bench_trivial_query,sqlx_query_from_row,10,,,70109898.0,ns,1482
bench_trivial_query,sqlx_query_from_row,10,,,72108029.0,ns,1501
bench_trivial_query,sqlx_query_from_row,10,,,73769938.0,ns,1520
bench_trivial_query,sqlx_query_from_row,10,,,73387513.0,ns,1539
bench_trivial_query,sqlx_query_from_row,10,,,74958016.0,ns,1558
bench_trivial_query,sqlx_query_from_row,10,,,75657762.0,ns,1577
bench_trivial_query,sqlx_query_from_row,10,,,82610117.0,ns,1596
bench_trivial_query,sqlx_query_from_row,10,,,77827004.0,ns,1615
bench_trivial_query,sqlx_query_from_row,10,,,78120123.0,ns,1634
bench_trivial_query,sqlx_query_from_row,10,,,79983946.0,ns,1653
bench_trivial_query,sqlx_query_from_row,10,,,78314236.0,ns,1672
bench_trivial_query,sqlx_query_from_row,10,,,80032449.0,ns,1691
bench_trivial_query,sqlx_query_from_row,10,,,80679091.0,ns,1710
bench_trivial_query,sqlx_query_from_row,10,,,81881370.0,ns,1729
bench_trivial_query,sqlx_query_from_row,10,,,90779354.0,ns,1748
bench_trivial_query,sqlx_query_from_row,10,,,92231248.0,ns,1767
bench_trivial_query,sqlx_query_from_row,10,,,87704752.0,ns,1786
bench_trivial_query,sqlx_query_from_row,10,,,88393397.0,ns,1805
bench_trivial_query,sqlx_query_from_row,10,,,87171317.0,ns,1824
bench_trivial_query,sqlx_query_from_row,10,,,86458670.0,ns,1843
bench_trivial_query,sqlx_query_from_row,10,,,87510339.0,ns,1862
bench_trivial_query,sqlx_query_from_row,10,,,90283821.0,ns,1881
bench_trivial_query,sqlx_query_from_row,10,,,100208870.0,ns,1900
