group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,1,,,1252925.0,ns,17
bench_trivial_query,diesel,1,,,2211443.0,ns,34
bench_trivial_query,diesel,1,,,3131662.0,ns,51
bench_trivial_query,diesel,1,,,4376585.0,ns,68
bench_trivial_query,diesel,1,,,5028099.0,ns,85
bench_trivial_query,diesel,1,,,6311624.0,ns,102
bench_trivial_query,diesel,1,,,7614249.0,ns,119
bench_trivial_query,diesel,1,,,8333063.0,ns,136
bench_trivial_query,diesel,1,,,9404384.0,ns,153
bench_trivial_query,diesel,1,,,10699709.0,ns,170
bench_trivial_query,diesel,1,,,10449504.0,ns,187
bench_trivial_query,diesel,1,,,12375341.0,ns,204
bench_trivial_query,diesel,1,,,13580365.0,ns,221
bench_trivial_query,diesel,1,,,14294879.0,ns,238
bench_trivial_query,diesel,1,,,15036794.0,ns,255
bench_trivial_query,diesel,1,,,16163816.0,ns,272
bench_trivial_query,diesel,1,,,17875249.0,ns,289
bench_trivial_query,diesel,1,,,18192456.0,ns,306
bench_trivial_query,diesel,1,,,19416979.0,ns,323
bench_trivial_query,diesel,1,,,19432880.0,ns,340
bench_trivial_query,diesel,1,,,21155513.0,ns,357
bench_trivial_query,diesel,1,,,22026031.0,ns,374
bench_trivial_query,diesel,1,,,24459178.0,ns,391
bench_trivial_query,diesel,1,,,24982288.0,ns,408
bench_trivial_query,diesel,1,,,24978589.0,ns,425
bench_trivial_query,diesel,1,,,26554019.0,ns,442
bench_trivial_query,diesel,1,,,28394555.0,ns,459
bench_trivial_query,diesel,1,,,27280834.0,ns,476
bench_trivial_query,diesel,1,,,30333893.0,ns,493
bench_trivial_query,diesel,1,,,31265811.0,ns,510
bench_trivial_query,diesel,1,,,33465354.0,ns,527
bench_trivial_query,diesel,1,,,34840081.0,ns,544
bench_trivial_query,diesel,1,,,35933902.0,ns,561
bench_trivial_query,diesel,1,,,37747537.0,ns,578
bench_trivial_query,diesel,1,,,38384751.0,ns,595
bench_trivial_query,diesel,1,,,38484652.0,ns,612
bench_trivial_query,diesel,1,,,39144765.0,ns,629
