group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,1000,,,1379891.0,ns,4
bench_medium_complex_query,diesel_boxed,1000,,,2691182.0,ns,8
bench_medium_complex_query,diesel_boxed,1000,,,3997973.0,ns,12
bench_medium_complex_query,diesel_boxed,1000,,,5311565.0,ns,16
bench_medium_complex_query,diesel_boxed,1000,,,6589756.0,ns,20
bench_medium_complex_query,diesel_boxed,1000,,,8187345.0,ns,24
bench_medium_complex_query,diesel_boxed,1000,,,9254338.0,ns,28
bench_medium_complex_query,diesel_boxed,1000,,,10534829.0,ns,32
bench_medium_complex_query,diesel_boxed,1000,,,11871820.0,ns,36
bench_medium_complex_query,diesel_boxed,1000,,,13195211.0,ns,40
bench_medium_complex_query,diesel_boxed,1000,,,14462902.0,ns,44
bench_medium_complex_query,diesel_boxed,1000,,,15751194.0,ns,48
bench_medium_complex_query,diesel_boxed,1000,,,17077285.0,ns,52
bench_medium_complex_query,diesel_boxed,1000,,,18347776.0,ns,56
bench_medium_complex_query,diesel_boxed,1000,,,19883566.0,ns,60
bench_medium_complex_query,diesel_boxed,1000,,,20968958.0,ns,64
bench_medium_complex_query,diesel_boxed,1000,,,22390648.0,ns,68
bench_medium_complex_query,diesel_boxed,1000,,,23566941.0,ns,72
bench_medium_complex_query,diesel_boxed,1000,,,24941832.0,ns,76
bench_medium_complex_query,diesel_boxed,1000,,,26205223.0,ns,80
bench_medium_complex_query,diesel_boxed,1000,,,27579513.0,ns,84
bench_medium_complex_query,diesel_boxed,1000,,,28820405.0,ns,88
bench_medium_complex_query,diesel_boxed,1000,,,30188196.0,ns,92
bench_medium_complex_query,diesel_boxed,1000,,,31552687.0,ns,96
bench_medium_complex_query,diesel_boxed,1000,,,32915278.0,ns,100
bench_medium_complex_query,diesel_boxed,1000,,,34513867.0,ns,104
bench_medium_complex_query,diesel_boxed,1000,,,35473161.0,ns,108
bench_medium_complex_query,diesel_boxed,1000,,,36644753.0,ns,112
bench_medium_complex_query,diesel_boxed,1000,,,38086243.0,ns,116
bench_medium_complex_query,diesel_boxed,1000,,,39381934.0,ns,120
bench_medium_complex_query,diesel_boxed,1000,,,40623726.0,ns,124
bench_medium_complex_query,diesel_boxed,1000,,,42559013.0,ns,128
bench_medium_complex_query,diesel_boxed,1000,,,43466407.0,ns,132
bench_medium_complex_query,diesel_boxed,1000,,,44758798.0,ns,136
bench_medium_complex_query,diesel_boxed,1000,,,45996090.0,ns,140
bench_medium_complex_query,diesel_boxed,1000,,,47186281.0,ns,144
bench_medium_complex_query,diesel_boxed,1000,,,48347674.0,ns,148
bench_medium_complex_query,diesel_boxed,1000,,,49836164.0,ns,152
bench_medium_complex_query,diesel_boxed,1000,,,51115655.0,ns,156
bench_medium_complex_query,diesel_boxed,1000,,,52356046.0,ns,160
bench_medium_complex_query,diesel_boxed,1000,,,53888836.0,ns,164
bench_medium_complex_query,diesel_boxed,1000,,,55081228.0,ns,168
bench_medium_complex_query,diesel_boxed,1000,,,56232421.0,ns,172
bench_medium_complex_query,diesel_boxed,1000,,,57937609.0,ns,176
bench_medium_complex_query,diesel_boxed,1000,,,59256900.0,ns,180
bench_medium_complex_query,diesel_boxed,1000,,,60082406.0,ns,184
bench_medium_complex_query,diesel_boxed,1000,,,61463747.0,ns,188
bench_medium_complex_query,diesel_boxed,1000,,,62763543.0,ns,192
bench_medium_complex_query,diesel_boxed,1000,,,64062440.0,ns,196
bench_medium_complex_query,diesel_boxed,1000,,,66096535.0,ns,200
bench_medium_complex_query,diesel_boxed,1000,,,67407531.0,ns,204
bench_medium_complex_query,diesel_boxed,1000,,,68269430.0,ns,208
bench_medium_complex_query,diesel_boxed,1000,,,69596626.0,ns,212
bench_medium_complex_query,diesel_boxed,1000,,,70918823.0,ns,216
bench_medium_complex_query,diesel_boxed,1000,,,72231520.0,ns,220
bench_medium_complex_query,diesel_boxed,1000,,,73335817.0,ns,224
bench_medium_complex_query,diesel_boxed,1000,,,75536711.0,ns,228
bench_medium_complex_query,diesel_boxed,1000,,,76332509.0,ns,232
bench_medium_complex_query,diesel_boxed,1000,,,77668606.0,ns,236
bench_medium_complex_query,diesel_boxed,1000,,,78572704.0,ns,240
bench_medium_complex_query,diesel_boxed,1000,,,80300199.0,ns,244
bench_medium_complex_query,diesel_boxed,1000,,,81143598.0,ns,248
bench_medium_complex_query,diesel_boxed,1000,,,83048992.0,ns,252
bench_medium_complex_query,diesel_boxed,1000,,,84625989.0,ns,256
bench_medium_complex_query,diesel_boxed,1000,,,85676886.0,ns,260
bench_medium_complex_query,diesel_boxed,1000,,,86486884.0,ns,264
bench_medium_complex_query,diesel_boxed,1000,,,87913481.0,ns,268
bench_medium_complex_query,diesel_boxed,1000,,,88841978.0,ns,272
bench_medium_complex_query,diesel_boxed,1000,,,90417874.0,ns,276
bench_medium_complex_query,diesel_boxed,1000,,,91507971.0,ns,280
bench_medium_complex_query,diesel_boxed,1000,,,94050065.0,ns,284
bench_medium_complex_query,diesel_boxed,1000,,,94708063.0,ns,288
bench_medium_complex_query,diesel_boxed,1000,,,95719661.0,ns,292
bench_medium_complex_query,diesel_boxed,1000,,,96887758.0,ns,296
bench_medium_complex_query,diesel_boxed,1000,,,99582551.0,ns,300
bench_medium_complex_query,diesel_boxed,1000,,,99305952.0,ns,304
bench_medium_complex_query,diesel_boxed,1000,,,101091747.0,ns,308
bench_medium_complex_query,diesel_boxed,1000,,,102430244.0,ns,312
bench_medium_complex_query,diesel_boxed,1000,,,104352439.0,ns,316
bench_medium_complex_query,diesel_boxed,1000,,,104820838.0,ns,320
bench_medium_complex_query,diesel_boxed,1000,,,106873133.0,ns,324
bench_medium_complex_query,diesel_boxed,1000,,,107924431.0,ns,328
bench_medium_complex_query,diesel_boxed,1000,,,109985725.0,ns,332
bench_medium_complex_query,diesel_boxed,1000,,,110120325.0,ns,336
bench_medium_complex_query,diesel_boxed,1000,,,111301122.0,ns,340
bench_medium_complex_query,diesel_boxed,1000,,,112690119.0,ns,344
bench_medium_complex_query,diesel_boxed,1000,,,114174514.0,ns,348
bench_medium_complex_query,diesel_boxed,1000,,,115376212.0,ns,352
bench_medium_complex_query,diesel_boxed,1000,,,116472809.0,ns,356
bench_medium_complex_query,diesel_boxed,1000,,,117789306.0,ns,360
bench_medium_complex_query,diesel_boxed,1000,,,119071103.0,ns,364
bench_medium_complex_query,diesel_boxed,1000,,,121140497.0,ns,368
bench_medium_complex_query,diesel_boxed,1000,,,122034095.0,ns,372
bench_medium_complex_query,diesel_boxed,1000,,,124011990.0,ns,376
bench_medium_complex_query,diesel_boxed,1000,,,124565289.0,ns,380
bench_medium_complex_query,diesel_boxed,1000,,,125746585.0,ns,384
bench_medium_complex_query,diesel_boxed,1000,,,127464482.0,ns,388
bench_medium_complex_query,diesel_boxed,1000,,,128465179.0,ns,392
bench_medium_complex_query,diesel_boxed,1000,,,129670776.0,ns,396
bench_medium_complex_query,diesel_boxed,1000,,,131215373.0,ns,400
