group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,50,,,1020214.0,ns,42
bench_insert,rusqlite,50,,,1962226.0,ns,84
bench_insert,rusqlite,50,,,2918639.0,ns,126
bench_insert,rusqlite,50,,,3873351.0,ns,168
bench_insert,rusqlite,50,,,4805364.0,ns,210
bench_insert,rusqlite,50,,,5792977.0,ns,252
bench_insert,rusqlite,50,,,6712389.0,ns,294
bench_insert,rusqlite,50,,,7682203.0,ns,336
bench_insert,rusqlite,50,,,8709417.0,ns,378
bench_insert,rusqlite,50,,,9568228.0,ns,420
bench_insert,rusqlite,50,,,10544341.0,ns,462
bench_insert,rusqlite,50,,,11546754.0,ns,504
bench_insert,rusqlite,50,,,12498567.0,ns,546
bench_insert,rusqlite,50,,,13442680.0,ns,588
bench_insert,rusqlite,50,,,14421492.0,ns,630
bench_insert,rusqlite,50,,,15384506.0,ns,672
bench_insert,rusqlite,50,,,16362119.0,ns,714
bench_insert,rusqlite,50,,,17242631.0,ns,756
bench_insert,rusqlite,50,,,18252044.0,ns,798
bench_insert,rusqlite,50,,,19178756.0,ns,840
bench_insert,rusqlite,50,,,20172870.0,ns,882
bench_insert,rusqlite,50,,,21138182.0,ns,924
bench_insert,rusqlite,50,,,22073995.0,ns,966
bench_insert,rusqlite,50,,,23065509.0,ns,1008
bench_insert,rusqlite,50,,,23989420.0,ns,1050
bench_insert,rusqlite,50,,,25018835.0,ns,1092
bench_insert,rusqlite,50,,,26039048.0,ns,1134
bench_insert,rusqlite,50,,,26960761.0,ns,1176
bench_insert,rusqlite,50,,,27827572.0,ns,1218
bench_insert,rusqlite,50,,,28825585.0,ns,1260
bench_insert,rusqlite,50,,,29770498.0,ns,1302
bench_insert,rusqlite,50,,,30840613.0,ns,1344
bench_insert,rusqlite,50,,,31836225.0,ns,1386
bench_insert,rusqlite,50,,,32842939.0,ns,1428
bench_insert,rusqlite,50,,,33687450.0,ns,1470
bench_insert,rusqlite,50,,,34558363.0,ns,1512
bench_insert,rusqlite,50,,,35613676.0,ns,1554
bench_insert,rusqlite,50,,,36471488.0,ns,1596
bench_insert,rusqlite,50,,,37466601.0,ns,1638
bench_insert,rusqlite,50,,,38511615.0,ns,1680
bench_insert,rusqlite,50,,,39393827.0,ns,1722
bench_insert,rusqlite,50,,,40445641.0,ns,1764
bench_insert,rusqlite,50,,,41533755.0,ns,1806
bench_insert,rusqlite,50,,,42315266.0,ns,1848
bench_insert,rusqlite,50,,,43382380.0,ns,1890
bench_insert,rusqlite,50,,,44354093.0,ns,1932
bench_insert,rusqlite,50,,,45414008.0,ns,1974
bench_insert,rusqlite,50,,,46447821.0,ns,2016
bench_insert,rusqlite,50,,,46974229.0,ns,2058
bench_insert,rusqlite,50,,,48292545.0,ns,2100
bench_insert,rusqlite,50,,,49022755.0,ns,2142
bench_insert,rusqlite,50,,,50216371.0,ns,2184
bench_insert,rusqlite,50,,,51150583.0,ns,2226
bench_insert,rusqlite,50,,,52204098.0,ns,2268
bench_insert,rusqlite,50,,,52961408.0,ns,2310
bench_insert,rusqlite,50,,,53879121.0,ns,2352
bench_insert,rusqlite,50,,,54876634.0,ns,2394
bench_insert,rusqlite,50,,,55853347.0,ns,2436
bench_insert,rusqlite,50,,,57070764.0,ns,2478
bench_insert,rusqlite,50,,,57996875.0,ns,2520
bench_insert,rusqlite,50,,,58829787.0,ns,2562
bench_insert,rusqlite,50,,,60005702.0,ns,2604
bench_insert,rusqlite,50,,,61006615.0,ns,2646
bench_insert,rusqlite,50,,,61764426.0,ns,2688
bench_insert,rusqlite,50,,,62725538.0,ns,2730
bench_insert,rusqlite,50,,,63740052.0,ns,2772
bench_insert,rusqlite,50,,,64862568.0,ns,2814
bench_insert,rusqlite,50,,,65555377.0,ns,2856
bench_insert,rusqlite,50,,,66700692.0,ns,2898
bench_insert,rusqlite,50,,,67763106.0,ns,2940
bench_insert,rusqlite,50,,,69091523.0,ns,2982
bench_insert,rusqlite,50,,,69864234.0,ns,3024
bench_insert,rusqlite,50,,,70673645.0,ns,3066
bench_insert,rusqlite,50,,,71671759.0,ns,3108
bench_insert,rusqlite,50,,,72589071.0,ns,3150
bench_insert,rusqlite,50,,,73441482.0,ns,3192
bench_insert,rusqlite,50,,,74670998.0,ns,3234
bench_insert,rusqlite,50,,,75852515.0,ns,3276
bench_insert,rusqlite,50,,,76525223.0,ns,3318
bench_insert,rusqlite,50,,,77528236.0,ns,3360
bench_insert,rusqlite,50,,,78916755.0,ns,3402
bench_insert,rusqlite,50,,,79603664.0,ns,3444
bench_insert,rusqlite,50,,,80509176.0,ns,3486
bench_insert,rusqlite,50,,,81477589.0,ns,3528
bench_insert,rusqlite,50,,,82918909.0,ns,3570
bench_insert,rusqlite,50,,,83280713.0,ns,3612
bench_insert,rusqlite,50,,,84386828.0,ns,3654
bench_insert,rusqlite,50,,,85238140.0,ns,3696
bench_insert,rusqlite,50,,,86006350.0,ns,3738
bench_insert,rusqlite,50,,,87435069.0,ns,3780
bench_insert,rusqlite,50,,,87825974.0,ns,3822
bench_insert,rusqlite,50,,,89047291.0,ns,3864
bench_insert,rusqlite,50,,,90068204.0,ns,3906
bench_insert,rusqlite,50,,,91226120.0,ns,3948
bench_insert,rusqlite,50,,,92198633.0,ns,3990
bench_insert,rusqlite,50,,,93191846.0,ns,4032
bench_insert,rusqlite,50,,,93951156.0,ns,4074
bench_insert,rusqlite,50,,,95062371.0,ns,4116
bench_insert,rusqlite,50,,,96056584.0,ns,4158
bench_insert,rusqlite,50,,,96900896.0,ns,4200
