group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,897215.0,ns,120
bench_medium_complex_query,diesel,10,,,1723530.0,ns,240
bench_medium_complex_query,diesel,10,,,3031552.0,ns,360
bench_medium_complex_query,diesel,10,,,6091304.0,ns,480
bench_medium_complex_query,diesel,10,,,4749381.0,ns,600
bench_medium_complex_query,diesel,10,,,5037385.0,ns,720
bench_medium_complex_query,diesel,10,,,7486428.0,ns,840
bench_medium_complex_query,diesel,10,,,9220857.0,ns,960
bench_medium_complex_query,diesel,10,,,9649365.0,ns,1080
bench_medium_complex_query,diesel,10,,,10681481.0,ns,1200
bench_medium_complex_query,diesel,10,,,11004987.0,ns,1320
bench_medium_complex_query,diesel,10,,,12574114.0,ns,1440
bench_medium_complex_query,diesel,10,,,12240009.0,ns,1560
bench_medium_complex_query,diesel,10,,,13410128.0,ns,1680
bench_medium_complex_query,diesel,10,,,14555947.0,ns,1800
bench_medium_complex_query,diesel,10,,,17892104.0,ns,1920
bench_medium_complex_query,diesel,10,,,18328212.0,ns,2040
bench_medium_complex_query,diesel,10,,,18076408.0,ns,2160
bench_medium_complex_query,diesel,10,,,17579899.0,ns,2280
bench_medium_complex_query,diesel,10,,,18718218.0,ns,2400
bench_medium_complex_query,diesel,10,,,19769337.0,ns,2520
bench_medium_complex_query,diesel,10,,,19953439.0,ns,2640
bench_medium_complex_query,diesel,10,,,21537267.0,ns,2760
bench_medium_complex_query,diesel,10,,,22384981.0,ns,2880
bench_medium_complex_query,diesel,10,,,22654085.0,ns,3000
bench_medium_complex_query,diesel,10,,,24177711.0,ns,3120
bench_medium_complex_query,diesel,10,,,25711537.0,ns,3240
bench_medium_complex_query,diesel,10,,,26566852.0,ns,3360
bench_medium_complex_query,diesel,10,,,28894592.0,ns,3480
bench_medium_complex_query,diesel,10,,,28337582.0,ns,3600
bench_medium_complex_query,diesel,10,,,31422835.0,ns,3720
bench_medium_complex_query,diesel,10,,,31438635.0,ns,3840
bench_medium_complex_query,diesel,10,,,31847142.0,ns,3960
bench_medium_complex_query,diesel,10,,,32062445.0,ns,4080
bench_medium_complex_query,diesel,10,,,35387403.0,ns,4200
bench_medium_complex_query,diesel,10,,,36175315.0,ns,4320
bench_medium_complex_query,diesel,10,,,36044113.0,ns,4440
bench_medium_complex_query,diesel,10,,,36237117.0,ns,4560
bench_medium_complex_query,diesel,10,,,37838543.0,ns,4680
bench_medium_complex_query,diesel,10,,,38489255.0,ns,4800
bench_medium_complex_query,diesel,10,,,41695610.0,ns,4920
bench_medium_complex_query,diesel,10,,,42239219.0,ns,5040
bench_medium_complex_query,diesel,10,,,42391122.0,ns,5160
bench_medium_complex_query,diesel,10,,,39900179.0,ns,5280
bench_medium_complex_query,diesel,10,,,40619691.0,ns,5400
