group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_id,10000,,,51583670.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51528869.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51793173.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52262380.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52758087.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51977775.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51966275.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50925160.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51087362.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52061877.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51215664.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52100477.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52397582.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50523054.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,53507498.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52471282.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52341581.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51102662.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51730672.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51625570.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51230364.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51628271.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52158778.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51452368.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52050776.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51789573.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51369767.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51361965.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51330164.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51406666.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52015875.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52187177.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50511853.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51273264.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51667270.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52157077.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51613769.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50810458.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51929174.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51169062.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51538868.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51133762.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51160862.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50817157.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50939959.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51486467.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52138177.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51608670.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51958674.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51221264.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52087276.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51485367.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52620084.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,52095676.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51013060.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,50706355.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51205163.0,ns,8
bench_trivial_query,postgres_by_id,10000,,,51550069.0,ns,8
