group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,10000,,,55395330.0,ns,6
bench_trivial_query,diesel,10000,,,54426722.0,ns,6
bench_trivial_query,diesel,10000,,,54257920.0,ns,6
bench_trivial_query,diesel,10000,,,54319921.0,ns,6
bench_trivial_query,diesel,10000,,,54400121.0,ns,6
bench_trivial_query,diesel,10000,,,54460422.0,ns,6
bench_trivial_query,diesel,10000,,,54493422.0,ns,6
bench_trivial_query,diesel,10000,,,54077919.0,ns,6
bench_trivial_query,diesel,10000,,,54388521.0,ns,6
bench_trivial_query,diesel,10000,,,54122619.0,ns,6
bench_trivial_query,diesel,10000,,,54273820.0,ns,6
bench_trivial_query,diesel,10000,,,54558423.0,ns,6
bench_trivial_query,diesel,10000,,,55633031.0,ns,6
bench_trivial_query,diesel,10000,,,54601923.0,ns,6
bench_trivial_query,diesel,10000,,,54476322.0,ns,6
bench_trivial_query,diesel,10000,,,54669224.0,ns,6
bench_trivial_query,diesel,10000,,,54155020.0,ns,6
bench_trivial_query,diesel,10000,,,54256920.0,ns,6
bench_trivial_query,diesel,10000,,,54332421.0,ns,6
bench_trivial_query,diesel,10000,,,54802225.0,ns,6
bench_trivial_query,diesel,10000,,,54790225.0,ns,6
bench_trivial_query,diesel,10000,,,54930125.0,ns,6
bench_trivial_query,diesel,10000,,,54318321.0,ns,6
bench_trivial_query,diesel,10000,,,54291221.0,ns,6
bench_trivial_query,diesel,10000,,,54371021.0,ns,6
bench_trivial_query,diesel,10000,,,54166919.0,ns,6
bench_trivial_query,diesel,10000,,,54130519.0,ns,6
bench_trivial_query,diesel,10000,,,54434522.0,ns,6
bench_trivial_query,diesel,10000,,,54281021.0,ns,6
bench_trivial_query,diesel,10000,,,54340721.0,ns,6
bench_trivial_query,diesel,10000,,,54149920.0,ns,6
bench_trivial_query,diesel,10000,,,54187920.0,ns,6
bench_trivial_query,diesel,10000,,,53979318.0,ns,6
bench_trivial_query,diesel,10000,,,55906134.0,ns,6
bench_trivial_query,diesel,10000,,,54302521.0,ns,6
bench_trivial_query,diesel,10000,,,54406821.0,ns,6
bench_trivial_query,diesel,10000,,,54172719.0,ns,6
bench_trivial_query,diesel,10000,,,54569123.0,ns,6
bench_trivial_query,diesel,10000,,,54377121.0,ns,6
bench_trivial_query,diesel,10000,,,54301621.0,ns,6
bench_trivial_query,diesel,10000,,,53977819.0,ns,6
bench_trivial_query,diesel,10000,,,54205320.0,ns,6
bench_trivial_query,diesel,10000,,,54042819.0,ns,6
bench_trivial_query,diesel,10000,,,54238621.0,ns,6
bench_trivial_query,diesel,10000,,,54196220.0,ns,6
bench_trivial_query,diesel,10000,,,54542722.0,ns,6
bench_trivial_query,diesel,10000,,,54750524.0,ns,6
bench_trivial_query,diesel,10000,,,54209120.0,ns,6
bench_trivial_query,diesel,10000,,,54230621.0,ns,6
bench_trivial_query,diesel,10000,,,54536023.0,ns,6
bench_trivial_query,diesel,10000,,,54607923.0,ns,6
bench_trivial_query,diesel,10000,,,54248020.0,ns,6
bench_trivial_query,diesel,10000,,,55527531.0,ns,6
