group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,10000,,,51351414.0,ns,2
bench_trivial_query,sea-orm,10000,,,51218513.0,ns,2
bench_trivial_query,sea-orm,10000,,,51082812.0,ns,2
bench_trivial_query,sea-orm,10000,,,51563216.0,ns,2
bench_trivial_query,sea-orm,10000,,,51351713.0,ns,2
bench_trivial_query,sea-orm,10000,,,51681810.0,ns,2
bench_trivial_query,sea-orm,10000,,,51267507.0,ns,2
bench_trivial_query,sea-orm,10000,,,51485608.0,ns,2
bench_trivial_query,sea-orm,10000,,,51332307.0,ns,2
bench_trivial_query,sea-orm,10000,,,51172806.0,ns,2
bench_trivial_query,sea-orm,10000,,,51499909.0,ns,2
bench_trivial_query,sea-orm,10000,,,51530009.0,ns,2
bench_trivial_query,sea-orm,10000,,,50996805.0,ns,2
bench_trivial_query,sea-orm,10000,,,51359007.0,ns,2
bench_trivial_query,sea-orm,10000,,,51745610.0,ns,2
bench_trivial_query,sea-orm,10000,,,51424408.0,ns,2
bench_trivial_query,sea-orm,10000,,,51687409.0,ns,2
bench_trivial_query,sea-orm,10000,,,51356107.0,ns,2
bench_trivial_query,sea-orm,10000,,,51303607.0,ns,2
bench_trivial_query,sea-orm,10000,,,50876504.0,ns,2
bench_trivial_query,sea-orm,10000,,,51082905.0,ns,2
bench_trivial_query,sea-orm,10000,,,51367007.0,ns,2
bench_trivial_query,sea-orm,10000,,,51260806.0,ns,2
bench_trivial_query,sea-orm,10000,,,51515008.0,ns,2
bench_trivial_query,sea-orm,10000,,,52001412.0,ns,2
bench_trivial_query,sea-orm,10000,,,51660009.0,ns,2
bench_trivial_query,sea-orm,10000,,,94804252.0,ns,2
bench_trivial_query,sea-orm,10000,,,52395616.0,ns,2
bench_trivial_query,sea-orm,10000,,,51805211.0,ns,2
bench_trivial_query,sea-orm,10000,,,51471608.0,ns,2
bench_trivial_query,sea-orm,10000,,,51402708.0,ns,2
bench_trivial_query,sea-orm,10000,,,51275809.0,ns,2
bench_trivial_query,sea-orm,10000,,,51024207.0,ns,2
bench_trivial_query,sea-orm,10000,,,51747113.0,ns,2
bench_trivial_query,sea-orm,10000,,,51761213.0,ns,2
bench_trivial_query,sea-orm,10000,,,51292109.0,ns,2
bench_trivial_query,sea-orm,10000,,,93273944.0,ns,2
bench_trivial_query,sea-orm,10000,,,56740153.0,ns,2
bench_trivial_query,sea-orm,10000,,,51944514.0,ns,2
bench_trivial_query,sea-orm,10000,,,51420910.0,ns,2
bench_trivial_query,sea-orm,10000,,,51241108.0,ns,2
bench_trivial_query,sea-orm,10000,,,50896906.0,ns,2
bench_trivial_query,sea-orm,10000,,,51602412.0,ns,2
bench_trivial_query,sea-orm,10000,,,94899657.0,ns,2
bench_trivial_query,sea-orm,10000,,,51296209.0,ns,2
bench_trivial_query,sea-orm,10000,,,51509910.0,ns,2
bench_trivial_query,sea-orm,10000,,,51227608.0,ns,2
bench_trivial_query,sea-orm,10000,,,51841013.0,ns,2
bench_trivial_query,sea-orm,10000,,,52073015.0,ns,2
bench_trivial_query,sea-orm,10000,,,51920814.0,ns,2
bench_trivial_query,sea-orm,10000,,,51330409.0,ns,2
bench_trivial_query,sea-orm,10000,,,51745813.0,ns,2
bench_trivial_query,sea-orm,10000,,,50863306.0,ns,2
bench_trivial_query,sea-orm,10000,,,51574711.0,ns,2
bench_trivial_query,sea-orm,10000,,,51319309.0,ns,2
bench_trivial_query,sea-orm,10000,,,51110208.0,ns,2
bench_trivial_query,sea-orm,10000,,,51100308.0,ns,2
bench_trivial_query,sea-orm,10000,,,53786629.0,ns,2
bench_trivial_query,sea-orm,10000,,,51716216.0,ns,2
bench_trivial_query,sea-orm,10000,,,51520414.0,ns,2
bench_trivial_query,sea-orm,10000,,,51803416.0,ns,2
bench_trivial_query,sea-orm,10000,,,51351212.0,ns,2
bench_trivial_query,sea-orm,10000,,,51375612.0,ns,2
bench_trivial_query,sea-orm,10000,,,51473813.0,ns,2
bench_trivial_query,sea-orm,10000,,,51525214.0,ns,2
bench_trivial_query,sea-orm,10000,,,51300412.0,ns,2
bench_trivial_query,sea-orm,10000,,,52179519.0,ns,2
bench_trivial_query,sea-orm,10000,,,52295520.0,ns,2
bench_trivial_query,sea-orm,10000,,,51393913.0,ns,2
bench_trivial_query,sea-orm,10000,,,51205711.0,ns,2
bench_trivial_query,sea-orm,10000,,,52758324.0,ns,2
bench_trivial_query,sea-orm,10000,,,51501814.0,ns,2
bench_trivial_query,sea-orm,10000,,,51341513.0,ns,2
bench_trivial_query,sea-orm,10000,,,51248912.0,ns,2
bench_trivial_query,sea-orm,10000,,,51521414.0,ns,2
bench_trivial_query,sea-orm,10000,,,51885116.0,ns,2
bench_trivial_query,sea-orm,10000,,,52161619.0,ns,2
bench_trivial_query,sea-orm,10000,,,51656115.0,ns,2
bench_trivial_query,sea-orm,10000,,,51712915.0,ns,2
bench_trivial_query,sea-orm,10000,,,56057151.0,ns,2
bench_trivial_query,sea-orm,10000,,,93619052.0,ns,2
bench_trivial_query,sea-orm,10000,,,51821116.0,ns,2
bench_trivial_query,sea-orm,10000,,,51620215.0,ns,2
bench_trivial_query,sea-orm,10000,,,54062734.0,ns,2
bench_trivial_query,sea-orm,10000,,,51291199.0,ns,2
bench_trivial_query,sea-orm,10000,,,51254099.0,ns,2
bench_trivial_query,sea-orm,10000,,,51119998.0,ns,2
bench_trivial_query,sea-orm,10000,,,96285450.0,ns,2
bench_trivial_query,sea-orm,10000,,,51745203.0,ns,2
bench_trivial_query,sea-orm,10000,,,51227899.0,ns,2
bench_trivial_query,sea-orm,10000,,,52066305.0,ns,2
bench_trivial_query,sea-orm,10000,,,51517501.0,ns,2
bench_trivial_query,sea-orm,10000,,,51527301.0,ns,2
bench_trivial_query,sea-orm,10000,,,54638826.0,ns,2
bench_trivial_query,sea-orm,10000,,,94779638.0,ns,2
bench_trivial_query,sea-orm,10000,,,94891639.0,ns,2
bench_trivial_query,sea-orm,10000,,,93813931.0,ns,2
bench_trivial_query,sea-orm,10000,,,51819904.0,ns,2
bench_trivial_query,sea-orm,10000,,,51498901.0,ns,2
bench_trivial_query,sea-orm,10000,,,51711203.0,ns,2
