group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,1,,,932694.0,ns,33
bench_medium_complex_query,sqlx_query_from_row,1,,,1816488.0,ns,66
bench_medium_complex_query,sqlx_query_from_row,1,,,2715783.0,ns,99
bench_medium_complex_query,sqlx_query_from_row,1,,,3535778.0,ns,132
bench_medium_complex_query,sqlx_query_from_row,1,,,4496372.0,ns,165
bench_medium_complex_query,sqlx_query_from_row,1,,,5345965.0,ns,198
bench_medium_complex_query,sqlx_query_from_row,1,,,6248460.0,ns,231
bench_medium_complex_query,sqlx_query_from_row,1,,,7147054.0,ns,264
bench_medium_complex_query,sqlx_query_from_row,1,,,8112249.0,ns,297
bench_medium_complex_query,sqlx_query_from_row,1,,,8883243.0,ns,330
bench_medium_complex_query,sqlx_query_from_row,1,,,9839637.0,ns,363
bench_medium_complex_query,sqlx_query_from_row,1,,,10557432.0,ns,396
bench_medium_complex_query,sqlx_query_from_row,1,,,11442327.0,ns,429
bench_medium_complex_query,sqlx_query_from_row,1,,,12514221.0,ns,462
bench_medium_complex_query,sqlx_query_from_row,1,,,13392815.0,ns,495
bench_medium_complex_query,sqlx_query_from_row,1,,,14307709.0,ns,528
bench_medium_complex_query,sqlx_query_from_row,1,,,15566601.0,ns,561
bench_medium_complex_query,sqlx_query_from_row,1,,,16133097.0,ns,594
bench_medium_complex_query,sqlx_query_from_row,1,,,17197790.0,ns,627
bench_medium_complex_query,sqlx_query_from_row,1,,,18053185.0,ns,660
bench_medium_complex_query,sqlx_query_from_row,1,,,19548276.0,ns,693
bench_medium_complex_query,sqlx_query_from_row,1,,,20788968.0,ns,726
bench_medium_complex_query,sqlx_query_from_row,1,,,21518163.0,ns,759
bench_medium_complex_query,sqlx_query_from_row,1,,,22220659.0,ns,792
bench_medium_complex_query,sqlx_query_from_row,1,,,23316051.0,ns,825
bench_medium_complex_query,sqlx_query_from_row,1,,,24255045.0,ns,858
bench_medium_complex_query,sqlx_query_from_row,1,,,25631237.0,ns,891
bench_medium_complex_query,sqlx_query_from_row,1,,,26024334.0,ns,924
bench_medium_complex_query,sqlx_query_from_row,1,,,26754530.0,ns,957
bench_medium_complex_query,sqlx_query_from_row,1,,,27824423.0,ns,990
bench_medium_complex_query,sqlx_query_from_row,1,,,28871716.0,ns,1023
bench_medium_complex_query,sqlx_query_from_row,1,,,29418013.0,ns,1056
bench_medium_complex_query,sqlx_query_from_row,1,,,30711504.0,ns,1089
bench_medium_complex_query,sqlx_query_from_row,1,,,31690698.0,ns,1122
bench_medium_complex_query,sqlx_query_from_row,1,,,33957683.0,ns,1155
bench_medium_complex_query,sqlx_query_from_row,1,,,34480280.0,ns,1188
bench_medium_complex_query,sqlx_query_from_row,1,,,30852703.0,ns,1221
bench_medium_complex_query,sqlx_query_from_row,1,,,37507461.0,ns,1254
bench_medium_complex_query,sqlx_query_from_row,1,,,38355056.0,ns,1287
bench_medium_complex_query,sqlx_query_from_row,1,,,39260050.0,ns,1320
bench_medium_complex_query,sqlx_query_from_row,1,,,38935251.0,ns,1353
bench_medium_complex_query,sqlx_query_from_row,1,,,39858146.0,ns,1386
bench_medium_complex_query,sqlx_query_from_row,1,,,40984739.0,ns,1419
