group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sea-orm,1,,,2131938.0,ns,2
bench_insert,sea-orm,1,,,3685466.0,ns,4
bench_insert,sea-orm,1,,,5551001.0,ns,6
bench_insert,sea-orm,1,,,5241394.0,ns,8
bench_insert,sea-orm,1,,,7214130.0,ns,10
bench_insert,sea-orm,1,,,6369015.0,ns,12
bench_insert,sea-orm,1,,,7865242.0,ns,14
bench_insert,sea-orm,1,,,10083082.0,ns,16
bench_insert,sea-orm,1,,,12409223.0,ns,18
bench_insert,sea-orm,1,,,9974880.0,ns,20
bench_insert,sea-orm,1,,,10960397.0,ns,22
bench_insert,sea-orm,1,,,14557963.0,ns,24
bench_insert,sea-orm,1,,,12197020.0,ns,26
bench_insert,sea-orm,1,,,11321904.0,ns,28
bench_insert,sea-orm,1,,,13645346.0,ns,30
bench_insert,sea-orm,1,,,16016288.0,ns,32
bench_insert,sea-orm,1,,,15851186.0,ns,34
bench_insert,sea-orm,1,,,19100344.0,ns,36
bench_insert,sea-orm,1,,,16868704.0,ns,38
bench_insert,sea-orm,1,,,23750928.0,ns,40
bench_insert,sea-orm,1,,,18766538.0,ns,42
bench_insert,sea-orm,1,,,19830758.0,ns,44
bench_insert,sea-orm,1,,,22171900.0,ns,46
bench_insert,sea-orm,1,,,22380803.0,ns,48
bench_insert,sea-orm,1,,,28099107.0,ns,50
bench_insert,sea-orm,1,,,25595961.0,ns,52
bench_insert,sea-orm,1,,,29771036.0,ns,54
bench_insert,sea-orm,1,,,25906067.0,ns,56
bench_insert,sea-orm,1,,,33181298.0,ns,58
bench_insert,sea-orm,1,,,29771436.0,ns,60
bench_insert,sea-orm,1,,,32363284.0,ns,62
bench_insert,sea-orm,1,,,32124579.0,ns,64
bench_insert,sea-orm,1,,,35197634.0,ns,66
bench_insert,sea-orm,1,,,34468221.0,ns,68
bench_insert,sea-orm,1,,,30161944.0,ns,70
bench_insert,sea-orm,1,,,35158333.0,ns,72
bench_insert,sea-orm,1,,,27321692.0,ns,74
bench_insert,sea-orm,1,,,33084296.0,ns,76
bench_insert,sea-orm,1,,,36680061.0,ns,78
bench_insert,sea-orm,1,,,37522677.0,ns,80
bench_insert,sea-orm,1,,,33926311.0,ns,82
bench_insert,sea-orm,1,,,54473382.0,ns,84
bench_insert,sea-orm,1,,,50459710.0,ns,86
bench_insert,sea-orm,1,,,44959010.0,ns,88
bench_insert,sea-orm,1,,,116193193.0,ns,90
bench_insert,sea-orm,1,,,48040565.0,ns,92
bench_insert,sea-orm,1,,,50990719.0,ns,94
bench_insert,sea-orm,1,,,49826298.0,ns,96
bench_insert,sea-orm,1,,,54267878.0,ns,98
bench_insert,sea-orm,1,,,49711495.0,ns,100
bench_insert,sea-orm,1,,,43294380.0,ns,102
bench_insert,sea-orm,1,,,53797669.0,ns,104
bench_insert,sea-orm,1,,,48839080.0,ns,106
bench_insert,sea-orm,1,,,66560800.0,ns,108
bench_insert,sea-orm,1,,,57197231.0,ns,110
bench_insert,sea-orm,1,,,47095349.0,ns,112
bench_insert,sea-orm,1,,,57442235.0,ns,114
bench_insert,sea-orm,1,,,62224222.0,ns,116
bench_insert,sea-orm,1,,,66544300.0,ns,118
bench_insert,sea-orm,1,,,59335369.0,ns,120
bench_insert,sea-orm,1,,,68092427.0,ns,122
bench_insert,sea-orm,1,,,70502352.0,ns,124
bench_insert,sea-orm,1,,,69195730.0,ns,126
bench_insert,sea-orm,1,,,58184834.0,ns,128
bench_insert,sea-orm,1,,,70696057.0,ns,130
bench_insert,sea-orm,1,,,86087029.0,ns,132
bench_insert,sea-orm,1,,,67210394.0,ns,134
bench_insert,sea-orm,1,,,70955861.0,ns,136
bench_insert,sea-orm,1,,,74177418.0,ns,138
bench_insert,sea-orm,1,,,79817818.0,ns,140
bench_insert,sea-orm,1,,,75198737.0,ns,142
bench_insert,sea-orm,1,,,71423969.0,ns,144
bench_insert,sea-orm,1,,,77607879.0,ns,146
bench_insert,sea-orm,1,,,60631977.0,ns,148
bench_insert,sea-orm,1,,,135226603.0,ns,150
bench_insert,sea-orm,1,,,76977768.0,ns,152
bench_insert,sea-orm,1,,,76093152.0,ns,154
bench_insert,sea-orm,1,,,78022686.0,ns,156
bench_insert,sea-orm,1,,,137149237.0,ns,158
bench_insert,sea-orm,1,,,86467637.0,ns,160
bench_insert,sea-orm,1,,,82890173.0,ns,162
bench_insert,sea-orm,1,,,86660140.0,ns,164
bench_insert,sea-orm,1,,,78729499.0,ns,166
bench_insert,sea-orm,1,,,92361641.0,ns,168
bench_insert,sea-orm,1,,,83359481.0,ns,170
bench_insert,sea-orm,1,,,91096719.0,ns,172
bench_insert,sea-orm,1,,,100451085.0,ns,174
bench_insert,sea-orm,1,,,88619974.0,ns,176
bench_insert,sea-orm,1,,,130268315.0,ns,178
bench_insert,sea-orm,1,,,91090718.0,ns,180
bench_insert,sea-orm,1,,,90353006.0,ns,182
bench_insert,sea-orm,1,,,98542651.0,ns,184
bench_insert,sea-orm,1,,,99704572.0,ns,186
bench_insert,sea-orm,1,,,91521927.0,ns,188
bench_insert,sea-orm,1,,,100383456.0,ns,190
bench_insert,sea-orm,1,,,95958298.0,ns,192
bench_insert,sea-orm,1,,,105143950.0,ns,194
bench_insert,sea-orm,1,,,160232167.0,ns,196
bench_insert,sea-orm,1,,,97382321.0,ns,198
bench_insert,sea-orm,1,,,100774678.0,ns,200
