group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_boxed,1000,,,1252124.0,ns,2
bench_trivial_query,diesel_boxed,1000,,,2247943.0,ns,4
bench_trivial_query,diesel_boxed,1000,,,3200261.0,ns,6
bench_trivial_query,diesel_boxed,1000,,,4254781.0,ns,8
bench_trivial_query,diesel_boxed,1000,,,5276901.0,ns,10
bench_trivial_query,diesel_boxed,1000,,,6228619.0,ns,12
bench_trivial_query,diesel_boxed,1000,,,7173637.0,ns,14
bench_trivial_query,diesel_boxed,1000,,,8236756.0,ns,16
bench_trivial_query,diesel_boxed,1000,,,9186075.0,ns,18
bench_trivial_query,diesel_boxed,1000,,,10153093.0,ns,20
bench_trivial_query,diesel_boxed,1000,,,11121711.0,ns,22
bench_trivial_query,diesel_boxed,1000,,,12446237.0,ns,24
bench_trivial_query,diesel_boxed,1000,,,13161150.0,ns,26
bench_trivial_query,diesel_boxed,1000,,,14309971.0,ns,28
bench_trivial_query,diesel_boxed,1000,,,15553696.0,ns,30
bench_trivial_query,diesel_boxed,1000,,,16344910.0,ns,32
bench_trivial_query,diesel_boxed,1000,,,17275928.0,ns,34
bench_trivial_query,diesel_boxed,1000,,,18111644.0,ns,36
bench_trivial_query,diesel_boxed,1000,,,18992261.0,ns,38
bench_trivial_query,diesel_boxed,1000,,,20098882.0,ns,40
bench_trivial_query,diesel_boxed,1000,,,21272405.0,ns,42
bench_trivial_query,diesel_boxed,1000,,,21942017.0,ns,44
bench_trivial_query,diesel_boxed,1000,,,22929736.0,ns,46
bench_trivial_query,diesel_boxed,1000,,,23930155.0,ns,48
bench_trivial_query,diesel_boxed,1000,,,25147277.0,ns,50
bench_trivial_query,diesel_boxed,1000,,,25929592.0,ns,52
bench_trivial_query,diesel_boxed,1000,,,26874511.0,ns,54
bench_trivial_query,diesel_boxed,1000,,,28190236.0,ns,56
bench_trivial_query,diesel_boxed,1000,,,29046052.0,ns,58
bench_trivial_query,diesel_boxed,1000,,,30525774.0,ns,60
bench_trivial_query,diesel_boxed,1000,,,31540293.0,ns,62
bench_trivial_query,diesel_boxed,1000,,,31794797.0,ns,64
bench_trivial_query,diesel_boxed,1000,,,33012321.0,ns,66
bench_trivial_query,diesel_boxed,1000,,,34125042.0,ns,68
bench_trivial_query,diesel_boxed,1000,,,34973758.0,ns,70
bench_trivial_query,diesel_boxed,1000,,,39286139.0,ns,72
bench_trivial_query,diesel_boxed,1000,,,36737491.0,ns,74
bench_trivial_query,diesel_boxed,1000,,,38042016.0,ns,76
bench_trivial_query,diesel_boxed,1000,,,38942832.0,ns,78
bench_trivial_query,diesel_boxed,1000,,,40085454.0,ns,80
bench_trivial_query,diesel_boxed,1000,,,41244276.0,ns,82
bench_trivial_query,diesel_boxed,1000,,,41825987.0,ns,84
bench_trivial_query,diesel_boxed,1000,,,42632201.0,ns,86
bench_trivial_query,diesel_boxed,1000,,,43976627.0,ns,88
bench_trivial_query,diesel_boxed,1000,,,44788742.0,ns,90
bench_trivial_query,diesel_boxed,1000,,,45787360.0,ns,92
bench_trivial_query,diesel_boxed,1000,,,46599276.0,ns,94
bench_trivial_query,diesel_boxed,1000,,,47685697.0,ns,96
bench_trivial_query,diesel_boxed,1000,,,48655215.0,ns,98
bench_trivial_query,diesel_boxed,1000,,,49789936.0,ns,100
bench_trivial_query,diesel_boxed,1000,,,50520650.0,ns,102
bench_trivial_query,diesel_boxed,1000,,,52018478.0,ns,104
bench_trivial_query,diesel_boxed,1000,,,53016797.0,ns,106
bench_trivial_query,diesel_boxed,1000,,,53741510.0,ns,108
bench_trivial_query,diesel_boxed,1000,,,54736929.0,ns,110
bench_trivial_query,diesel_boxed,1000,,,55629646.0,ns,112
bench_trivial_query,diesel_boxed,1000,,,56816269.0,ns,114
bench_trivial_query,diesel_boxed,1000,,,58254295.0,ns,116
bench_trivial_query,diesel_boxed,1000,,,58892407.0,ns,118
bench_trivial_query,diesel_boxed,1000,,,59708022.0,ns,120
bench_trivial_query,diesel_boxed,1000,,,60580339.0,ns,122
bench_trivial_query,diesel_boxed,1000,,,61671560.0,ns,124
bench_trivial_query,diesel_boxed,1000,,,62785580.0,ns,126
bench_trivial_query,diesel_boxed,1000,,,63437193.0,ns,128
bench_trivial_query,diesel_boxed,1000,,,64251308.0,ns,130
bench_trivial_query,diesel_boxed,1000,,,65750836.0,ns,132
bench_trivial_query,diesel_boxed,1000,,,66620953.0,ns,134
bench_trivial_query,diesel_boxed,1000,,,68966696.0,ns,136
bench_trivial_query,diesel_boxed,1000,,,69208201.0,ns,138
bench_trivial_query,diesel_boxed,1000,,,69643610.0,ns,140
bench_trivial_query,diesel_boxed,1000,,,70542826.0,ns,142
bench_trivial_query,diesel_boxed,1000,,,71877352.0,ns,144
bench_trivial_query,diesel_boxed,1000,,,73135075.0,ns,146
bench_trivial_query,diesel_boxed,1000,,,75719124.0,ns,148
bench_trivial_query,diesel_boxed,1000,,,74477301.0,ns,150
bench_trivial_query,diesel_boxed,1000,,,75250215.0,ns,152
bench_trivial_query,diesel_boxed,1000,,,76566040.0,ns,154
bench_trivial_query,diesel_boxed,1000,,,77509157.0,ns,156
bench_trivial_query,diesel_boxed,1000,,,78681879.0,ns,158
bench_trivial_query,diesel_boxed,1000,,,79523295.0,ns,160
bench_trivial_query,diesel_boxed,1000,,,80247109.0,ns,162
bench_trivial_query,diesel_boxed,1000,,,82233546.0,ns,164
bench_trivial_query,diesel_boxed,1000,,,83242365.0,ns,166
bench_trivial_query,diesel_boxed,1000,,,83378267.0,ns,168
bench_trivial_query,diesel_boxed,1000,,,85264504.0,ns,170
bench_trivial_query,diesel_boxed,1000,,,85483707.0,ns,172
bench_trivial_query,diesel_boxed,1000,,,86414524.0,ns,174
bench_trivial_query,diesel_boxed,1000,,,87848951.0,ns,176
bench_trivial_query,diesel_boxed,1000,,,89021074.0,ns,178
bench_trivial_query,diesel_boxed,1000,,,89875489.0,ns,180
bench_trivial_query,diesel_boxed,1000,,,93369656.0,ns,182
bench_trivial_query,diesel_boxed,1000,,,94543977.0,ns,184
bench_trivial_query,diesel_boxed,1000,,,92444239.0,ns,186
bench_trivial_query,diesel_boxed,1000,,,93669461.0,ns,188
bench_trivial_query,diesel_boxed,1000,,,95090288.0,ns,190
bench_trivial_query,diesel_boxed,1000,,,96236210.0,ns,192
bench_trivial_query,diesel_boxed,1000,,,96771623.0,ns,194
bench_trivial_query,diesel_boxed,1000,,,98585158.0,ns,196
bench_trivial_query,diesel_boxed,1000,,,98771662.0,ns,198
bench_trivial_query,diesel_boxed,1000,,,99431473.0,ns,200
