group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,1,,,909411.0,ns,37
bench_insert,sqlx,1,,,1841223.0,ns,74
bench_insert,sqlx,1,,,2728834.0,ns,111
bench_insert,sqlx,1,,,3636646.0,ns,148
bench_insert,sqlx,1,,,4488956.0,ns,185
bench_insert,sqlx,1,,,5410867.0,ns,222
bench_insert,sqlx,1,,,6362080.0,ns,259
bench_insert,sqlx,1,,,7193190.0,ns,296
bench_insert,sqlx,1,,,8136201.0,ns,333
bench_insert,sqlx,1,,,9088313.0,ns,370
bench_insert,sqlx,1,,,9906323.0,ns,407
bench_insert,sqlx,1,,,10937936.0,ns,444
bench_insert,sqlx,1,,,11833148.0,ns,481
bench_insert,sqlx,1,,,12692358.0,ns,518
bench_insert,sqlx,1,,,13540569.0,ns,555
bench_insert,sqlx,1,,,14613482.0,ns,592
bench_insert,sqlx,1,,,15578794.0,ns,629
bench_insert,sqlx,1,,,16435705.0,ns,666
bench_insert,sqlx,1,,,16962912.0,ns,703
bench_insert,sqlx,1,,,18214727.0,ns,740
bench_insert,sqlx,1,,,19393042.0,ns,777
bench_insert,sqlx,1,,,20366754.0,ns,814
bench_insert,sqlx,1,,,21175864.0,ns,851
bench_insert,sqlx,1,,,22426580.0,ns,888
bench_insert,sqlx,1,,,23944999.0,ns,925
bench_insert,sqlx,1,,,25061413.0,ns,962
bench_insert,sqlx,1,,,25678821.0,ns,999
bench_insert,sqlx,1,,,27286641.0,ns,1036
bench_insert,sqlx,1,,,28418254.0,ns,1073
bench_insert,sqlx,1,,,29399567.0,ns,1110
bench_insert,sqlx,1,,,30331078.0,ns,1147
bench_insert,sqlx,1,,,30959485.0,ns,1184
bench_insert,sqlx,1,,,31925298.0,ns,1221
bench_insert,sqlx,1,,,32826309.0,ns,1258
bench_insert,sqlx,1,,,33994924.0,ns,1295
bench_insert,sqlx,1,,,34713933.0,ns,1332
bench_insert,sqlx,1,,,35691045.0,ns,1369
bench_insert,sqlx,1,,,37143063.0,ns,1406
bench_insert,sqlx,1,,,38626881.0,ns,1443
bench_insert,sqlx,1,,,39904397.0,ns,1480
bench_insert,sqlx,1,,,40077299.0,ns,1517
bench_insert,sqlx,1,,,41008811.0,ns,1554
bench_insert,sqlx,1,,,42126425.0,ns,1591
bench_insert,sqlx,1,,,42987736.0,ns,1628
bench_insert,sqlx,1,,,44159651.0,ns,1665
bench_insert,sqlx,1,,,44509455.0,ns,1702
bench_insert,sqlx,1,,,45763371.0,ns,1739
bench_insert,sqlx,1,,,46492479.0,ns,1776
bench_insert,sqlx,1,,,49047011.0,ns,1813
bench_insert,sqlx,1,,,48756008.0,ns,1850
bench_insert,sqlx,1,,,51144538.0,ns,1887
bench_insert,sqlx,1,,,51810046.0,ns,1924
bench_insert,sqlx,1,,,53096862.0,ns,1961
bench_insert,sqlx,1,,,53938472.0,ns,1998
bench_insert,sqlx,1,,,54033773.0,ns,2035
bench_insert,sqlx,1,,,54547080.0,ns,2072
bench_insert,sqlx,1,,,55824996.0,ns,2109
bench_insert,sqlx,1,,,56245401.0,ns,2146
bench_insert,sqlx,1,,,57539617.0,ns,2183
bench_insert,sqlx,1,,,59301839.0,ns,2220
bench_insert,sqlx,1,,,61668569.0,ns,2257
bench_insert,sqlx,1,,,62849984.0,ns,2294
bench_insert,sqlx,1,,,64603005.0,ns,2331
bench_insert,sqlx,1,,,62776682.0,ns,2368
bench_insert,sqlx,1,,,63554792.0,ns,2405
bench_insert,sqlx,1,,,66027423.0,ns,2442
bench_insert,sqlx,1,,,66750132.0,ns,2479
bench_insert,sqlx,1,,,70445178.0,ns,2516
bench_insert,sqlx,1,,,68584855.0,ns,2553
bench_insert,sqlx,1,,,70067973.0,ns,2590
bench_insert,sqlx,1,,,72258801.0,ns,2627
bench_insert,sqlx,1,,,71401390.0,ns,2664
bench_insert,sqlx,1,,,71076586.0,ns,2701
bench_insert,sqlx,1,,,72663606.0,ns,2738
bench_insert,sqlx,1,,,74519929.0,ns,2775
bench_insert,sqlx,1,,,75798045.0,ns,2812
bench_insert,sqlx,1,,,77671768.0,ns,2849
bench_insert,sqlx,1,,,78758282.0,ns,2886
bench_insert,sqlx,1,,,80221600.0,ns,2923
bench_insert,sqlx,1,,,75920546.0,ns,2960
bench_insert,sqlx,1,,,81407014.0,ns,2997
bench_insert,sqlx,1,,,82710431.0,ns,3034
bench_insert,sqlx,1,,,83975747.0,ns,3071
bench_insert,sqlx,1,,,82762932.0,ns,3108
bench_insert,sqlx,1,,,83040030.0,ns,3145
bench_insert,sqlx,1,,,86189658.0,ns,3182
bench_insert,sqlx,1,,,88265084.0,ns,3219
bench_insert,sqlx,1,,,88742889.0,ns,3256
bench_insert,sqlx,1,,,91586124.0,ns,3293
bench_insert,sqlx,1,,,90603512.0,ns,3330
bench_insert,sqlx,1,,,91235820.0,ns,3367
bench_insert,sqlx,1,,,93175744.0,ns,3404
bench_insert,sqlx,1,,,94344058.0,ns,3441
bench_insert,sqlx,1,,,95313170.0,ns,3478
bench_insert,sqlx,1,,,95219368.0,ns,3515
bench_insert,sqlx,1,,,95634974.0,ns,3552
bench_insert,sqlx,1,,,98704811.0,ns,3589
bench_insert,sqlx,1,,,97991302.0,ns,3626
bench_insert,sqlx,1,,,99723224.0,ns,3663
bench_insert,sqlx,1,,,100057528.0,ns,3700
