group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,100,,,1117213.0,ns,20
bench_insert,rusqlite,100,,,2103123.0,ns,40
bench_insert,rusqlite,100,,,3019934.0,ns,60
bench_insert,rusqlite,100,,,3966845.0,ns,80
bench_insert,rusqlite,100,,,4926055.0,ns,100
bench_insert,rusqlite,100,,,5885566.0,ns,120
bench_insert,rusqlite,100,,,6807276.0,ns,140
bench_insert,rusqlite,100,,,7740387.0,ns,160
bench_insert,rusqlite,100,,,8772498.0,ns,180
bench_insert,rusqlite,100,,,9751109.0,ns,200
bench_insert,rusqlite,100,,,10665920.0,ns,220
bench_insert,rusqlite,100,,,11682231.0,ns,240
bench_insert,rusqlite,100,,,12669042.0,ns,260
bench_insert,rusqlite,100,,,13637353.0,ns,280
bench_insert,rusqlite,100,,,14609365.0,ns,300
bench_insert,rusqlite,100,,,15509774.0,ns,320
bench_insert,rusqlite,100,,,16478885.0,ns,340
bench_insert,rusqlite,100,,,17558997.0,ns,360
bench_insert,rusqlite,100,,,18455807.0,ns,380
bench_insert,rusqlite,100,,,19409818.0,ns,400
bench_insert,rusqlite,100,,,20690733.0,ns,420
bench_insert,rusqlite,100,,,21459541.0,ns,440
bench_insert,rusqlite,100,,,22360451.0,ns,460
bench_insert,rusqlite,100,,,23362363.0,ns,480
bench_insert,rusqlite,100,,,24390374.0,ns,500
bench_insert,rusqlite,100,,,25294984.0,ns,520
bench_insert,rusqlite,100,,,26311095.0,ns,540
bench_insert,rusqlite,100,,,27278106.0,ns,560
bench_insert,rusqlite,100,,,28267918.0,ns,580
bench_insert,rusqlite,100,,,29091027.0,ns,600
bench_insert,rusqlite,100,,,30209539.0,ns,620
bench_insert,rusqlite,100,,,31189450.0,ns,640
bench_insert,rusqlite,100,,,32145161.0,ns,660
bench_insert,rusqlite,100,,,33020171.0,ns,680
bench_insert,rusqlite,100,,,34087683.0,ns,700
bench_insert,rusqlite,100,,,34999894.0,ns,720
bench_insert,rusqlite,100,,,35975105.0,ns,740
bench_insert,rusqlite,100,,,36967416.0,ns,760
bench_insert,rusqlite,100,,,38037827.0,ns,780
bench_insert,rusqlite,100,,,38884637.0,ns,800
bench_insert,rusqlite,100,,,39783547.0,ns,820
bench_insert,rusqlite,100,,,40955760.0,ns,840
bench_insert,rusqlite,100,,,41831970.0,ns,860
bench_insert,rusqlite,100,,,43075684.0,ns,880
bench_insert,rusqlite,100,,,43918293.0,ns,900
bench_insert,rusqlite,100,,,44640802.0,ns,920
bench_insert,rusqlite,100,,,45896515.0,ns,940
bench_insert,rusqlite,100,,,46871326.0,ns,960
bench_insert,rusqlite,100,,,47809937.0,ns,980
bench_insert,rusqlite,100,,,48969551.0,ns,1000
bench_insert,rusqlite,100,,,49900660.0,ns,1020
bench_insert,rusqlite,100,,,51103274.0,ns,1040
bench_insert,rusqlite,100,,,52125086.0,ns,1060
bench_insert,rusqlite,100,,,53064296.0,ns,1080
bench_insert,rusqlite,100,,,53721004.0,ns,1100
bench_insert,rusqlite,100,,,54548512.0,ns,1120
bench_insert,rusqlite,100,,,55656126.0,ns,1140
bench_insert,rusqlite,100,,,56952940.0,ns,1160
bench_insert,rusqlite,100,,,57657548.0,ns,1180
bench_insert,rusqlite,100,,,58639259.0,ns,1200
bench_insert,rusqlite,100,,,59696471.0,ns,1220
bench_insert,rusqlite,100,,,60462379.0,ns,1240
bench_insert,rusqlite,100,,,61690494.0,ns,1260
bench_insert,rusqlite,100,,,62863506.0,ns,1280
bench_insert,rusqlite,100,,,63500614.0,ns,1300
bench_insert,rusqlite,100,,,64785628.0,ns,1320
bench_insert,rusqlite,100,,,65344234.0,ns,1340
bench_insert,rusqlite,100,,,66881252.0,ns,1360
bench_insert,rusqlite,100,,,67655960.0,ns,1380
bench_insert,rusqlite,100,,,68875374.0,ns,1400
bench_insert,rusqlite,100,,,69678582.0,ns,1420
bench_insert,rusqlite,100,,,70863096.0,ns,1440
bench_insert,rusqlite,100,,,71781306.0,ns,1460
bench_insert,rusqlite,100,,,72752917.0,ns,1480
bench_insert,rusqlite,100,,,73443025.0,ns,1500
bench_insert,rusqlite,100,,,74764240.0,ns,1520
bench_insert,rusqlite,100,,,75641150.0,ns,1540
bench_insert,rusqlite,100,,,76453159.0,ns,1560
bench_insert,rusqlite,100,,,77525871.0,ns,1580
bench_insert,rusqlite,100,,,78442582.0,ns,1600
bench_insert,rusqlite,100,,,79310891.0,ns,1620
bench_insert,rusqlite,100,,,80493083.0,ns,1640
bench_insert,rusqlite,100,,,81371378.0,ns,1660
bench_insert,rusqlite,100,,,82683592.0,ns,1680
bench_insert,rusqlite,100,,,83811805.0,ns,1700
bench_insert,rusqlite,100,,,84240609.0,ns,1720
bench_insert,rusqlite,100,,,85434422.0,ns,1740
bench_insert,rusqlite,100,,,86201830.0,ns,1760
bench_insert,rusqlite,100,,,87393843.0,ns,1780
bench_insert,rusqlite,100,,,88487655.0,ns,1800
bench_insert,rusqlite,100,,,89054060.0,ns,1820
bench_insert,rusqlite,100,,,90302974.0,ns,1840
bench_insert,rusqlite,100,,,91360286.0,ns,1860
bench_insert,rusqlite,100,,,92481198.0,ns,1880
bench_insert,rusqlite,100,,,93405808.0,ns,1900
bench_insert,rusqlite,100,,,94062215.0,ns,1920
bench_insert,rusqlite,100,,,95293728.0,ns,1940
bench_insert,rusqlite,100,,,96536841.0,ns,1960
bench_insert,rusqlite,100,,,96815144.0,ns,1980
bench_insert,rusqlite,100,,,97804155.0,ns,2000
