group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rustorm,25,,,56215029.0,ns,21
bench_insert,rustorm,25,,,53561714.0,ns,21
bench_insert,rustorm,25,,,53590414.0,ns,21
bench_insert,rustorm,25,,,56243129.0,ns,21
bench_insert,rustorm,25,,,49934792.0,ns,21
bench_insert,rustorm,25,,,56553531.0,ns,21
bench_insert,rustorm,25,,,53101011.0,ns,21
bench_insert,rustorm,25,,,56558831.0,ns,21
bench_insert,rustorm,25,,,49898892.0,ns,21
bench_insert,rustorm,25,,,49573090.0,ns,21
bench_insert,rustorm,25,,,51447902.0,ns,21
bench_insert,rustorm,25,,,46528072.0,ns,21
bench_insert,rustorm,25,,,49621391.0,ns,21
bench_insert,rustorm,25,,,49912692.0,ns,21
bench_insert,rustorm,25,,,54243518.0,ns,21
bench_insert,rustorm,25,,,43812756.0,ns,21
bench_insert,rustorm,25,,,45420567.0,ns,21
bench_insert,rustorm,25,,,56998934.0,ns,21
bench_insert,rustorm,25,,,55047623.0,ns,21
bench_insert,rustorm,25,,,49002687.0,ns,21
bench_insert,rustorm,25,,,52675709.0,ns,21
bench_insert,rustorm,25,,,48883586.0,ns,21
bench_insert,rustorm,25,,,55674726.0,ns,21
bench_insert,rustorm,25,,,51196500.0,ns,21
bench_insert,rustorm,25,,,47182777.0,ns,21
bench_insert,rustorm,25,,,50512796.0,ns,21
bench_insert,rustorm,25,,,48848686.0,ns,21
bench_insert,rustorm,25,,,57538733.0,ns,21
bench_insert,rustorm,25,,,49378886.0,ns,21
bench_insert,rustorm,25,,,52577405.0,ns,21
bench_insert,rustorm,25,,,46098767.0,ns,21
bench_insert,rustorm,25,,,63464268.0,ns,21
bench_insert,rustorm,25,,,47774577.0,ns,21
bench_insert,rustorm,25,,,43396351.0,ns,21
bench_insert,rustorm,25,,,48979683.0,ns,21
bench_insert,rustorm,25,,,49982490.0,ns,21
bench_insert,rustorm,25,,,49929989.0,ns,21
bench_insert,rustorm,25,,,57120331.0,ns,21
bench_insert,rustorm,25,,,61082054.0,ns,21
bench_insert,rustorm,25,,,57013930.0,ns,21
bench_insert,rustorm,25,,,49917589.0,ns,21
bench_insert,rustorm,25,,,54781918.0,ns,21
bench_insert,rustorm,25,,,53347109.0,ns,21
bench_insert,rustorm,25,,,47842777.0,ns,21
bench_insert,rustorm,25,,,49142884.0,ns,21
bench_insert,rustorm,25,,,52730705.0,ns,21
bench_insert,rustorm,25,,,49431487.0,ns,21
bench_insert,rustorm,25,,,47924778.0,ns,21
bench_insert,rustorm,25,,,49510186.0,ns,21
bench_insert,rustorm,25,,,54349215.0,ns,21
bench_insert,rustorm,25,,,47470275.0,ns,21
bench_insert,rustorm,25,,,49550087.0,ns,21
bench_insert,rustorm,25,,,47951977.0,ns,21
bench_insert,rustorm,25,,,46295268.0,ns,21
bench_insert,rustorm,25,,,50887894.0,ns,21
bench_insert,rustorm,25,,,50143790.0,ns,21
bench_insert,rustorm,25,,,52126902.0,ns,21
bench_insert,rustorm,25,,,45781065.0,ns,21
bench_insert,rustorm,25,,,52511804.0,ns,21
bench_insert,rustorm,25,,,51829101.0,ns,21
bench_insert,rustorm,25,,,43560652.0,ns,21
bench_insert,rustorm,25,,,47082973.0,ns,21
bench_insert,rustorm,25,,,47573075.0,ns,21
bench_insert,rustorm,25,,,54288914.0,ns,21
bench_insert,rustorm,25,,,49600687.0,ns,21
bench_insert,rustorm,25,,,52739905.0,ns,21
bench_insert,rustorm,25,,,58693840.0,ns,21
bench_insert,rustorm,25,,,56638328.0,ns,21
bench_insert,rustorm,25,,,47820977.0,ns,21
bench_insert,rustorm,25,,,52805306.0,ns,21
bench_insert,rustorm,25,,,51099996.0,ns,21
bench_insert,rustorm,25,,,49150685.0,ns,21
bench_insert,rustorm,25,,,48473181.0,ns,21
bench_insert,rustorm,25,,,47967378.0,ns,21
bench_insert,rustorm,25,,,53298409.0,ns,21
bench_insert,rustorm,25,,,55973624.0,ns,21
bench_insert,rustorm,25,,,52304803.0,ns,21
bench_insert,rustorm,25,,,46311568.0,ns,21
bench_insert,rustorm,25,,,55454621.0,ns,21
bench_insert,rustorm,25,,,49941489.0,ns,21
bench_insert,rustorm,25,,,52957007.0,ns,21
bench_insert,rustorm,25,,,52348403.0,ns,21
bench_insert,rustorm,25,,,53090207.0,ns,21
bench_insert,rustorm,25,,,47116973.0,ns,21
bench_insert,rustorm,25,,,48780082.0,ns,21
bench_insert,rustorm,25,,,53755411.0,ns,21
bench_insert,rustorm,25,,,54264014.0,ns,21
bench_insert,rustorm,25,,,50404192.0,ns,21
bench_insert,rustorm,25,,,48779183.0,ns,21
bench_insert,rustorm,25,,,48437280.0,ns,21
bench_insert,rustorm,25,,,45998766.0,ns,21
bench_insert,rustorm,25,,,51986501.0,ns,21
bench_insert,rustorm,25,,,52174202.0,ns,21
bench_insert,rustorm,25,,,46580670.0,ns,21
bench_insert,rustorm,25,,,58911541.0,ns,21
bench_insert,rustorm,25,,,51934000.0,ns,21
bench_insert,rustorm,25,,,54076413.0,ns,21
bench_insert,rustorm,25,,,58730142.0,ns,21
bench_insert,rustorm,25,,,50292616.0,ns,21
bench_insert,rustorm,25,,,50643519.0,ns,21
