group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_boxed,1,,,1233005.0,ns,8
bench_trivial_query,diesel_async_boxed,1,,,2534211.0,ns,16
bench_trivial_query,diesel_async_boxed,1,,,3489214.0,ns,24
bench_trivial_query,diesel_async_boxed,1,,,4310617.0,ns,32
bench_trivial_query,diesel_async_boxed,1,,,9226037.0,ns,40
bench_trivial_query,diesel_async_boxed,1,,,7926031.0,ns,48
bench_trivial_query,diesel_async_boxed,1,,,8469534.0,ns,56
bench_trivial_query,diesel_async_boxed,1,,,7999532.0,ns,64
bench_trivial_query,diesel_async_boxed,1,,,9432037.0,ns,72
bench_trivial_query,diesel_async_boxed,1,,,10540642.0,ns,80
bench_trivial_query,diesel_async_boxed,1,,,10907243.0,ns,88
bench_trivial_query,diesel_async_boxed,1,,,14478158.0,ns,96
bench_trivial_query,diesel_async_boxed,1,,,13373754.0,ns,104
bench_trivial_query,diesel_async_boxed,1,,,14607859.0,ns,112
bench_trivial_query,diesel_async_boxed,1,,,33134932.0,ns,120
bench_trivial_query,diesel_async_boxed,1,,,24486498.0,ns,128
bench_trivial_query,diesel_async_boxed,1,,,16920667.0,ns,136
bench_trivial_query,diesel_async_boxed,1,,,18550174.0,ns,144
bench_trivial_query,diesel_async_boxed,1,,,19591178.0,ns,152
bench_trivial_query,diesel_async_boxed,1,,,23602222.0,ns,160
bench_trivial_query,diesel_async_boxed,1,,,22612921.0,ns,168
bench_trivial_query,diesel_async_boxed,1,,,23331023.0,ns,176
bench_trivial_query,diesel_async_boxed,1,,,29287928.0,ns,184
bench_trivial_query,diesel_async_boxed,1,,,29020227.0,ns,192
bench_trivial_query,diesel_async_boxed,1,,,30879930.0,ns,200
bench_trivial_query,diesel_async_boxed,1,,,30635929.0,ns,208
bench_trivial_query,diesel_async_boxed,1,,,47532546.0,ns,216
bench_trivial_query,diesel_async_boxed,1,,,33168932.0,ns,224
bench_trivial_query,diesel_async_boxed,1,,,36092934.0,ns,232
bench_trivial_query,diesel_async_boxed,1,,,32770031.0,ns,240
bench_trivial_query,diesel_async_boxed,1,,,39901438.0,ns,248
bench_trivial_query,diesel_async_boxed,1,,,48121646.0,ns,256
bench_trivial_query,diesel_async_boxed,1,,,37068935.0,ns,264
bench_trivial_query,diesel_async_boxed,1,,,44021042.0,ns,272
bench_trivial_query,diesel_async_boxed,1,,,37572835.0,ns,280
bench_trivial_query,diesel_async_boxed,1,,,60640457.0,ns,288
bench_trivial_query,diesel_async_boxed,1,,,44912943.0,ns,296
bench_trivial_query,diesel_async_boxed,1,,,43272941.0,ns,304
bench_trivial_query,diesel_async_boxed,1,,,41737140.0,ns,312
bench_trivial_query,diesel_async_boxed,1,,,43001841.0,ns,320
bench_trivial_query,diesel_async_boxed,1,,,46071844.0,ns,328
bench_trivial_query,diesel_async_boxed,1,,,46836044.0,ns,336
bench_trivial_query,diesel_async_boxed,1,,,46431544.0,ns,344
bench_trivial_query,diesel_async_boxed,1,,,49096246.0,ns,352
bench_trivial_query,diesel_async_boxed,1,,,46637644.0,ns,360
bench_trivial_query,diesel_async_boxed,1,,,50930648.0,ns,368
bench_trivial_query,diesel_async_boxed,1,,,62267059.0,ns,376
bench_trivial_query,diesel_async_boxed,1,,,52985950.0,ns,384
bench_trivial_query,diesel_async_boxed,1,,,56544754.0,ns,392
bench_trivial_query,diesel_async_boxed,1,,,66993864.0,ns,400
bench_trivial_query,diesel_async_boxed,1,,,63195460.0,ns,408
bench_trivial_query,diesel_async_boxed,1,,,53569651.0,ns,416
bench_trivial_query,diesel_async_boxed,1,,,56443953.0,ns,424
bench_trivial_query,diesel_async_boxed,1,,,63802860.0,ns,432
bench_trivial_query,diesel_async_boxed,1,,,59715957.0,ns,440
bench_trivial_query,diesel_async_boxed,1,,,72983569.0,ns,448
bench_trivial_query,diesel_async_boxed,1,,,70500479.0,ns,456
bench_trivial_query,diesel_async_boxed,1,,,63803373.0,ns,464
bench_trivial_query,diesel_async_boxed,1,,,63081072.0,ns,472
bench_trivial_query,diesel_async_boxed,1,,,68689278.0,ns,480
bench_trivial_query,diesel_async_boxed,1,,,64744174.0,ns,488
bench_trivial_query,diesel_async_boxed,1,,,75390986.0,ns,496
bench_trivial_query,diesel_async_boxed,1,,,79454990.0,ns,504
bench_trivial_query,diesel_async_boxed,1,,,68328778.0,ns,512
bench_trivial_query,diesel_async_boxed,1,,,74174784.0,ns,520
