group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_boxed,1000,,,1721002.0,ns,2
bench_trivial_query,diesel_boxed,1000,,,2892404.0,ns,4
bench_trivial_query,diesel_boxed,1000,,,4081805.0,ns,6
bench_trivial_query,diesel_boxed,1000,,,7884709.0,ns,8
bench_trivial_query,diesel_boxed,1000,,,12283614.0,ns,10
bench_trivial_query,diesel_boxed,1000,,,8270609.0,ns,12
bench_trivial_query,diesel_boxed,1000,,,11631613.0,ns,14
bench_trivial_query,diesel_boxed,1000,,,12699514.0,ns,16
bench_trivial_query,diesel_boxed,1000,,,14297517.0,ns,18
bench_trivial_query,diesel_boxed,1000,,,15947418.0,ns,20
bench_trivial_query,diesel_boxed,1000,,,15726817.0,ns,22
bench_trivial_query,diesel_boxed,1000,,,28184232.0,ns,24
bench_trivial_query,diesel_boxed,1000,,,18336421.0,ns,26
bench_trivial_query,diesel_boxed,1000,,,34915740.0,ns,28
bench_trivial_query,diesel_boxed,1000,,,22547625.0,ns,30
bench_trivial_query,diesel_boxed,1000,,,21468325.0,ns,32
bench_trivial_query,diesel_boxed,1000,,,23673927.0,ns,34
bench_trivial_query,diesel_boxed,1000,,,24841128.0,ns,36
bench_trivial_query,diesel_boxed,1000,,,23894127.0,ns,38
bench_trivial_query,diesel_boxed,1000,,,27528931.0,ns,40
bench_trivial_query,diesel_boxed,1000,,,28296632.0,ns,42
bench_trivial_query,diesel_boxed,1000,,,31191435.0,ns,44
bench_trivial_query,diesel_boxed,1000,,,40322745.0,ns,46
bench_trivial_query,diesel_boxed,1000,,,33430538.0,ns,48
bench_trivial_query,diesel_boxed,1000,,,36693342.0,ns,50
bench_trivial_query,diesel_boxed,1000,,,40008845.0,ns,52
bench_trivial_query,diesel_boxed,1000,,,34099238.0,ns,54
bench_trivial_query,diesel_boxed,1000,,,34331638.0,ns,56
bench_trivial_query,diesel_boxed,1000,,,42566848.0,ns,58
bench_trivial_query,diesel_boxed,1000,,,45028751.0,ns,60
bench_trivial_query,diesel_boxed,1000,,,43868850.0,ns,62
bench_trivial_query,diesel_boxed,1000,,,43430849.0,ns,64
bench_trivial_query,diesel_boxed,1000,,,56627364.0,ns,66
bench_trivial_query,diesel_boxed,1000,,,45026151.0,ns,68
bench_trivial_query,diesel_boxed,1000,,,47050353.0,ns,70
bench_trivial_query,diesel_boxed,1000,,,46490552.0,ns,72
bench_trivial_query,diesel_boxed,1000,,,60653668.0,ns,74
bench_trivial_query,diesel_boxed,1000,,,62060870.0,ns,76
bench_trivial_query,diesel_boxed,1000,,,56848664.0,ns,78
bench_trivial_query,diesel_boxed,1000,,,55852463.0,ns,80
bench_trivial_query,diesel_boxed,1000,,,53692260.0,ns,82
bench_trivial_query,diesel_boxed,1000,,,59551768.0,ns,84
bench_trivial_query,diesel_boxed,1000,,,65913975.0,ns,86
bench_trivial_query,diesel_boxed,1000,,,65649074.0,ns,88
bench_trivial_query,diesel_boxed,1000,,,64425772.0,ns,90
bench_trivial_query,diesel_boxed,1000,,,68633078.0,ns,92
bench_trivial_query,diesel_boxed,1000,,,63226971.0,ns,94
bench_trivial_query,diesel_boxed,1000,,,65548574.0,ns,96
bench_trivial_query,diesel_boxed,1000,,,83900694.0,ns,98
bench_trivial_query,diesel_boxed,1000,,,72659682.0,ns,100
bench_trivial_query,diesel_boxed,1000,,,67351676.0,ns,102
bench_trivial_query,diesel_boxed,1000,,,75487785.0,ns,104
bench_trivial_query,diesel_boxed,1000,,,75066085.0,ns,106
bench_trivial_query,diesel_boxed,1000,,,84056895.0,ns,108
bench_trivial_query,diesel_boxed,1000,,,107703222.0,ns,110
bench_trivial_query,diesel_boxed,1000,,,75604985.0,ns,112
bench_trivial_query,diesel_boxed,1000,,,97680610.0,ns,114
bench_trivial_query,diesel_boxed,1000,,,79291389.0,ns,116
bench_trivial_query,diesel_boxed,1000,,,80543391.0,ns,118
bench_trivial_query,diesel_boxed,1000,,,82351093.0,ns,120
