group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel,10,,,2287382.0,ns,14
bench_medium_complex_query,diesel,10,,,3289974.0,ns,28
bench_medium_complex_query,diesel,10,,,4279067.0,ns,42
bench_medium_complex_query,diesel,10,,,5220559.0,ns,56
bench_medium_complex_query,diesel,10,,,6214151.0,ns,70
bench_medium_complex_query,diesel,10,,,7258143.0,ns,84
bench_medium_complex_query,diesel,10,,,8308735.0,ns,98
bench_medium_complex_query,diesel,10,,,9241128.0,ns,112
bench_medium_complex_query,diesel,10,,,10239720.0,ns,126
bench_medium_complex_query,diesel,10,,,11251711.0,ns,140
bench_medium_complex_query,diesel,10,,,12198604.0,ns,154
bench_medium_complex_query,diesel,10,,,13196997.0,ns,168
bench_medium_complex_query,diesel,10,,,14161489.0,ns,182
bench_medium_complex_query,diesel,10,,,15176581.0,ns,196
bench_medium_complex_query,diesel,10,,,16296072.0,ns,210
bench_medium_complex_query,diesel,10,,,17609262.0,ns,224
bench_medium_complex_query,diesel,10,,,18325957.0,ns,238
bench_medium_complex_query,diesel,10,,,19500647.0,ns,252
bench_medium_complex_query,diesel,10,,,20369340.0,ns,266
bench_medium_complex_query,diesel,10,,,21487432.0,ns,280
bench_medium_complex_query,diesel,10,,,22874320.0,ns,294
bench_medium_complex_query,diesel,10,,,23935313.0,ns,308
bench_medium_complex_query,diesel,10,,,25078003.0,ns,322
bench_medium_complex_query,diesel,10,,,26163495.0,ns,336
bench_medium_complex_query,diesel,10,,,27220387.0,ns,350
bench_medium_complex_query,diesel,10,,,28150979.0,ns,364
bench_medium_complex_query,diesel,10,,,29458570.0,ns,378
bench_medium_complex_query,diesel,10,,,30520761.0,ns,392
bench_medium_complex_query,diesel,10,,,31838151.0,ns,406
bench_medium_complex_query,diesel,10,,,32230647.0,ns,420
bench_medium_complex_query,diesel,10,,,33271640.0,ns,434
bench_medium_complex_query,diesel,10,,,34300532.0,ns,448
bench_medium_complex_query,diesel,10,,,35172925.0,ns,462
bench_medium_complex_query,diesel,10,,,36882611.0,ns,476
bench_medium_complex_query,diesel,10,,,36780512.0,ns,490
bench_medium_complex_query,diesel,10,,,38879296.0,ns,504
bench_medium_complex_query,diesel,10,,,39763588.0,ns,518
bench_medium_complex_query,diesel,10,,,41162878.0,ns,532
bench_medium_complex_query,diesel,10,,,41984172.0,ns,546
bench_medium_complex_query,diesel,10,,,42832765.0,ns,560
bench_medium_complex_query,diesel,10,,,44030456.0,ns,574
bench_medium_complex_query,diesel,10,,,45302846.0,ns,588
bench_medium_complex_query,diesel,10,,,45323245.0,ns,602
bench_medium_complex_query,diesel,10,,,46854333.0,ns,616
bench_medium_complex_query,diesel,10,,,48425321.0,ns,630
bench_medium_complex_query,diesel,10,,,49337613.0,ns,644
bench_medium_complex_query,diesel,10,,,50742103.0,ns,658
bench_medium_complex_query,diesel,10,,,51495396.0,ns,672
bench_medium_complex_query,diesel,10,,,52792486.0,ns,686
bench_medium_complex_query,diesel,10,,,53816379.0,ns,700
bench_medium_complex_query,diesel,10,,,54730872.0,ns,714
bench_medium_complex_query,diesel,10,,,56045261.0,ns,728
bench_medium_complex_query,diesel,10,,,57016054.0,ns,742
bench_medium_complex_query,diesel,10,,,57470350.0,ns,756
bench_medium_complex_query,diesel,10,,,59186836.0,ns,770
bench_medium_complex_query,diesel,10,,,60077329.0,ns,784
bench_medium_complex_query,diesel,10,,,60745024.0,ns,798
bench_medium_complex_query,diesel,10,,,61842116.0,ns,812
bench_medium_complex_query,diesel,10,,,62041611.0,ns,826
bench_medium_complex_query,diesel,10,,,65719778.0,ns,840
bench_medium_complex_query,diesel,10,,,64797086.0,ns,854
bench_medium_complex_query,diesel,10,,,65837178.0,ns,868
bench_medium_complex_query,diesel,10,,,66941669.0,ns,882
bench_medium_complex_query,diesel,10,,,67635064.0,ns,896
bench_medium_complex_query,diesel,10,,,69639647.0,ns,910
bench_medium_complex_query,diesel,10,,,70322442.0,ns,924
bench_medium_complex_query,diesel,10,,,71851230.0,ns,938
bench_medium_complex_query,diesel,10,,,71192335.0,ns,952
bench_medium_complex_query,diesel,10,,,72929021.0,ns,966
bench_medium_complex_query,diesel,10,,,73740815.0,ns,980
bench_medium_complex_query,diesel,10,,,75749799.0,ns,994
bench_medium_complex_query,diesel,10,,,76082197.0,ns,1008
bench_medium_complex_query,diesel,10,,,78389978.0,ns,1022
bench_medium_complex_query,diesel,10,,,78907874.0,ns,1036
bench_medium_complex_query,diesel,10,,,80736059.0,ns,1050
bench_medium_complex_query,diesel,10,,,81208656.0,ns,1064
bench_medium_complex_query,diesel,10,,,82271647.0,ns,1078
bench_medium_complex_query,diesel,10,,,83775736.0,ns,1092
bench_medium_complex_query,diesel,10,,,84457430.0,ns,1106
bench_medium_complex_query,diesel,10,,,84593729.0,ns,1120
bench_medium_complex_query,diesel,10,,,86425615.0,ns,1134
bench_medium_complex_query,diesel,10,,,86823311.0,ns,1148
bench_medium_complex_query,diesel,10,,,88784095.0,ns,1162
bench_medium_complex_query,diesel,10,,,88867295.0,ns,1176
bench_medium_complex_query,diesel,10,,,89679889.0,ns,1190
bench_medium_complex_query,diesel,10,,,91573274.0,ns,1204
bench_medium_complex_query,diesel,10,,,92579966.0,ns,1218
bench_medium_complex_query,diesel,10,,,92979662.0,ns,1232
bench_medium_complex_query,diesel,10,,,95946938.0,ns,1246
bench_medium_complex_query,diesel,10,,,95496442.0,ns,1260
bench_medium_complex_query,diesel,10,,,95855239.0,ns,1274
bench_medium_complex_query,diesel,10,,,97622825.0,ns,1288
bench_medium_complex_query,diesel,10,,,98414719.0,ns,1302
bench_medium_complex_query,diesel,10,,,99717009.0,ns,1316
bench_medium_complex_query,diesel,10,,,99662010.0,ns,1330
bench_medium_complex_query,diesel,10,,,101674793.0,ns,1344
bench_medium_complex_query,diesel,10,,,104866268.0,ns,1358
bench_medium_complex_query,diesel,10,,,102788085.0,ns,1372
bench_medium_complex_query,diesel,10,,,105696362.0,ns,1386
bench_medium_complex_query,diesel,10,,,105562363.0,ns,1400
