group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,100,,,1112791.0,ns,4
bench_trivial_query,diesel_async_queryable_by_name,100,,,1808086.0,ns,8
bench_trivial_query,diesel_async_queryable_by_name,100,,,3047276.0,ns,12
bench_trivial_query,diesel_async_queryable_by_name,100,,,3928569.0,ns,16
bench_trivial_query,diesel_async_queryable_by_name,100,,,5154459.0,ns,20
bench_trivial_query,diesel_async_queryable_by_name,100,,,6105552.0,ns,24
bench_trivial_query,diesel_async_queryable_by_name,100,,,6938146.0,ns,28
bench_trivial_query,diesel_async_queryable_by_name,100,,,8057636.0,ns,32
bench_trivial_query,diesel_async_queryable_by_name,100,,,7716939.0,ns,36
bench_trivial_query,diesel_async_queryable_by_name,100,,,10838914.0,ns,40
bench_trivial_query,diesel_async_queryable_by_name,100,,,11085913.0,ns,44
bench_trivial_query,diesel_async_queryable_by_name,100,,,12048005.0,ns,48
bench_trivial_query,diesel_async_queryable_by_name,100,,,13146496.0,ns,52
bench_trivial_query,diesel_async_queryable_by_name,100,,,13985489.0,ns,56
bench_trivial_query,diesel_async_queryable_by_name,100,,,14741183.0,ns,60
bench_trivial_query,diesel_async_queryable_by_name,100,,,16207072.0,ns,64
bench_trivial_query,diesel_async_queryable_by_name,100,,,17187864.0,ns,68
bench_trivial_query,diesel_async_queryable_by_name,100,,,18393055.0,ns,72
bench_trivial_query,diesel_async_queryable_by_name,100,,,19271447.0,ns,76
bench_trivial_query,diesel_async_queryable_by_name,100,,,20140540.0,ns,80
bench_trivial_query,diesel_async_queryable_by_name,100,,,20890835.0,ns,84
bench_trivial_query,diesel_async_queryable_by_name,100,,,21894826.0,ns,88
bench_trivial_query,diesel_async_queryable_by_name,100,,,23531714.0,ns,92
bench_trivial_query,diesel_async_queryable_by_name,100,,,24230508.0,ns,96
bench_trivial_query,diesel_async_queryable_by_name,100,,,25981194.0,ns,100
bench_trivial_query,diesel_async_queryable_by_name,100,,,26397591.0,ns,104
